slug,title,description,type,cuisine,difficulty,prep_minutes,cook_minutes,total_minutes,serving_count,average_calories,ingredients,ingredient_count,steps,step_count,allergens,tags,tipNote,servingSuggestion
kheer,Kheer,"Hint kheer tatlısı, pirinci süt ve kakuleyle ağır ağır kaynatıp fıstıklı bir pudinge dönüştürür.",TATLI,in,EASY,10,45,55,6,250,Pirinç 0.5 su bardağı | Süt 1 litre | Şeker 100 gr | Antep fıstığı 40 gr,4,1. Pirinç ve sütü tencereye alın. || 2. Kısık ateşte 40 dakika karıştırarak pişirin. || 3. Şeker ve fıstığı ekleyip 5 dakika daha pişirin.,3,"SUT,KUSUYEMIS",vejetaryen,,"Soğuk veya ılık, üzerine antep fıstığı serperek servis edin."
khobz-eldar,Khobz Eldar,"Cezayir ev ekmeği khobz eldar, irmik ve unla yumuşak dokulu yuvarlak somunlar verir.",APERATIF,ma,MEDIUM,45,25,70,6,210,Un 350 gr | İrmik 150 gr | Süt 250 ml | Yumurta 1 adet | Susam 2 yemek kaşığı,5,"1. Un, irmik, süt ve mayayla hamur yoğurun. || 2. Hamuru 35 dakika mayalandırın. || 3. Üzerine yumurta ve susam sürüp 190°C fırında 25 dakika pişirin.",3,"GLUTEN,SUT,YUMURTA,SUSAM",vejetaryen,,
kibbeh,Kibbeh,"Levant mutfağının bulgurlu et köftesi, baharatlı kıyma dolgusu ile kızartılarak hazırlanır.",YEMEK,me,HARD,60,25,85,6,330,İnce bulgur 2 su bardağı — Dış harç için | Dana kıyma 300 gr — Dış harç için | Dana kıyma 250 gr — İç harç için | Soğan 1 adet — İç harç için | Ceviz 0.5 su bardağı — İç harç için,5,"1. Bulguru 15 dakika sıcak suda bekletin. || 2. Dış harcı kıyma ile 10 dakika yoğurun. || 3. İç harcı soğan, kıyma ve cevizle 12 dakika pişirin. || 4. Köfteleri doldurup kızgın yağda 6 dakika kızartın.",4,"GLUTEN,KUSUYEMIS",misafir-sofrasi,Dış harcı elde dağılmayacak kıvama gelene kadar 10 dakika yoğurun.,Limon ve yoğurtlu sosla servis edin.
kibe-mumbar,Kibe Mumbar,"Diyarbakır usulü kibe mumbar, baharatlı içle doldurulan sakatatın ağır ateşte pişen özel yemeğidir.",YEMEK,tr,HARD,80,100,180,6,410,Kibe 800 gr | Mumbar 800 gr | Pirinç 2 su bardağı | Kıyma 300 gr | Tuz 1 yemek kaşığı,5,"1. Sakatatı temizleyip tuzlu suda bekletin. || 2. Pirinç, kıyma ve baharatla iç hazırlayın. || 3. Doldurulan parçaları 100 dakika pişirin.",3,,misafir-sofrasi,,
kilis-oruk,Kilis Oruk,"Kilis oruğu, ince bulgur ve kıymalı dış harcın cevizli içle dolduğu kızarmış içli köfte çeşididir.",YEMEK,tr,HARD,80,25,105,6,470,İnce bulgur 2 su bardağı — Dış için | Dana kıyma 500 gr — Dış için | Ceviz 150 gr — İç için | Tereyağı 50 gr — İç için,4,1. Bulgur ve kıymayı yoğurup dış harç hazırlayın. || 2. Cevizli içi kavurun. || 3. Orukları doldurup 25 dakika kızartın.,3,"GLUTEN,KUSUYEMIS,SUT",misafir-sofrasi,Dış harcı elinizi ıslatarak açın; kuru elle açılan bulgur çatlar.,"Limon, maydanoz ve ayranla sıcak servis edin."
kilis-tava,Kilis Tava,"Kilis tava, baharatlı kıymanın domates ve biberle tepside ince yayılıp fırında pişen halidir.",YEMEK,tr,EASY,20,30,50,4,520,Dana kıyma 600 gr | Domates 3 adet | Yeşil biber 4 adet | Soğan 1 adet,4,"1. Kıyma, soğan ve baharatları yoğurun. || 2. Harcı tepsiye ince yayın ve sebzeleri üzerine dizin. || 3. 200°C fırında 30 dakika pişirin.",3,,firinda,,
kimbap,Kimbap,"Kore pikniklerinin yosun sarılı pirinç rulosu; sebze, yumurta ve dana etiyle renkli dilimler verir.",APERATIF,kr,MEDIUM,30,15,45,4,380,Pişmiş pirinç 600 gr | Nori yaprağı 5 adet | Yumurta 3 adet | Dana jülyen 200 gr | Havuç 2 adet,5,"1. Yumurtayı ince omlet halinde pişirin, havuç ve dana etini ayrı ayrı 5 dakika soteleyin. || 2. Nori üzerine pirinç yayın, iç harçları çizgi halinde dizin. || 3. Ruloyu sıkıca sarın, 2 cm kalınlığında dilimleyin.",3,YUMURTA,cocuk-dostu,"Pilav ılık olmalı; sıcak pilav yosunu yumuşatır, soğuk pilav ruloyu çatlatır.",Dilimleri susam yağıyla parlatıp turp turşusu ile servis edin.
kimchi,Kimchi,"Kore mutfağının fermente lahana klasiği, acı biber, sarımsak ve balık sosuyla keskinleşir.",SOS,kr,MEDIUM,45,0,45,10,30,Napa lahanası 1 adet | Tuz 0.5 su bardağı | Kore biberi 0.5 su bardağı | Sarımsak 6 diş | Balık sosu 3 yemek kaşığı,5,"1. Lahanayı tuzla ovup 2 saat bekletin. || 2. Lahanayı durulayıp süzün. || 3. Biber, sarımsak ve balık sosunu karıştırın. || 4. Lahanayı sosla harmanlayıp kavanoza bastırın.",4,DENIZ_URUNLERI,kis-tarifi,Lahanayı tuzladıktan sonra yapraklar esneyene kadar bekletin; kavanoza sıkı yerleşir.,"Pilav, noodle veya yumurta yanında servis edin."
kimchi-bokkeumbap,Kimchi Bokkeumbap,Kore mutfağında artan pilavın en canlı hali; kimchi suyu tavada pirince kırmızı bir lezzet verir.,YEMEK,kr,EASY,8,12,20,2,430,Pişmiş pirinç 450 gr | Kimchi 180 gr | Soya sosu 1 yemek kaşığı | Yumurta 2 adet | Susam yağı 1 tatlı kaşığı,5,1. Kimchiyi doğrayıp susam yağıyla 3 dakika kavurun. || 2. Pirinç ve soya sosunu ekleyip 6 dakika karıştırarak pişirin. || 3. Ayrı tavada yumurtaları pişirip pilavın üzerine koyun.,3,"SOYA,YUMURTA,SUSAM","30-dakika-alti,pratik,vejetaryen",Soğuk pilav kullanın; tane tane kalır ve kimchi suyunu çamurlaşmadan çeker.,Üzerine sahanda yumurta yerleştirin.
kimchi-jeon,Kimchi Jeon,"Kore yağmurlu günlerinin kimchili tavası; ince pankek kenarlardan çıtır, ortada yumuşak kalır.",APERATIF,kr,EASY,10,12,22,4,280,Kimchi 220 gr | Un 120 gr | Su 160 ml | Soya sosu 1 yemek kaşığı,4,"1. Kimchi, un, su ve soya sosunu karıştırın. || 2. Yağlı tavada ince yayarak 6 dakika pişirin. || 3. Çevirip 5 dakika daha pişirin.",3,"GLUTEN,SOYA","vejetaryen,30-dakika-alti,vegan",Hamuru tavaya ince yayın; kalın olursa içi hamur kalır.,Soya soslu dip ile dilimleyerek servis edin.
kinoa-salatasi,Kinoa Salatası,"Kinoa, sebze ve limonlu sosla hazırlanan hafif ve doyurucu salata.",SALATA,tr,EASY,15,15,30,4,260,Kinoa 1 su bardağı | Su 2 su bardağı | Salatalık 2 adet | Domates 2 adet | Maydanoz 0.5 demet | Limon suyu 3 yemek kaşığı | Zeytinyağı 3 yemek kaşığı,7,"1. Kinoayı yıkayıp suyla birlikte 15 dakika pişirin. || 2. Sebzeleri küçük doğrayın, maydanozu kıyın. || 3. Soğuyan kinoayı sebzeler, limon suyu ve zeytinyağıyla karıştırın.",3,,"vegan,30-dakika-alti,dusuk-kalorili,vejetaryen",Kinoayı pişirmeden önce süzgeçte yıkayın; doğal acılığı azalır.,Soğuk öğle yemeği olarak servis edin.
kisir,Kısır,"İnce bulgurdan yapılan, bol yeşillikli geleneksel Türk salatası.",SALATA,tr,EASY,20,0,20,6,160,İnce bulgur 2 su bardağı | Nar ekşisi 3 yemek kaşığı | Domates salçası 2 yemek kaşığı | Limon suyu 2 yemek kaşığı | Zeytinyağı 3 yemek kaşığı | Maydanoz 1 demet | Taze soğan 4 adet | Domates 2 adet,8,"1. Bulgura sıcak su ekleyin, kabarmasını bekleyin (15 dk). || 2. Salça, nar ekşisi, limon suyu ve zeytinyağını ekleyip karıştırın. || 3. İnce doğranmış yeşillikleri ve domatesi ekleyin. || 4. İyice harmanlayın, soğuk servis edin.",4,GLUTEN,"vegan,30-dakika-alti,pratik,yaz-tarifi,vejetaryen","Bulguru sıcak suyla ıslatın ama fazla su koymayın, kabarmasını bekleyin.",Marul yaprakları üzerinde servis edin.
kitsune-udon,Kitsune Udon,"Japon udon kasesi, tatlı soya soslu kızarmış tofu ve kalın erişteyle rahatlatıcı bir öğündür.",YEMEK,jp,MEDIUM,20,25,45,4,390,Udon eriştesi 400 gr | Tofu 250 gr | Soya sosu 4 yemek kaşığı | Sebze suyu 5 su bardağı | Taze soğan 3 dal,5,1. Tofuyu soya sosuyla 12 dakika pişirin. || 2. Sebze suyunu kaynatın. || 3. Udon eriştesini 8 dakika haşlayın. || 4. Erişteyi kaseye alıp tofu ve sıcak suyla tamamlayın.,4,"GLUTEN,SOYA","vegan,vejetaryen",Tofuyu sosu çekene kadar kısık ateşte pişirin; üst parça çorbanın tadını belirler.,Taze soğanla sıcak servis edin.
kivili-maydanoz-smoothie,Kivili Maydanoz Smoothie,"Kivili maydanoz smoothie, ekşi meyve ve taze ot dengesini salatalıkla hafifleten parlak renkli bir bardaktır.",ICECEK,us,EASY,8,0,8,2,112,Kivi 2 adet | Maydanoz 0.25 demet | Salatalık 1 adet | Yeşil elma 1 adet | Limon suyu 1 yemek kaşığı | Soğuk su 150 ml,6,"1. Kivi, salatalık ve elmayı doğrayın. || 2. Maydanoz, limon suyu ve soğuk suyu blendera alın. || 3. Tüm malzemeyi 45 saniye çekip hemen servis edin.",3,,"alkolsuz,dusuk-kalorili,vejetaryen,vegan",Maydanozun kalın saplarını ayırmak içeceğin pürüzsüz kalmasını kolaylaştırır.,Bekletmeden soğuk servis edin.
kiymali-pide,Kıymalı Pide,İnce hamur üzerine kıymalı harç yayılarak fırında pişirilen taş fırın lezzeti.,YEMEK,tr,HARD,50,18,68,4,560,Un 4 su bardağı — Hamur için | Ilık su 1.5 su bardağı — Hamur için | Kuru maya 1 tatlı kaşığı — Hamur için | Tuz 1 tatlı kaşığı — Hamur için | Dana kıyma 350 gr — İç için | Soğan 1 adet — İç için | Domates 2 adet — İç için | Yeşil biber 2 adet — İç için | Maydanoz 0.25 demet — İç için | Biber salçası 1 yemek kaşığı — İç için | Pul biber 1 çay kaşığı — İç için,11,"1. Un, ılık su, maya ve tuzu 8-10 dakika yoğurun. || 2. Hamuru kapalı kapta 30 dakika mayalandırın. || 3. Kıyma, ince doğranmış sebzeler, salça, maydanoz ve pul biberi karıştırın. || 4. Hamuru 4 bezeye ayırıp uzun oval şekilde açın. || 5. Harcı hamurun üzerine ince yayın ve kenarları içe kıvırın. || 6. 230°C fırında 15-18 dakika pişirin.",6,GLUTEN,"misafir-sofrasi,firinda",Harcı sulu bırakmayın; domatesin fazla suyunu süzmek pidenin tabanını gevrek tutar.,"Limon, maydanoz ve ayranla servis edin."
kladdkaka,Kladdkaka,"İsveç kladdkaka, dışı ince kabuklu, içi akışkan kalan yoğun bir çikolatalı kektir.",TATLI,se,EASY,15,18,33,8,340,Tereyağı 150 gr | Şeker 250 gr | Kakao 50 gr | Yumurta 2 adet | Un 1 su bardağı,5,1. Tereyağını eritip şeker ve kakaoyla karıştırın. || 2. Yumurta ve unu ekleyip kısa karıştırın. || 3. 175°C fırında 18 dakika pişirin.,3,"GLUTEN,SUT,YUMURTA",vejetaryen,Keki merkez hafif sallanırken çıkarın; beklerken iç dokusu yoğunlaşır.,Çırpılmış krema ve frambuazla ılık servis edin.
klasik-menemen,Klasik Menemen,"Ege kahvaltılarının domates, biber ve yumurtayla tavada pişen sulu ve sıcak klasiği.",KAHVALTI,th,EASY,10,15,25,3,210,Yumurta 4 adet | Domates 4 adet | Yeşil biber 3 adet | Zeytinyağı 2 yemek kaşığı | Tuz 0.5 çay kaşığı,5,1. Biberleri zeytinyağında 4 dakika kavurun. || 2. Domatesleri ekleyip 8 dakika pişirin. || 3. Yumurtaları ekleyip 3 dakika karıştırarak pişirin.,3,YUMURTA,"30-dakika-alti,vejetaryen,pratik",Domates suyunu çekmeden yumurtayı ekleyin; menemen kuru kalmaz.,Taze ekmekle tavadan servis edin.
knafeh-cups,Knafeh Cups,"Orta Doğu kadayıf kupu, çıtır kadayıfı peynirli kremayla porsiyonluk tatlıya dönüştürür.",TATLI,me,MEDIUM,25,20,45,6,290,Tel kadayıf 300 gr | Tereyağı 100 gr | Krema peyniri 250 gr | Antep fıstığı 60 gr,4,1. Kadayıfı tereyağıyla harmanlayıp kup kalıplarına bastırın. || 2. 180°C fırında 15 dakika pişirin. || 3. Peynirli krema ve fıstıkla doldurun.,3,"GLUTEN,SUT,KUSUYEMIS","misafir-sofrasi,vejetaryen",Kadayıfı kalıpta sıkıca bastırın; gevşek bırakırsanız pişerken dağılır ve kup şeklini tutmaz.,"Fırından çıkar çıkmaz, sıcakken servis edin."
kol-boregi,Kol Böreği,Peynirli harçla sarılan yufkaların tepsiye spiral dizildiği klasik börek.,YEMEK,tr,MEDIUM,25,35,60,8,460,Yufka 5 adet | Beyaz peynir 350 gr | Maydanoz 0.5 demet | Süt 1 su bardağı — Sos için | Sıvı yağ 0.5 su bardağı — Sos için | Yumurta 1 adet — Sos için,6,1. Peynir ve maydanozu karıştırın. || 2. Yufkaları soslayıp peynirli harçla rulo sarın. || 3. Ruloları tepsiye dizip 180°C fırında 30-35 dakika pişirin.,3,"GLUTEN,SUT,YUMURTA","vejetaryen,firinda",Yufkaları sosladıktan sonra bekletmeden sarın; fazla yumuşayan yufka yırtılır.,Çayla sıcak veya ılık servis edin.
kolbaszli-lecso,Kolbászlı Lecsó,"Kolbászlı lecsó, biber ve domatesi hafif tütsülü sosisle birleştirip daha dolgun bir Macar tava yemeği kurar.",YEMEK,hu,EASY,15,30,45,4,280,Kapya biber 4 adet | Domates 5 adet | Soğan 2 adet | Macar sosis 160 gr,4,1. Soğanları yağda yumuşatın. || 2. Biberleri ekleyip 8 dakika soteleyin. || 3. Domates ve toz biberle 20 dakika pişirin.,3,,tek-tencere,Biberleri ince değil iri doğrayın; uzun pişerken formu tamamen kaybolmaz.,Yanında kıtır ekmek ya da sade pilavla servis edin.
kombe,Kömbe,"Hatay'ın baharatlı bayram kurabiyesi, mahlep ve susamla kalıpta şekil alıp kıtır pişer.",TATLI,th,MEDIUM,35,25,60,10,260,Un 4 su bardağı | Tereyağı 200 gr | Şeker 1 su bardağı | Yumurta 1 adet | Mahlep 1 çay kaşığı | Susam 0.5 su bardağı,6,"1. Tereyağı, şeker ve yumurtayı karıştırın. || 2. Un ve mahlebi ekleyip hamur yoğurun. || 3. Hamuru susama bulayıp kalıpla şekillendirin. || 4. 180°C fırında 22-25 dakika pişirin.",4,"GLUTEN,SUT,YUMURTA,SUSAM","misafir-sofrasi,vejetaryen",Hamuru kalıba bastırmadan önce susama bulayın; desen daha net çıkar.,Çay veya kahve yanında servis edin.
kompot,Kompot,"Doğu Avrupa sofralarının meyve kompostosu kompot, hafif şekerli yapısıyla sıcak ya da soğuk içilebilir.",ICECEK,ru,EASY,10,20,30,6,80,Elma 2 adet | Erik 8 adet | Şeker 0.5 su bardağı | Su 1.5 litre,4,1. Meyveleri iri parçalar halinde doğrayın. || 2. Su ve şekerle birlikte 15 dakika kaynatın. || 3. Soğutup servis edin.,3,,"alkolsuz,yaz-tarifi,vejetaryen,vegan",Meyveleri fazla kaynatmayın; suya aroma versin ama püreleşmesin.,Buzdolabında 1 saat soğutup sürahide servis edin.
kongguksu,Kongguksu,"Kore yazında soğuk soya sütüyle servis edilen erişte kongguksu, serin ama doyurucu bir öğündür.",YEMEK,kr,EASY,15,10,25,2,360,Erişte 200 gr | Soya sütü 500 ml | Salatalık 1 adet | Susam 1 tatlı kaşığı,4,1. Erişteyi haşlayıp soğuk sudan geçirerek süzün. || 2. Kaselere erişteyi yerleştirip çok soğuk soya sütünü üstüne dökün. || 3. Salatalık ve susamla tamamlayıp servis edin.,3,"GLUTEN,SOYA,SUSAM","yaz-tarifi,vejetaryen,vegan",Soya sütünü çok önceden buz gibi soğutun; yemeğin karakteri soğuklukta gizlidir.,Üzerine salatalık şeritleri ve susam serperek servis edin.
kongnamul-muchim,Kongnamul Muchim,"Kore banchan tabaklarının çıtır soya filizi; sarımsak, susam ve taze soğanla sade ama keskin.",SALATA,kr,EASY,10,5,15,4,80,Soya filizi 400 gr | Susam yağı 1 yemek kaşığı | Sarımsak 1 diş | Yeşil soğan 2 dal | Susam 1 çay kaşığı | Tuz 0.5 çay kaşığı,6,"1. Soya filizlerini kaynar suda 5 dakika haşlayın. || 2. Süzüp susam yağı, ezilmiş sarımsak ve tuzla harmanlayın. || 3. Yeşil soğan ve susam ekleyip soğuk servis edin.",3,"SOYA,SUSAM","vegan,30-dakika-alti,dusuk-kalorili,vejetaryen",Filizleri süzdükten sonra buharı çıkana kadar 3 dakika bekletin; sos sulanmaz.,Bibimbap kaselerinde veya et yemeklerinin yanında sunun.
konya-bamya-corbasi,Konya Bamya Çorbası,Konya düğün sofralarında ekşi ve etli küçük kuru bamya çorbası ana yemeği bekletmez.,CORBA,tr,MEDIUM,20,55,75,6,170,Kuru bamya 80 gr | Dana kuşbaşı 300 gr | Domates salçası 1 yemek kaşığı | Limon suyu 3 yemek kaşığı,4,1. Kuru bamyayı limonlu suda 10 dakika haşlayın. || 2. Dana etini salçayla 8 dakika kavurun. || 3. Bamya ve suyu ekleyip 40 dakika pişirin.,3,,kis-tarifi,Kuru bamyayı limonlu suda haşlayın; yapışkanlık azalır ve taneler diri kalır.,Limon dilimiyle sıcak servis edin.
konya-tiridi,Konya Tiridi,"Konya tiridi, et suyuyla ıslatılan pide parçalarının üzerine et ve yoğurt yerleştirilerek kurulan sade ama güçlü bir ana yemektir.",YEMEK,tr,EASY,15,40,55,4,380,Dana haşlama eti 500 gr | Pide ekmeği 2 adet | Et suyu 500 ml | Yoğurt 250 gr | Tereyağı 40 gr,5,1. Eti et suyunda 30 dakika yumuşayana kadar ısıtın. || 2. Pideleri doğrayıp sıcak et suyuyla ıslatın. || 3. Pideleri tabağa alıp eti yerleştirin ve yoğurtla tereyağını üzerine gezdirin.,3,"GLUTEN,SUT",misafir-sofrasi,Pideyi et suyunda kısa tutun; fazla beklerse tabakta lapa olur.,Üzerine yoğurt ve tereyağı gezdirerek sıcak servis edin.
korean-fried-chicken,Korean Fried Chicken,"Seul tarzı çift kızarmış tavuk, gochujanglı parlak sosuyla çıtır ve yapışkan bir tabak olur.",YEMEK,kr,MEDIUM,30,25,55,4,560,Tavuk kanat 800 gr | Mısır nişastası 1 su bardağı | Gochujang 2 yemek kaşığı | Soya sosu 2 yemek kaşığı | Susam 1 yemek kaşığı,5,1. Tavukları nişastaya bulayın. || 2. Tavukları 8 dakika kızartıp 5 dakika dinlendirin. || 3. Tavukları ikinci kez 5 dakika kızartın. || 4. Gochujang ve soya sosuyla hazırlanan sosa bulayın.,4,"SOYA,SUSAM",misafir-sofrasi,"Tavuğu iki kez kızartın; ilk pişirme eti, ikinci pişirme kabuğu çıtır yapar.",Susam ve taze soğanla servis edin.
korokke,Korokke,"Japon kasap vitrinlerinde sık görülen korokke, patates püresi ve pane kabuğuyla hafif tatlı bir çıtırlık verir.",ATISTIRMALIK,jp,MEDIUM,20,15,35,6,280,Patates 4 adet | Soğan 1 adet | Galeta unu 1 su bardağı | Yumurta 2 adet | Ayçiçek yağı 2 su bardağı,5,"1. Patatesleri haşlayıp ezin, ince doğranmış soğanla karıştırın. || 2. Karışımdan oval köfteler yapıp yumurta ve galeta ununa bulayın. || 3. Kızgın yağda 4 dakika kızartıp süzdürün.",3,"GLUTEN,YUMURTA","cocuk-dostu,misafir-sofrasi,vejetaryen",Patates püresi tamamen soğursa pane katmanı daha düzgün tutunur.,Yanına ince kıyım lahana ve tonkatsu sosuyla servis edin.
koshari,Koshari,"Mısır sokak yemeği koshari pirinç, makarna, mercimek ve domates sosunu aynı tabakta toplar.",YEMEK,tr,MEDIUM,30,40,70,6,430,Pirinç 1 su bardağı | Makarna 200 gr | Yeşil mercimek 1 su bardağı | Domates sosu 300 ml,4,"1. Pirinç, makarna ve mercimeği ayrı ayrı pişirin. || 2. Domates sosunu sarımsakla 10 dakika kaynatın. || 3. Tüm katları tabakta birleştirin.",3,GLUTEN,"vegan,butce-dostu,vejetaryen",,
