slug,title,description,type,cuisine,ingredients_summary,allergens,tags,tipNote,servingSuggestion
quindim,Quindim,"Brezilya'nın parlak sarı tatlısı yumurta sarısı, Hindistan cevizi ve şekerle ipeksi bir kalıp alır.",TATLI,br,Yumurta sarısı; Şeker; Hindistan cevizi rendesi; Tereyağı,"SUT,YUMURTA",misafir-sofrasi,Yumurta sarılarını süzgeçten geçirin; tatlıda pürüzsüz doku oluşur.,Soğuttuktan sonra kalıptan çıkarıp kahveyle servis edin.
radika-salatasi,Radika Salatası,"Ege radikası kısa haşlanır, zeytinyağı ve limonla sade bir ot salatasına dönüşür.",SALATA,tr,Radika; Zeytinyağı; Limon suyu; Sarımsak,,"vegan,30-dakika-alti,vejetaryen",,
raita-sos,Raita Sos,"Raita sos yoğurt, salatalık ve nane ile baharatlı Hint yemeklerini serinleten hafif bir eşlikçidir.",SOS,in,Yoğurt; Salatalık; Nane; Kimyon,SUT,"vejetaryen,30-dakika-alti",Rendelenmiş salatalığın suyunu sıkın; sulu salatalık yoğurdu inceltir.,"Biryani, köri veya samosa yanında soğuk servis edin."
rajma,Rajma,"Kuzey Hindistan'ın domatesli barbunya yemeği rajma, pirinçle birlikte yenince tam bir ev öğünü olur.",YEMEK,in,Haşlanmış barbunya; Soğan; Domates püresi; Garam masala; Zencefil,,"vejetaryen,butce-dostu,vegan","Baharatı yağa kısa süre açmak, fasulyenin içine daha net işlemesini sağlar.",Basmati pilav ve yoğurtla servis edin.
rajma-masala,Rajma Masala,"Kuzey Hindistan'ın rajma masalası, kırmızı fasulyeyi baharatlı domates sosunda yumuşak ve tok bir tencereye dönüştürür.",YEMEK,in,Haşlanmış kırmızı fasulye; Domates püresi; Soğan; Garam masala,,"vegan,tek-tencere,vejetaryen",Garam masalayı en sonda ekleyin; uzun pişerse kokusu körelir.,Basmati pirinci ve kişnişle servis edin.
rakott-krumpli,Rakott Krumpli,"Patates, yumurta ve ekşi kremayla kat kat kurulan bu Macar fırın yemeği, sade ama doyurucu bir sıcak tabaktır.",YEMEK,hu,Patates; Yumurta; Sucuk; Ekşi krema,"SUT,YUMURTA",firinda,Patatesleri tam yumuşatmadan haşlayın; fırında katlar diri kalır.,Yanında kornişon turşu ile sıcak servis edin.
ramos-gin-fizz,Ramos Gin Fizz,"Ramos Gin Fizz krema, narenciye ve soda ile uzun köpüklü, tatlı ekşi bir New Orleans içeceğidir.",KOKTEYL,us,Cin; Krema; Yumurta akı; Soda,"SUT,YUMURTA","alkollu,30-dakika-alti,vejetaryen",Sodayı en son yavaş ekleyin; hızlı dökerseniz köpük taşar.,"Uzun bardakta pipetsiz, köpüğü taşacak şekilde servis edin."
ratatouille,Ratatouille,"Patlıcan, kabak, biber ve domatesin fırında piştiği Fransız sebze yemeği.",YEMEK,fr,Patlıcan; Kabak; Domates; Kırmızı biber; Zeytinyağı; Fesleğen,,"vegan,firinda,vejetaryen",Sebzeleri eş kalınlıkta dilimleyin; fırında aynı anda yumuşar.,Taze fesleğenle sıcak veya ılık servis edin.
refried-beans,Refried Beans,"Meksika usulü refried beans, fasulyeyi ezilmiş ve kremamsı bir dip kadar yumuşak hale getirir.",YEMEK,mx,Haşlanmış barbunya fasulyesi; Soğan; Sıvı yağ; Kimyon,,"vegan,30-dakika-alti,vejetaryen",Fasulyeyi ezerken 80 ml haşlama suyu ayırın; kıvamı bununla ayarlamak daha güvenlidir.,"Taco, quesadilla veya mısır cipsi yanında servis edin."
revani,Revani,"İrmikli, şerbetli klasik Türk tatlısı. Hafif ve ıslak dokusuyla sevilir.",TATLI,tr,İrmik; Un; Şeker; Yumurta; Yoğurt; Kabartma tozu; Şeker; Su,"GLUTEN,SUT,YUMURTA","pratik,misafir-sofrasi,vejetaryen",Kek sıcakken soğuk şerbet dök. Kek soğumuşsa sıcak şerbet kullan. İkisi birden sıcak olursa kek hamur gibi kalır.,Hindistan cevizi ile süsleyerek servis edin.
revithokeftedes,Revithokeftedes,"Yunan nohut köftesi, otlar ve sarımsakla yoğrulup tavada kızaran ekonomik bir mezedir.",APERATIF,gr,Haşlanmış nohut; Un; Maydanoz; Sarımsak,GLUTEN,"vegan,vejetaryen",,Tahin sos ve limon ile servis edin.
reyhan-serbeti,Reyhan Şerbeti,"Taze reyhan, limon ve karanfille hazırlanan kokulu ve ferah geleneksel şerbet.",ICECEK,tr,Taze reyhan; Şeker; Limon suyu; Sıcak su; Karanfil,,"vegan,alkolsuz,yaz-tarifi,vejetaryen",Reyhanı kaynatmayın; sıcak su içinde demlemek parlak mor rengi korur.,Bol buz ve limon dilimiyle servis edin.
rfissa,Rfissa,"Fas rfissa yemeği tavuk, mercimek ve kat kat ekmeği baharatlı sosla aynı tabakta toplar.",YEMEK,ma,Tavuk but; Yeşil mercimek; Yufka ekmeği; Zerdeçal,GLUTEN,misafir-sofrasi,"Ekmekleri servis tabağına dizin ve sosu hemen dökün; ekmek sosu çekince doku yumuşar, beklerse hamurlaşır.","Sıcak olarak, mercimekle birlikte servis edin."
ribollita,Ribollita,"Toskana mutfağından ekmek, kara lahana ve fasulyeyle koyulaşan rustik bir sebze çorbası.",CORBA,tr,Kara lahana; Haşlanmış kuru fasulye; Bayat ekmek; Soğan; Domates,GLUTEN,"vegan,tek-tencere,kis-tarifi,vejetaryen",Bayat ekmek çorbanın kıvamını taşır; taze ekmek aynı dokuyu vermez.,Üzerine zeytinyağı gezdirerek sıcak servis edin.
risgrynsgrot,Risgrynsgröt,"Risgrynsgröt, süt ve pirincin tarçınla ağır ağır piştiği İskandinav pirinç lapasıdır.",TATLI,se,Pirinç; Süt; Şeker; Tarçın,SUT,"vejetaryen,kis-tarifi",Sütü ekledikten sonra sık karıştırın; pirinç dibe çabuk tutar.,Tarçın ve küçük tereyağı parçasıyla sıcak servis edin.
rogan-josh,Rogan Josh,"Keşmir rogan josh, kuzu etini yoğurt ve sıcak baharatlarla koyu kırmızı bir sosta pişirir.",YEMEK,in,Kuzu kuşbaşı; Yoğurt; Soğan; Keşmir biberi,SUT,misafir-sofrasi,Yoğurdu tencereye oda sıcaklığında ve kaşık kaşık ekleyin; soğuk yoğurt topaklaşır.,Basmati pirinç ve naan ekmek ile servis edin.
roka-salatasi,Roka Salatası,"Roka, domates ve parmesanla hazırlanan limonlu ferah salata.",SALATA,tr,Roka; Cherry domates; Parmesan peyniri; Zeytinyağı; Limon suyu; Tuz,SUT,"vejetaryen,30-dakika-alti",Rokayı soslamadan önce kurutun; ıslak yaprak sosu seyreltir.,Izgara et ve pizza yanında servis edin.
romesco-sos,Romesco Sos,"Köz biber, badem, ekmek ve zeytinyağıyla hazırlanan Katalan sosu.",SOS,tr,Köz kırmızı biber; Domates; Badem; Ekmek içi; Sarımsak; Zeytinyağı; Sirke,"GLUTEN,KUSUYEMIS","vegan,misafir-sofrasi,vejetaryen",Köz biberlerin kabuklarını tamamen soyun; sosun dokusu pürüzsüz olur.,"Izgara sebze, balık veya kızarmış ekmekle servis edin."
rommegrot,Rømmegrøt,"Ekşi krema ve unla pişen rømmegrøt, üzerine tarçın serpilen yumuşak ve sıcak bir İskandinav kahvaltısıdır.",KAHVALTI,se,Ekşi krema; Un; Süt; Tarçın,"GLUTEN,SUT","vejetaryen,kis-tarifi",Kremayı kaynatırken sürekli karıştırın; un eklendiğinde pütür kalmaz.,Üzerine tarçın ve 1 tatlı kaşığı eritilmiş tereyağıyla servis edin.
ropa-vieja,Ropa Vieja,"Küba'nın didiklenmiş dana yemeği biber, domates ve kimyonla uzun pişip lif lif ayrılır.",YEMEK,cu,Dana döş; Kırmızı biber; Domates püresi; Kimyon,,yuksek-protein,,
rosto-kofte,Rosto Köfte,Rulo şekilli kıymalı harcın fırında pişip dilimlenerek servis edildiği aile yemeği.,YEMEK,tr,Dana kıyma; Yumurta; Galeta unu; Soğan; Havuç; Bezelye; Domates salçası; Tuz,"GLUTEN,YUMURTA","firinda,cocuk-dostu",Köfte harcını streç film üzerinde sıkı rulo yapın; fırında dağılmadan dilimlenir.,Patates püresi ve domates sosuyla servis edin.
sac-arasi,Sac Arası,"Sac arası, ince yufka katları arasına ceviz serpilip şerbetle yumuşatılan Orta Anadolu tatlılarından biridir.",TATLI,tr,Yufka; Ceviz; Tereyağı; Su; Şeker,"GLUTEN,SUT,KUSUYEMIS","misafir-sofrasi,vejetaryen",Yufkaları fazla kurutmadan pişirmek tatlının katlarını daha yumuşak bırakır.,Üzerine ceviz serperek servis edin.
sac-kavurma,Saç Kavurma,İnce doğranmış etin biber ve domatesle yüksek ateşte kavrulduğu pratik Anadolu yemeği.,YEMEK,tr,Kuzu eti; Soğan; Yeşil biber; Domates; Tereyağı; Sıvı yağ; Tuz; Pul biber,SUT,yuksek-protein,Eti tavaya yayarak pişirin; üst üste kalırsa kavrulmadan suyunu salar.,"Lavaş, köz biber ve ayranla servis edin."
safranli-risotto,Safranlı Risotto,"Arborio pirincinin safran, tereyağı ve parmesanla kremsi kıvam aldığı İtalyan pilavı.",YEMEK,it,Arborio pirinci; Sebze suyu; Soğan; Tereyağı; Parmesan peyniri; Safran,SUT,"vejetaryen,misafir-sofrasi",Sıcak suyu kepçe kepçe ekleyin; nişasta yavaş açılır ve risotto kremamsı olur.,Taze çekilmiş karabiberle servis edin.
saganaki,Saganaki,"Yunan saganaki, kalın peynir diliminin tavada kızarıp limonla sıcak servis edilen sade mezesidir.",APERATIF,gr,Kefalotiri peyniri; Un; Zeytinyağı; Limon,"SUT,GLUTEN","vejetaryen,30-dakika-alti",,Kızgınken limon sıkarak hemen servis edin.
sahanda-mihlama,Sahanda Mıhlama,"Trabzon kahvaltılarında mısır unu, tereyağı ve peynir sahanda uzayan sıcak bir lezzete dönüşür.",KAHVALTI,tr,Tereyağı; Mısır unu; Kolot peyniri; Su,SUT,"pratik,30-dakika-alti,vejetaryen",,
sahlab,Sahlab,"Orta Doğu'nun sahlab içeceği, süt ve nişastalı tozla koyulaşan, tarçınla kokulanan sıcak bir kış bardağıdır.",ICECEK,me,Süt; Sahlab tozu; Şeker,"SUT,KUSUYEMIS","kis-tarifi,vejetaryen",Sahlab tozunu tencereye eklemeden önce az sütle açarsanız pürüzsüz olur.,Üstüne tarçın ve ince kıyılmış Antep fıstığı serperek servis edin.
sahlep,Sahlep,Sıcak süt ve sahlep tozu ile yapılan geleneksel kış içeceği. Tarçın ile servis edilir.,ICECEK,tr,Süt; Sahlep tozu; Şeker; Tarçın,SUT,"vejetaryen,30-dakika-alti,kis-tarifi","Sürekli karıştırın, topak olmasın.",Tarçın serperek sıcak servis edin.
sakizli-muhallebi,Sakızlı Muhallebi,"İstanbul pastanelerinin damla sakızı kokulu sütlü tatlısı; sade görünür, aroması kalıcıdır.",TATLI,tr,Süt; Şeker; Un; Damla sakızı; Antep fıstığı,"SUT,GLUTEN,KUSUYEMIS","vejetaryen,30-dakika-alti",Damla sakızını şekerle ezip ekleyin; tencerede topak halinde kalmaz.,Tarçın ve fıstıkla soğuk servis edin.
saksuka,Şakşuka,Kızarmış sebzelerin sarımsaklı domates sosuyla buluştuğu soğuk meze.,APERATIF,tr,Patlıcan; Kabak; Patates; Domates; Sarımsak; Sıvı yağ; Tuz,,"vegan,yaz-tarifi,misafir-sofrasi,vejetaryen",Sebzeleri kızarttıktan sonra kağıt havluya alın; fazla yağ sosu ağırlaştırmaz.,Soğuk meze olarak servis edin.
salade-de-lentilles,Salade de Lentilles,"Fransız yeşil mercimeği hardallı sosla buluştuğunda, sıcak ya da ılık yenebilen güçlü bir baklagil salatası olur.",SALATA,fr,Yeşil mercimek; Arpacık soğan; Dijon hardalı; Zeytinyağı,"SUT,HARDAL",vejetaryen,Mercimeği dağılmadan haşlayıp sosu sıcakken ekleyin; taneler aromayı daha iyi çeker.,Üzerine keçi peyniri kırıntısı serperek ılık servis edin.
salade-lyonnaise,Salade Lyonnaise,"Lyon bistro salatası, frisée yeşilliği, pastırma ve poşe yumurtayı ekşi sosla dengeler.",SALATA,fr,Frisée marul; Dana pastırma; Yumurta; Kruton,"YUMURTA,GLUTEN",30-dakika-alti,Yumurtayı poşe pişirirken suya 1 yemek kaşığı sirke ekleyin; ak dağılmadan toplanır.,"Ilık olarak, sosu üzerine gezdirerek servis edin."
salatalikli-elmali-smoothie,Salatalıklı Elmalı Smoothie,"Salatalıklı elmalı smoothie, yeşil elmanın asidini sebze ferahlığıyla birleştirip hafif bir sabah bardağı kurar.",ICECEK,us,Salatalık; Yeşil elma; Limon suyu; Su,,"alkolsuz,dusuk-kalorili,vejetaryen,vegan",Salatalığın çekirdekli sulu kısmını azaltmak içeceği daha yoğun tutar.,Üzerine ince salatalık dilimleri koyarak servis edin.
salatalikli-maki,Salatalıklı Maki,"Japon sushi barlarının sade makisi, salatalık ve pirincin temiz tadını öne çıkarır.",APERATIF,jp,Sushi pirinci; Nori; Salatalık; Pirinç sirkesi; Soya sosu,SOYA,"vegan,vejetaryen",Salatalığı ince çubuk kesin; rulo kapanırken ortada boşluk kalmaz.,Soya sosu ve wasabiyle servis edin.
salatalikli-naneli-ayran,Salatalıklı Naneli Ayran,"Yoğurt, salatalık ve taze nane ile hazırlanan serinletici ayran.",ICECEK,tr,Yoğurt; Soğuk su; Salatalık; Taze nane; Tuz,SUT,"alkolsuz,pratik,vejetaryen",Salatalığı rendeledikten sonra hafif sıkın; ayran fazla sulanmaz.,Baharatlı yemeklerin yanında servis edin.
salep,Salep,"Kış akşamlarında sütle koyulaşan salep, tarçınla birlikte mahalle pastanelerinin klasik sıcak içeceğine dönüşür.",ICECEK,tr,Süt; Salep; Şeker; Tarçın,SUT,"vejetaryen,kis-tarifi,30-dakika-alti",Salepi önce birkaç kaşık soğuk sütle açarsanız tencerede topaklanmadan koyulaşır.,Üzerine tarçın serpip ince belli bardakta sıcak servis edin.
salep-latte,Salep Latte,Salebin tarçınlı dokusu ve espresso birleşince kış kahvesi daha yoğun ve tanıdık bir hale gelir.,ICECEK,tr,Süt; Salep; Espresso; Tarçın,SUT,"30-dakika-alti,vejetaryen",Salepli sütü hafif koyulaşınca ocaktan alın; uzun kaynarsa pelteleşir.,Tarçın serpip küçük fincanda servis edin.
salgam-suyu,Şalgam Suyu,"Adana'nın meşhur fermente içeceği, kebap yanında vazgeçilmez.",ICECEK,tr,Hazır şalgam suyu,,"pratik,dusuk-kalorili,vejetaryen,vegan",Acılı versiyonu için pul biber ekleyebilirsiniz.,
salpicao,Salpicao,"Brezilya tavuk salatası, didiklenmiş tavuk, havuç, elma ve patates çubuklarıyla renkli bir tabaktır.",SALATA,tr,Tavuk göğsü; Havuç; Elma; Mayonez,YUMURTA,misafir-sofrasi,,
salsa-roja,Salsa Roja,"Domates, acı biber ve kişnişle hazırlanan Meksika usulü kırmızı sos.",SOS,mx,Domates; Acı biber; Soğan; Sarımsak; Kişniş,,"vegan,pratik,vejetaryen",Domatesleri közleyerek kullanın; sosun tadı daha yoğun olur.,Taco veya tortilla cipsiyle servis edin.
sambousek,Sambousek,Lübnan mezelerinde elden ele dolaşan küçük yarım ay börekleri; içi baharatlı kıyma ya da peynirle dolar.,APERATIF,me,Un; Zeytinyağı; Dana kıyma; Soğan; Yoğurt,"GLUTEN,SUT",misafir-sofrasi,Hamur kenarlarını çatalla bastırın; kızarırken iç harç dışarı çıkmaz.,Yoğurtlu nane sosuyla sıcak servis edin.
samgyetang,Samgyetang,Kore ginsengli tavuk çorbası pirinçle doldurulmuş tavuğu berrak suda uzun pişirir.,CORBA,kr,Tavuk; Pirinç; Sarımsak; Ginseng kökü,,yuksek-protein,,
samosa,Samosa,"Hint sokaklarının üçgen böreği, baharatlı patates ve bezelye dolgusu ile kızgın yağda çıtırlaşır.",APERATIF,in,Un; Sıvı yağ; Patates; Bezelye; Garam masala,GLUTEN,"vegan,misafir-sofrasi,vejetaryen",Dolguyu soğutup hamura koyun; sıcak harç hamuru yumuşatır.,Naneli yoğurt veya chutney ile servis edin.
samsun-kaz-tiridi,Samsun Kaz Tiridi,"Samsun kaz tiridi, haşlanmış kaz eti, yufka ve et suyuyla kat kat kurulan güçlü bir kış yemeğidir.",YEMEK,tr,Kaz eti; Kuru yufka; Yoğurt; Tereyağı,"GLUTEN,SUT","misafir-sofrasi,kis-tarifi,vejetaryen",Yufkayı et suyuyla azar azar ıslatın; fazla su yufkayı hamurlaştırır.,Sarımsaklı yoğurt ve pul biberli tereyağıyla servis edin.
san-sebastian-cheesecake,San Sebastian Cheesecake,"Yanık yüzeyli, içi kremamsı kalan Bask usulü cheesecake.",TATLI,us,Krem peynir; Krema; Yumurta; Şeker; Un; Vanilin,"SUT,YUMURTA,GLUTEN","vejetaryen,misafir-sofrasi",Keki fırından aldığınızda ortası sallanmalı; soğurken kıvamı oturur.,Bir gece dinlendirip dilimleyin.
sangria,Sangria,"İspanya'nın meyveli şarap kasesi; portakal, elma ve tarçınla kalabalık sofralara serinlik getirir.",KOKTEYL,es,Kırmızı şarap; Brendi; Portakal; Elma; Tarçın çubuğu,,"alkollu,yaz-tarifi,misafir-sofrasi,vejetaryen,vegan",Meyveleri şarapta en az 2 saat bekletin; aroma içeceğe geçer.,Bol buzla servis edin.
satay-dip,Satay Dip,"Satay dip, yer fıstığı ezmesini soya, lime ve hindistan cevizi sütüyle yoğun bir şiş sosuna çevirir.",SOS,th,Yer fıstığı ezmesi; Hindistan cevizi sütü; Soya sosu; Lime suyu,"YER_FISTIGI,SOYA",30-dakika-alti,Sosu düşük ateşte ısıtın; fıstık ezmesi yüksek ateşte dibe tutar.,"Tavuk şiş, salatalık çubukları veya pirinç noodle yanında servis edin."
satay-soslu-tavuk,Satay Soslu Tavuk,Endonezya satay şişleri yer fıstıklı sosla servis edilen kısa pişen baharatlı tavuk lokmalarıdır.,YEMEK,th,Tavuk göğsü; Yer fıstığı ezmesi; Soya sosu; Hindistan cevizi sütü,"YER_FISTIGI,SOYA",yuksek-protein,,
sazerac,Sazerac,"New Orleans sazerac, çavdar viskisi, şeker ve absinthe kokusuyla kısa ama yoğun bir içim sunar.",KOKTEYL,us,Çavdar viskisi; Kesme şeker; Peychaud bitters; Absinthe,GLUTEN,"alkollu,30-dakika-alti,vejetaryen,vegan",Absinthe bardağı sadece kaplamalı; fazlası kokteyli baskılar.,Buzsuz rocks bardakta limon kabuğu aromasıyla servis edin.
sbiten,Sbiten,"Bal ve baharatla hazırlanan Rus sıcak içeceği sbiten, çaysız ama ısıtan bir kış kupası sunar.",ICECEK,ru,Su; Bal; Tarçın; Karanfil,,"kis-tarifi,alkolsuz,vejetaryen",Baharatı hafif tutun; sbiten bal tadını bastırmadan ısınma hissi vermeli.,Kupada sıcak servis edin.
scallion-pancake,Scallion Pancake,Çin taze soğanlı katmeri ince açılmış hamurun yağ ve soğanla katlanıp tavada kızarmasıyla yapılır.,APERATIF,us,Un; Taze soğan; Susam yağı; Soya sosu,"GLUTEN,SOYA,SUSAM","vegan,vejetaryen",,
sebit-yaglamasi,Şebit Yağlaması,"Kayseri'nin şebit yağlaması, ince hamur katlarının kıymalı harç ve sarımsaklı yoğurtla buluştuğu doyurucu bir sofralık yemektir.",YEMEK,tr,Un; Kuru maya; Su; Dana kıyma; Soğan; Domates rendesi; Tuz; Yoğurt,"GLUTEN,SUT",misafir-sofrasi,Şebitleri tavada fazla kurutmayın; katlanacak kadar yumuşak kalmaları gerekir.,Üzerine sarımsaklı yoğurt gezdirerek sıcak servis edin.
sebze-corbasi,Sebze Çorbası,"Havuç, kabak, patates ve kereviz sapıyla hazırlanan hafif sebze çorbası.",CORBA,tr,Havuç; Kabak; Patates; Kereviz sapı; Soğan; Zeytinyağı; Su; Tuz,KEREVIZ,"vegan,dusuk-kalorili,tek-tencere,vejetaryen",Sebzeleri küçük doğrayın; kısa sürede yumuşar ve çorba homojen olur.,Limon ve maydanozla servis edin.
sebzeli-chow-mein,Sebzeli Chow Mein,"Çin woklarının günlük eriştesi; lahana, havuç ve soya sosu yüksek ateşte diri kalır.",YEMEK,cn,Buğday eriştesi; Lahana; Havuç; Soya sosu; Susam yağı,"GLUTEN,SOYA,SUSAM","vejetaryen,30-dakika-alti,vegan",Sebzeleri ince kesin; kısa sürede pişer ve diri dokusunu korur.,Acı yağ ve taze soğanla servis edin.
sebzeli-dumpling,Sebzeli Dumpling,"Çin mutfağının ince hamurlu mantısı, lahana ve mantar dolguyla buharda yumuşak pişer.",YEMEK,cn,Un; Lahana; Mantar; Havuç; Soya sosu; Susam yağı,"GLUTEN,SOYA,SUSAM","vegan,misafir-sofrasi,vejetaryen",Kenarları suyla ıslatıp sıkı kapatın; buharda açılmaz.,Soya sosu ve susam yağıyla servis edin.
sebzeli-guvec,Sebzeli Güveç,"Patlıcan, patates, kabak ve biberin toprak kapta yavaş piştiği sebze yemeği.",YEMEK,tr,Patlıcan; Patates; Kabak; Biber; Domates; Zeytinyağı; Tuz,,"vegan,firinda,vejetaryen",Sebzeleri iri bırakın; uzun pişirme sonunda ezilmeden kalır.,Yanında sade pilavla servis edin.
sebzeli-kuskus,Sebzeli Kuskus,"Kuskus makarnasının kabak, havuç ve biberle piştiği pratik pilav alternatifi.",YEMEK,tr,Kuskus; Kabak; Havuç; Kırmızı biber; Zeytinyağı; Sıcak su; Tuz; Karabiber,GLUTEN,"vejetaryen,butce-dostu,vegan",Kuskusu eklemeden önce sebzelerin suyunu çektirin; pilav lapa olmaz.,Yoğurt veya ızgara tavuk yanında servis edin.
sebzeli-noodle,Sebzeli Noodle,Renkli sebzeler ve soya sosuyla tavada çevrilen hızlı noodle.,YEMEK,tr,Noodle; Havuç; Kabak; Kırmızı biber; Soya sosu; Susam yağı; Susam,"GLUTEN,SOYA,SUSAM","vejetaryen,30-dakika-alti,vegan",Sebzeleri yüksek ateşte kısa süre pişirin; renkleri ve dirilikleri korunur.,Üzerine susam serperek servis edin.
sebzeli-paella,Sebzeli Paella,"Safranlı pirinç, sebze ve bezelyeyle hazırlanan İspanyol pilavı.",YEMEK,es,Paella pirinci; Sebze suyu; Kırmızı biber; Bezelye; Enginar kalbi; Safran,,"vegan,misafir-sofrasi,vejetaryen",Pirinç eklendikten sonra karıştırmayın; tabanda hafif kızarmış katman oluşur.,Limon dilimleriyle servis edin.
sebzeli-spring-roll,Sebzeli Spring Roll,Pirinç kağıdına sarılan taze sebzeler ve fıstıklı sosla hazırlanan hafif atıştırmalık.,APERATIF,cn,Pirinç kağıdı; Havuç; Salatalık; Marul; Nane; Yer fıstığı ezmesi; Soya sosu,"YER_FISTIGI,SOYA","vegan,yaz-tarifi,vejetaryen",Pirinç kağıdını ılık suda kısa süre yumuşatın; fazla beklerse yırtılır.,Yer fıstıklı sosla servis edin.
sebzeli-tempura,Sebzeli Tempura,"Japon kızartma tekniğinde kabak, havuç ve mantar hafif hamurla ince çıtırlık kazanır.",APERATIF,jp,Kabak; Havuç; Mantar; Un; Yumurta; Soya sosu,"GLUTEN,YUMURTA,SOYA",vejetaryen,Hamuru soğuk suyla karıştırın ve pürüzsüz hale getirmeye çalışmayın; küçük topaklar çıtırlık verir.,Soya soslu dip ile servis edin.
seftalili-yogurt-smoothie,Şeftalili Yoğurt Smoothie,"Olgun şeftali ve yoğurt birleşince yazlık, hafif ekşi ve serin bir smoothie ortaya çıkar.",ICECEK,tr,Şeftali; Yoğurt; Süt,SUT,"alkolsuz,30-dakika-alti,vejetaryen",Şeftalinin kabuğunu isterseniz bırakın; iyi blender lifli kısmı rahat çözer.,Bardağın kenarına şeftali dilimi iliştirerek servis edin.
sehriye-corbasi,Şehriye Çorbası,"Tel şehriye, domates ve tavuk suyu ile yapılan hızlı ev çorbası.",CORBA,tr,Tel şehriye; Domates; Domates salçası; Tavuk suyu; Sıvı yağ; Tuz; Nane,GLUTEN,"30-dakika-alti,pratik,butce-dostu",Şehriyeyi ekledikten sonra sık karıştırın; tencerenin dibine yapışmadan eşit pişer.,Limon ve karabiberle servis edin.
