slug,title_tr,description_tr,type,cuisine,difficulty,prep_minutes,cook_minutes,total_minutes,serving_count,average_calories,ingredients_tr,ingredient_count,steps_tr,step_count,allergens,tags,tipNote_tr,servingSuggestion_tr,en_title_current,en_description_current,en_tipNote_current,en_servingSuggestion_current,en_ingredients_present,en_steps_present,de_title_current,de_description_current,de_tipNote_current,de_servingSuggestion_current,de_ingredients_present,de_steps_present
farofa,Farofa,"Kavrulmuş manyok unu, tereyağı ve soğanla Brezilya tabaklarına çıtır bir eşlikçi olur.",SOS,br,EASY,10,12,22,6,180,Manyok unu 250 gr | Tereyağı 60 gr | Soğan 1 adet | Maydanoz 0.5 demet,4,1. Soğanı tereyağında 5 dakika kavurun. || 2. Manyok ununu ekleyip 7 dakika karıştırarak kavurun. || 3. Maydanozu ekleyip ocaktan alın.,3,SUT,"pratik,30-dakika-alti,vejetaryen",Manyok ununu orta ateşte kavurun; rengi altına dönünce aromasını verir.,Feijoada ve ızgara et yanında servis edin.,Farofa,"A Brazilian side dish that toasts cassava flour with butter, onion, and parsley into a sandy, crunchy topping for beans and grilled meat.",,,0,0,Farofa,"Eine brasilianische Beilage, bei der man Maniokmehl mit Butter, Zwiebel und Petersilie zu einer sandigen, knusprigen Streuung roestet.",,,0,0
lomo-saltado,Lomo Saltado,"Peru wok tavalarında dana eti, soya sosu, domates ve patates kızartmasıyla canlı bir tabak kurar.",YEMEK,pe,MEDIUM,25,20,45,4,530,Dana bonfile 600 gr | Patates 3 adet | Domates 3 adet | Kırmızı soğan 1 adet | Soya sosu 3 yemek kaşığı,5,"1. Patatesleri kızartıp kenara alın. || 2. Dana etini yüksek ateşte 6 dakika soteleyin. || 3. Soğan, domates, soya sosu ve patatesi ekleyip 4 dakika çevirin.",3,SOYA,yuksek-protein,Eti yüksek ateşte kısa pişirin; domates eklendiğinde diri kalması gerekir.,Beyaz pirinç ve kızarmış patatesle servis edin.,Lomo Saltado,"A Peruvian wok dish of beef, soy, tomato, onion, and fries, tossed fast so the plate lands smoky, juicy, and boldly savory.",,,0,0,Lomo Saltado,"Ein peruanisches Wokgericht aus Rindfleisch, Soja, Tomate, Zwiebel und Pommes, schnell geschwenkt, damit es saftig und rauchig serviert wird.",,,0,0
kottbullar,Köttbullar,"İsveç köfteleri tereyağlı sos, patates püresi ve yaban mersini reçeliyle ev sıcaklığında bir tabak olur.",YEMEK,se,MEDIUM,25,25,50,4,470,Dana kıyma 500 gr | Ekmek kırıntısı 60 gr | Yumurta 1 adet | Süt 100 ml | Krema 150 ml,5,"1. Kıyma, ekmek kırıntısı, yumurta ve sütü yoğurup küçük köfteler yapın. || 2. Köfteleri tavada 15 dakika pişirin. || 3. Aynı tavada krema ile sos hazırlayıp köfteleri sosa alın.",3,"GLUTEN,SUT,YUMURTA",cocuk-dostu,Köfte harcını 20 dakika dinlendirin; ekmek kırıntısı nemi tutar ve köfteler dağılmaz.,Patates püresi ve yaban mersini reçeliyle servis edin.,Köttbullar,"Swedish meatballs bound with bread and milk, browned in the pan and finished with cream for a soft, rich, homestyle plate.",,,0,0,Köttbullar,"Schwedische Fleischbällchen, mit Brot und Milch gebunden, in der Pfanne gebräunt und mit Sahne zu einem weichen, reichhaltigen Teller vollendet.",,,0,0
cin-hot-pot,Çin Hot Pot,"Sichuan esintili hot pot, baharatlı et suyunda ince et, sebze ve mantarları sofrada pişirir.",YEMEK,cn,MEDIUM,35,30,65,6,360,Dana eti 500 gr | Tavuk suyu 1.5 litre | Soya sosu 4 yemek kaşığı | Susam ezmesi 3 yemek kaşığı | Mantar 300 gr,5,"1. Tavuk suyunu soya sosu ve acı biberle kaynatın. || 2. Et, mantar ve lahanayı ince doğrayıp servis tabağına alın. || 3. Malzemeleri sıcak et suyunda porsiyon porsiyon pişirin.",3,"SOYA,SUSAM",misafir-sofrasi,,,Chinese Hot Pot,"A Chinese table-cooking tradition that keeps spiced broth bubbling in the center while guests swish meat, mushrooms, and greens to their liking.",,,0,0,Chinesischer Hot Pot,"Eine chinesische Tischkultur, bei der man würzige Brühe in der Mitte kochen lässt und Fleisch, Pilze und Gemüse direkt darin gart.",,,0,0
egg-drop-soup,Egg Drop Soup,"Çin ev çorbasında çırpılmış yumurta, sıcak tavuk suyuna ince şeritler halinde akar.",CORBA,cn,EASY,10,10,20,4,90,Tavuk suyu 1 litre | Yumurta 3 adet | Mısır nişastası 1 yemek kaşığı | Soya sosu 1 yemek kaşığı | Taze soğan 2 dal,5,1. Tavuk suyunu soya sosuyla kaynatın. || 2. Nişastayı suyla açıp çorbaya ekleyin ve 2 dakika pişirin. || 3. Çırpılmış yumurtayı ince akıtarak karıştırın ve taze soğanla servis edin.,3,"YUMURTA,SOYA","pratik,30-dakika-alti",,,Egg Drop Soup,"A Chinese home-style soup that trails beaten egg into hot broth, making soft ribbons in a light bowl finished with scallion.",,,0,0,Egg-Drop-Suppe,"Eine chinesische Haus-Suppe, bei der man geschlagenes Ei in heisse Brühe laufen laesst und weiche Fäden mit Fruehlingszwiebel serviert.",,,0,0
har-gow,Har Gow,"Kanton dim sum klasiği har gow, yarı saydam hamur içinde karidesli iç harçla buharda pişer.",APERATIF,cn,HARD,50,10,60,6,200,Karides 400 gr | Buğday nişastası 180 gr | Tapyoka nişastası 80 gr | Susam yağı 1 yemek kaşığı | Soya sosu 2 yemek kaşığı,5,1. Nişastaları sıcak suyla yoğurup hamur yapın. || 2. Karidesi soya sosu ve susam yağıyla karıştırın. || 3. Mantıları doldurup buharda 8-10 dakika pişirin.,3,"GLUTEN,SOYA,DENIZ_URUNLERI,SUSAM",misafir-sofrasi,,,Har Gow,"A Cantonese dim sum dumpling with translucent dough and a shrimp filling, steamed until glossy and delicate.",,,0,0,Har Gow,"Ein kantonesischer Dim-Sum-Dumpling mit durchscheinendem Teig und Garnelenfuellung, den man glaenzend und zart dämpft.",,,0,0
congee,Congee,"Çin pirinç lapası uzun pişince yumuşak, sakin ve besleyici bir kahvaltı kasesine dönüşür.",KAHVALTI,cn,EASY,10,60,70,4,170,Pirinç 1 su bardağı | Tavuk suyu 1.5 litre | Zencefil 20 gr | Soya sosu 1 yemek kaşığı | Taze soğan 2 dal,5,"1. Pirinç, tavuk suyu ve zencefili tencereye alın. || 2. Kısık ateşte 60 dakika pişirin. || 3. Soya sosu ve taze soğanla servis edin.",3,SOYA,butce-dostu,,,Congee,"A slow-cooked Chinese rice porridge simmered with stock and ginger until calm and silky, then served with soy sauce and fresh scallion.",,,0,0,Congee,"Ein chinesischer Reisbrei, den man mit Brühe und Ingwer langsam weich kocht und mit Sojasauce und Fruehlingszwiebel serviert.",,,0,0
loukoumades,Loukoumades,"Yunan bal lokmaları kızgın yağda kabarır, üzerine bal ve tarçın gelince şenlik tatlısına döner.",TATLI,gr,MEDIUM,45,15,60,6,310,Un 350 gr | Maya 7 gr | Süt 250 ml | Bal 150 gr | Tarçın 1 çay kaşığı,5,"1. Un, maya ve sütle akışkan hamur hazırlayıp 35 dakika mayalandırın. || 2. Kaşıkla parçalar alıp kızgın yağda pişirin. || 3. Bal ve tarçınla sıcak servis edin.",3,"GLUTEN,SUT",vejetaryen,,,Loukoumades,"Greek honey dough bites fried until puffed, then served warm with honey and cinnamon for a festive, sticky little dessert.",,,0,0,Loukoumades,"Griechische Teigbällchen mit Honig, frittiert bis sie aufgehen und warm mit Honig und Zimt als festliches Dessert serviert.",,,0,0
skordalia,Skordalia,Yunan sarımsaklı patates ezmesi zeytinyağı ve sirkeyle balık ya da sebzeye keskin bir eşlikçi olur.,SOS,gr,EASY,15,20,35,6,160,Patates 500 gr | Sarımsak 4 diş | Zeytinyağı 100 ml | Sirke 2 yemek kaşığı,4,1. Patatesleri 20 dakika haşlayın. || 2. Sarımsağı ezip patatesle karıştırın. || 3. Zeytinyağı ve sirkeyi ekleyip pürüzsüz ezme yapın.,3,,"vegan,vejetaryen",,,Skordalia,"A Greek garlic-potato spread whipped with olive oil and vinegar, sharp, fluffy, and especially good beside fried fish or vegetables.",,,0,0,Skordalia,"Ein griechischer Kartoffel-Knoblauch-Dip mit Olivenöl und Essig, luftig und kräftig, besonders gut zu Fisch oder Gemüse.",,,0,0
briam,Briam,"Yunan fırın sebzesi briam, kabak, patates ve domatesi zeytinyağında ağır ağır yumuşatır.",YEMEK,gr,EASY,20,60,80,4,210,Kabak 3 adet | Patates 3 adet | Domates 4 adet | Zeytinyağı 80 ml | Sarımsak 2 diş,5,"1. Sebzeleri halka doğrayıp fırın kabına dizin. || 2. Zeytinyağı, domates ve sarımsak ekleyin. || 3. 180°C fırında 60 dakika pişirin.",3,,"vegan,firinda,vejetaryen",,,Briam,"A Greek tray bake that slowly roasts zucchini, potato, and tomato in olive oil until the edges caramelize and the vegetables turn silky.",,,0,0,Briam,"Ein griechisches Ofengemüse, bei dem man Zucchini, Kartoffel und Tomate langsam in Olivenöl gart, bis die Ränder karamellisieren und alles seidig wird.",,,0,0
stifado,Stifado,"Yunan usulü stifado, arpacık soğan ve baharatla uzun pişen koyu bir dana yahnisidir.",YEMEK,gr,MEDIUM,25,110,135,5,430,Dana eti 800 gr | Arpacık soğan 500 gr | Domates püresi 300 ml | Tarçın çubuğu 1 adet,4,"1. Dana etini tencerede mühürleyin. || 2. Arpacık soğan, domates ve tarçını ekleyin. || 3. Kısık ateşte 100-110 dakika pişirin.",3,,tek-tencere,,,Stifado,"A Greek beef stew slowly cooked with pearl onions, tomato, and cinnamon, dark and tender enough to spoon over bread or rice.",,,0,0,Stifado,"Ein griechischer Rinderschmortopf mit Schalotten, Tomate und Zimt, langsam gegart, dunkel in der Sauce und wunderbar zart.",,,0,0
kourabiethes,Kourabiethes,Yunan bademli kurabiyesi pudra şekeri örtüsüyle ağızda dağılan bayram lokmasına dönüşür.,TATLI,gr,MEDIUM,25,22,47,8,230,Un 350 gr | Tereyağı 220 gr | Badem 120 gr | Pudra şekeri 150 gr,4,1. Tereyağı ve pudra şekerini çırpın. || 2. Un ve bademi ekleyip kurabiye hamuru hazırlayın. || 3. 170°C fırında 22 dakika pişirip pudra şekeriyle kaplayın.,3,"GLUTEN,SUT,KUSUYEMIS",vejetaryen,,,Kourabiethes,"Greek butter cookies with almond and powdered sugar, baked until sandy and crumbly, then served as festive little bites.",,,0,0,Kourabiethes,"Griechische Butterkekse mit Mandel und Puderzucker, mürbe gebacken und als kleine festliche Happen serviert.",,,0,0
mechoui,Mechoui,Mağrip sofralarının mechoui usulünde kuzu eti baharatla ovulur ve düşük ısıda lif lif pişer.,YEMEK,ma,HARD,25,210,235,6,520,Kuzu kol 1.8 kg | Kimyon 2 çay kaşığı | Kişniş 2 çay kaşığı | Zeytinyağı 4 yemek kaşığı,4,1. Kuzu etini zeytinyağı ve baharatlarla ovun. || 2. Kapalı fırın kabında 160°C fırında 3 saat pişirin. || 3. Kapağı açıp 30 dakika kızartın.,3,,misafir-sofrasi,,,Mechoui,"A Maghreb-style roast of lamb rubbed with cumin and coriander, then cooked low until the meat pulls apart in soft strands.",,,0,0,Mechoui,"Ein Lammbraten nach Maghreb-Art, mit Kreuzkümmel und Koriander eingerieben und langsam gegart, bis das Fleisch weich zerfällt.",,,0,0
khobz-eldar,Khobz Eldar,"Cezayir ev ekmeği khobz eldar, irmik ve unla yumuşak dokulu yuvarlak somunlar verir.",APERATIF,ma,MEDIUM,45,25,70,6,210,Un 350 gr | İrmik 150 gr | Süt 250 ml | Yumurta 1 adet | Susam 2 yemek kaşığı | Kuru maya 1 çay kaşığı,6,"1. Un, irmik, süt ve mayayla hamur yoğurun. || 2. Hamuru 35 dakika mayalandırın. || 3. Üzerine yumurta ve susam sürüp 190°C fırında 25 dakika pişirin.",3,"GLUTEN,SUT,YUMURTA,SUSAM",vejetaryen,,,Khobz Eldar,"A North African home bread of flour and semolina, baked into soft round loaves with sesame on top and a tender, rich crumb.",,,0,0,Khobz Eldar,"Ein nordafrikanisches Hausbrot aus Mehl und Grieß, zu weichen runden Laiben gebacken, mit Sesam bestreut und innen zart.",,,0,0
zaalouk,Zaalouk,"Fas patlıcan ezmesi közlenmiş patlıcanı domates, sarımsak ve kimyonla sıcak bir mezeye çevirir.",SOS,ma,EASY,15,25,40,4,90,Patlıcan 3 adet | Domates 3 adet | Sarımsak 3 diş | Kimyon 1 çay kaşığı,4,1. Patlıcanları közleyip kabuklarını soyun. || 2. Domates ve sarımsağı 10 dakika pişirin. || 3. Patlıcan ve kimyonu ekleyip ezerek 10 dakika daha pişirin.,3,,"vegan,vejetaryen",,,Zaalouk,"A Moroccan eggplant mezze where roasted eggplant cooks down with tomato, garlic, and cumin into a warm, spreadable salad.",,,0,0,Zaalouk,"Ein marokkanisches Auberginen-Meze, bei dem geröstete Aubergine mit Tomate, Knoblauch und Kreuzkümmel warm und streichfähig wird.",,,0,0
loubia,Loubia,Fas beyaz fasulye yemeği domatesli sos ve kimyonla kış sofralarında doyurucu bir tencere olur.,YEMEK,ma,EASY,20,75,95,5,280,Kuru fasulye 400 gr | Domates püresi 300 ml | Sarımsak 3 diş | Kimyon 1 tatlı kaşığı,4,"1. Fasulyeyi akşamdan ıslatıp süzün. || 2. Domates, sarımsak ve kimyonla tencereye alın. || 3. Kısık ateşte 75 dakika pişirin.",3,,"vegan,tek-tencere,vejetaryen",,,Loubia,"A Moroccan white bean stew cooked with tomato, garlic, and cumin until thick, humble, and deeply satisfying on cold days.",,,0,0,Loubia,"Ein marokkanischer Eintopf aus weißen Bohnen, mit Tomate, Knoblauch und Kreuzkümmel gekocht, bis er dick, schlicht und sehr sättigend wird.",,,0,0
makroudh,Makroudh,Kuzey Afrika irmik tatlısı hurma dolgusu ve ballı şerbetle yoğun bir lokma sunar.,TATLI,ma,HARD,45,25,70,8,340,İrmik 400 gr | Tereyağı 120 gr | Hurma ezmesi 250 gr | Bal 200 gr | Susam 2 yemek kaşığı,5,1. İrmik ve tereyağıyla hamur hazırlayın. || 2. Hurma ezmesini hamurun içine yerleştirip dilimleyin. || 3. Dilimleri kızartıp ballı şerbete alın.,3,"GLUTEN,SUT,SUSAM",vejetaryen,,,Makroudh,"A North African semolina pastry filled with date paste, fried or baked, then glazed in honey for a dense, sticky bite.",,,0,0,Makroudh,"Ein nordafrikanisches Grießgebäck mit Dattelfüllung, ausgebacken und in Honig getaucht, dicht in der Textur und angenehm klebrig.",,,0,0
hamsi-tava,Hamsi Tava,"Karadeniz tavalarında hamsi mısır ununa bulanır, tek parça çevrilerek altın renkli pişer.",YEMEK,tr,MEDIUM,20,12,32,4,310,Hamsi 800 gr | Mısır unu 120 gr | Tuz 1 tatlı kaşığı | Sıvı yağ 4 yemek kaşığı,4,1. Hamsileri ayıklayıp yıkayın ve kurulayın. || 2. Mısır unu ve tuza bulayıp tavaya dizin. || 3. İki yüzünü toplam 12 dakika pişirin.,3,DENIZ_URUNLERI,yuksek-protein,,,Hamsi Tava,A Black Sea anchovy favorite that coats fish in cornmeal and pan-fries them in a single round until golden and crisp.,,,0,0,Hamsi Tava,"Ein Lieblingsgericht vom Schwarzen Meer, bei dem man Sardellen in Maismehl wendet und goldgelb als Kreis in der Pfanne brät.",,,0,0
sahanda-mihlama,Sahanda Mıhlama,"Trabzon kahvaltılarında mısır unu, tereyağı ve peynir sahanda uzayan sıcak bir lezzete dönüşür.",KAHVALTI,tr,EASY,10,12,22,3,420,Tereyağı 80 gr | Mısır unu 4 yemek kaşığı | Kolot peyniri 250 gr | Su 1 su bardağı,4,1. Tereyağını eritip mısır ununu 4 dakika kavurun. || 2. Suyu ekleyip karıştırarak kıvam verin. || 3. Peyniri ekleyip eriyene kadar 5 dakika pişirin.,3,SUT,"pratik,30-dakika-alti,vejetaryen",,,Mıhlama,"A Trabzon breakfast pan of butter, cornmeal, and local cheese, cooked until the spoon pulls long stretchy threads.",,,0,0,Mıhlama,"Eine Frühstückspfanne aus Trabzon mit Butter, Maismehl und regionalem Käse, gekocht bis der Löffel lange Fäden zieht.",,,0,0
akcaabat-koftesi,Akçaabat Köftesi,"Trabzon'un sade köftesi dana eti, ekmek içi ve sarımsakla hazırlanır; kömür tadı öne çıkar.",YEMEK,tr,MEDIUM,25,15,40,4,470,Dana kıyma 700 gr | Bayat ekmek içi 80 gr | Sarımsak 3 diş | Tuz 1 tatlı kaşığı,4,"1. Kıyma, ekmek içi, sarımsak ve tuzu yoğurun. || 2. Köfteleri yassı şekillendirip 20 dakika dinlendirin. || 3. Izgarada iki yüzünü 15 dakika pişirin.",3,GLUTEN,yuksek-protein,,,Akçaabat Köftesi,"A Black Sea grill specialty from Trabzon, mixing beef, bread, and garlic into plain-looking patties that pick up a deep smoky crust over the fire.",,,0,0,Akçaabat Köftesi,"Eine Grillspezialitaet von der Schwarzmeerkueste aus Trabzon, bei der man Rindfleisch, Brot und Knoblauch zu schlichten Frikadellen formt und ueber Feuer rauchig grillt.",,,0,0
