slug,title,description,type,cuisine,difficulty,prep_minutes,cook_minutes,total_minutes,serving_count,average_calories,ingredients,ingredient_count,steps,step_count,allergens,tags,tipNote,servingSuggestion
cong-you-bing,Cong You Bing,"Çin usulü taze soğanlı yassı ekmek, katmanlı yapısı ve tavada oluşan çıtırlığıyla kahvaltıda öne çıkar.",KAHVALTI,cn,MEDIUM,20,12,32,4,260,Un 2 su bardağı | Sıcak su 0.75 su bardağı | Taze soğan 4 dal | Susam yağı 2 yemek kaşığı,4,"1. Un ve sıcak suyla yumuşak bir hamur yoğurup 15 dakika dinlendirin. || 2. Hamuru açıp susam yağı sürün, taze soğan serpin ve rulo yapın. || 3. Ruloyu yeniden açıp tavada iki yüzünü 6 dakika pişirin.",3,"GLUTEN,SUSAM","vejetaryen,vegan",Hamuru açtıktan sonra yağı ince sürün; kalın yağ tabakası katmanları ağırlaştırır.,Soya sosu ve pirinç sirkesiyle sıcak servis edin.
congee,Congee,"Çin pirinç lapası uzun pişince yumuşak, sakin ve besleyici bir kahvaltı kasesine dönüşür.",KAHVALTI,cn,EASY,10,60,70,4,170,Pirinç 1 su bardağı | Tavuk suyu 1.5 litre | Zencefil 20 gr | Soya sosu 1 yemek kaşığı,4,"1. Pirinç, tavuk suyu ve zencefili tencereye alın. || 2. Kısık ateşte 60 dakika pişirin. || 3. Soya sosu ve taze soğanla servis edin.",3,SOYA,butce-dostu,,
coq-au-vin,Coq au Vin,"Burgonya'nın şarapta ağır pişen tavuk yemeği; mantar, soğan ve tereyağıyla derinleşir.",YEMEK,fr,HARD,30,90,120,4,420,Tavuk but 6 adet | Kırmızı şarap 2 su bardağı | Mantar 250 gr | Arpacık soğan 10 adet | Tereyağı 40 gr | Un 1 yemek kaşığı,6,1. Tavukları tereyağında 8 dakika kızartın. || 2. Mantar ve soğanı ekleyip 6 dakika kavurun. || 3. Un ve şarabı ekleyin. || 4. Kısık ateşte 80-90 dakika pişirin.,4,"GLUTEN,SUT","alkollu,misafir-sofrasi",Tavuğu önce kızartın; sosun rengi ve tadı bu karamelleşmeyle güçlenir.,Patates püresiyle servis edin.
corn-dog,Corn Dog,"Amerikan corn dog, sosisin mısır unlu hamura batırılıp çubuk üzerinde kızartılmış halidir.",ATISTIRMALIK,us,MEDIUM,20,12,32,6,320,Dana sosis 6 adet | Mısır unu 180 gr | Un 120 gr | Yumurta 1 adet,4,"1. Mısır unu, un, yumurta ve sütle koyu hamur hazırlayın. || 2. Sosisleri çubuğa geçirip hamura batırın. || 3. Corn dogları 170°C yağda 8-10 dakika kızartın.",3,"GLUTEN,YUMURTA",cocuk-dostu,,Hardal ve ketçap ile sıcak servis edin.
corpse-reviver-no-2,Corpse Reviver No 2,"Klasik bar kitaplarından turunçgil, cin ve absint kokulu sabah sonrası kokteyli.",KOKTEYL,tr,MEDIUM,6,0,6,1,190,Cin 25 ml | Portakal likörü 25 ml | Limon suyu 25 ml | Absint 5 ml | Buz 1 su bardağı,5,"1. Kadehi absintle çalkalayıp fazlasını dökün. || 2. Cin, portakal likörü ve limonu buzla 12 saniye çalkalayın. || 3. Kadehe süzüp limon kabuğuyla servis edin.",3,,"vejetaryen,vegan,alkollu,30-dakika-alti",Bardağı absintle çalkalayıp fazlasını dökün; anason aroması ölçülü kalır.,Soğuk kadehte limon kabuğuyla servis edin.
cortado,Cortado,"Cortado, espressonun keskinliğini az miktar sıcak sütle yumuşatıp kısa ve net bir fincan sunar.",ICECEK,es,MEDIUM,5,4,9,1,110,Espresso 60 ml | Süt 150 ml | Şeker 1 çay kaşığı (opsiyonel),3,1. Çift shot espresso hazırlayın. || 2. Sütü mikro köpük kıvamında ısıtın. || 3. Sütü espressonun üstüne yavaşça dökün.,3,SUT,"30-dakika-alti,vejetaryen",Sütü kalın köpürtmezseniz cortadonun kısa ve dengeli dokusu korunur.,Küçük fincanda sade olarak servis edin.
corum-keskek,Çorum Keşkek,"Çorum keşkeği, buğday ve etin uzun süre dövülerek kremamsı kıvama geldiği tören yemeğidir.",YEMEK,tr,HARD,30,180,210,8,460,Aşurelik buğday 500 gr | Dana eti 700 gr | Tereyağı 80 gr | Pul biber 1 tatlı kaşığı,4,1. Buğday ve eti 3 saat pişirin. || 2. Karışımı 15 dakika dövün. || 3. Tereyağlı biberle servis edin.,3,"GLUTEN,SUT",misafir-sofrasi,Buğday tamamen açılmadan dövmeye başlamayın; taneler diri kalır.,Pul biberli tereyağı gezdirerek sıcak servis edin.
cosmopolitan,Cosmopolitan,"Votka, turna yemişi suyu ve portakal likörüyle hazırlanan ekşi tatlı kokteyl.",KOKTEYL,tr,EASY,5,0,5,1,180,Votka 45 ml | Portakal likörü 20 ml | Turna yemişi suyu 30 ml | Misket limonu suyu 15 ml | Buz 1 su bardağı,5,1. Tüm sıvı malzemeleri buzla dolu çalkalayıcıya alın. || 2. Karışımı 15 saniye çalkalayın. || 3. Soğuk kokteyl kadehine süzün.,3,,"alkollu,pratik,vejetaryen,vegan",Bardağı önceden soğutun; içki servis boyunca daha diri kalır.,Portakal kabuğu kıvrımıyla servis edin.
couscous-royal,Couscous Royal,"Mağrip sofralarında sebze, kuzu ve tavukla yükselen gösterişli kuskus tabağı.",YEMEK,ma,HARD,35,80,115,6,560,Kuskus 500 gr | Kuzu eti 500 gr | Tavuk but 500 gr | Havuç 3 adet | Nohut 250 gr,5,1. Kuzu eti ve tavuk butu 50 dakika haşlayın. || 2. Havuç ve nohudu ekleyip 25 dakika pişirin. || 3. Kuskusu sıcak et suyuyla 10 dakika dinlendirip et ve sebzeyle servis edin.,3,GLUTEN,misafir-sofrasi,Kuskusu sıcak et suyuyla ıslatıp 10 dakika kapalı dinlendirin; taneler şişer ve ayrılır.,Sebzeleri ve etleri kuskusun üzerine yüksekçe dizin.
coxinha,Coxinha,"Brezilya sokaklarında tavuklu iç harç, damla biçimli hamurun içinde kızarıp çıtır bir atıştırmalık olur.",APERATIF,br,HARD,50,30,80,6,320,Tavuk göğsü 500 gr | Un 350 gr | Tavuk suyu 500 ml | Krem peynir 120 gr | Yumurta 2 adet | Galeta unu 200 gr,6,"1. Tavuğu haşlayıp didikleyin ve krem peynirle karıştırın. || 2. Tavuk suyunda unu pişirip hamur hazırlayın. || 3. Hamuru doldurup yumurta ve galeta ununa bulayın, 180°C yağda kızartın.",3,"GLUTEN,SUT,YUMURTA",misafir-sofrasi,Hamuru sıcakken yoğurun; soğursa şekil verirken çatlar.,Acı sos ve limon dilimiyle servis edin.
crema-catalana,Crema Catalana,"Katalonya'nın portakal kabuğu ve tarçın kokulu kreması, üstündeki ince karamel tabakayla kırılır.",TATLI,tr,MEDIUM,15,20,35,6,230,Süt 3 su bardağı | Yumurta sarısı 5 adet | Şeker 0.75 su bardağı | Mısır nişastası 2 yemek kaşığı | Tarçın çubuğu 1 adet,5,"1. Sütü tarçınla 8 dakika ısıtın. || 2. Yumurta sarısı, şeker ve nişastayı çırpın. || 3. Sütü karışıma ekleyip kısık ateşte 10 dakika pişirin. || 4. Kaselere paylaştırıp soğutun.",4,"SUT,YUMURTA","misafir-sofrasi,vejetaryen",Kremayı kaynatmayın; yumurta sarısı yüksek ısıda pütürlenir.,Üstünü servis öncesi yakarak çıtır karamel elde edin.
creme-brulee,Crème Brûlée,Vanilyalı kremanın üzeri karamelize şekerle kaplanan Fransız tatlısı.,TATLI,fr,HARD,20,45,65,6,370,Krema 500 ml | Yumurta sarısı 5 adet | Şeker 0.5 su bardağı | Vanilya 1 çubuk | Esmer şeker 4 yemek kaşığı,5,1. Krema ve vanilyayı ısıtıp 5 dakika demleyin. || 2. Yumurta sarısı ve şekeri çırpıp kremayla karıştırın. || 3. Kapları benmaride 150°C fırında 35-40 dakika pişirin.,3,"SUT,YUMURTA","misafir-sofrasi,vejetaryen",Kremaları benmaride düşük ısıda pişirin; yüzey çatlamadan kıvam alır.,Şekeri servis öncesi karamelize edin.
croque-madame,Croque Madame,"Paris bistro menülerinin peynirli tost klasiği, üzerine gelen sahanda yumurtayla daha tok bir öğüne dönüşür.",KAHVALTI,fr,MEDIUM,10,15,25,2,430,Tost ekmeği 4 dilim | Jambon 4 dilim | Gruyere peyniri 120 gr | Krema 3 yemek kaşığı | Yumurta 2 adet,5,1. Ekmeklerin arasına jambon ve peynirin yarısını yerleştirip kapatın. || 2. Üstlerine krema ve kalan peyniri sürüp 200°C fırında 10 dakika pişirin. || 3. Yumurtaları tavada pişirip tostların üstüne yerleştirin.,3,"GLUTEN,SUT,YUMURTA",misafir-sofrasi,Beşamel yerine az miktar krema kullanıyorsanız ekmeği tamamen ıslatmayın; üst yüzey kızarmalı kalır.,Yanına kornişon turşu ve yeşil salata ekleyin.
croquetas,Croquetas,"İspanyol tapas tezgahlarından beşamel dolgulu, dışı galeta unuyla çıtırlaşan küçük kroketler.",APERATIF,es,MEDIUM,35,20,55,6,250,Tereyağı 60 gr | Un 0.5 su bardağı | Süt 2 su bardağı | Yumurta 2 adet | Galeta unu 1 su bardağı | Jambon 120 gr,6,1. Tereyağı ve unu 3 dakika kavurun. || 2. Sütü ekleyip koyu beşamel pişirin. || 3. Jambonu ekleyip harcı 60 dakika soğutun. || 4. Şekillendirip yumurta ve galeta ununa bulayarak kızartın.,4,"GLUTEN,SUT,YUMURTA",misafir-sofrasi,Beşamel harcını soğutmadan şekil vermeyin; elde dağılır.,Limon dilimiyle sıcak servis edin.
csalamade,Csalamade,"İnce doğranmış lahana ve biberlerin sirkeyle buluştuğu Csalamade, Macar sofralarında taze turşu gibi iş görür.",SALATA,hu,EASY,20,0,20,6,55,Beyaz lahana 300 gr | Salatalık 2 adet | Yeşil biber 2 adet | Elma sirkesi 4 yemek kaşığı | Tuz 1 çay kaşığı | Şeker 1 yemek kaşığı,6,"1. Sebzeleri ince ince doğrayın. || 2. Sirke, tuz ve şekerle harmanlayın. || 3. 15 dakika dinlendirip servis edin.",3,,"vegan,30-dakika-alti,vejetaryen",Sebzeleri ince ve benzer boyda doğramak marinasyonun eşit işlemesini sağlar.,Izgara et veya patates yemeklerinin yanında soğuk servis edin.
cuba-libre,Cuba Libre,"Rom, kola ve misket limonuyla hazırlanan pratik Küba kokteyli.",KOKTEYL,cu,EASY,5,0,5,1,185,Beyaz rom 50 ml | Kola 120 ml | Misket limonu 0.5 adet | Buz 1 su bardağı,4,1. Uzun bardağı buzla doldurun. || 2. Rom ve misket limonu suyunu ekleyin. || 3. Kolayı döküp 5 saniye karıştırın.,3,,"alkollu,pratik,vejetaryen,vegan",Misket limonunu bardağa sıkıp kabuğunu da ekleyin; aroma içeceğe yayılır.,Bol buzla uzun bardakta servis edin.
cuban-black-beans,Cuban Black Beans,"Küba siyah fasulyesi soğan, biber ve kimyonla koyu, aromalı bir baklagil yemeği olur.",YEMEK,tr,MEDIUM,20,80,100,6,260,Siyah fasulye 500 gr | Yeşil biber 2 adet | Soğan 1 adet | Kimyon 1 tatlı kaşığı,4,"1. Fasulyeyi bir gece ıslatıp süzün. || 2. Fasulye, soğan ve biberi tencereye alın. || 3. Kısık ateşte 80 dakika pişirin.",3,,"vegan,tek-tencere,vejetaryen",,
cuban-flan,Cuban Flan,"Küba flanı yoğun süt ve yumurtayla pişer, karamelli tabanıyla parlak bir tatlı olur.",TATLI,tr,MEDIUM,20,50,70,8,250,Yumurta 5 adet | Yoğunlaştırılmış süt 400 gr | Süt 400 ml | Şeker 150 gr,4,1. Şekeri kalıpta karamel haline getirin. || 2. Yumurta ve sütleri çırpıp kalıba dökün. || 3. Benmaride 50 dakika pişirin.,3,"SUT,YUMURTA",vejetaryen,,
cuban-mojo-chicken,Cuban Mojo Chicken,"Cuban mojo chicken, portakal, lime ve sarımsaklı marinasyonla fırında kokulu ve sulu pişer.",YEMEK,cu,MEDIUM,35,45,80,5,380,Tavuk but 1 kg | Portakal suyu 180 ml — Marine için | Lime suyu 60 ml — Marine için | Sarımsak 6 diş — Marine için,4,1. Tavuğu mojo marinasyonuyla 2 saat bekletin. || 2. Tavuğu 190°C fırında 45 dakika pişirin. || 3. Fırın suyunu üzerine gezdirip servis edin.,3,,yuksek-protein,Derili tavuk kullanın; fırında narenciye asidine rağmen kurumaz.,Siyah fasulye pilavı ve lime dilimleriyle servis edin.
cuban-picadillo,Cuban Picadillo,"Zeytin ve kuru üzümle kurulan Cuban Picadillo, tuzlu-tatlı geçişiyle pilav üstünde canlı bir kıyma yemeği sunar.",YEMEK,cu,EASY,15,25,40,4,390,Dana kıyma 500 gr | Domates 3 adet | Yeşil zeytin 80 gr | Kuru üzüm 40 gr,4,1. Kıymayı soğanla birlikte yüksek ateşte kavurun. || 2. Domates ve baharatı ekleyip 15 dakika pişirin. || 3. Zeytin ve kuru üzümü katıp 5 dakika daha pişirin.,3,,pratik,Kuru üzümü en sonda ekleyin; uzun pişerse doku yerine tatlılık bırakır.,Beyaz pirinç ve lime dilimiyle servis edin.
cucumber-cooler,Cucumber Cooler,"Cucumber cooler salatalık, lime ve naneyle serin, alkolsüz ve hafif bir yaz içeceğidir.",ICECEK,us,EASY,10,0,10,3,55,Salatalık 2 adet | Lime suyu 3 yemek kaşığı | Nane 8 yaprak | Soda 300 ml,4,"1. Salatalıkları blenderdan geçirip süzün. || 2. Salatalık suyu, lime ve naneyi karıştırın. || 3. Soda ve buzla tamamlayın.",3,,"alkolsuz,yaz-tarifi,vejetaryen,vegan",Salatalık suyunu süzgeçten geçirin; posa beklerken ayrışır.,Uzun bardakta nane dalı ve salatalık şeridiyle servis edin.
curau-de-milho,Curau de Milho,"Curau de milho, taze mısırın sütle pişirilip tarçınla tamamlandığı yumuşak kıvamlı bir Brezilya tatlısıdır.",TATLI,br,EASY,15,20,35,6,196,Taze mısır 5 koçan | Süt 500 ml | Şeker 100 gr | Tereyağı 20 gr | Tarçın 1 çay kaşığı,5,1. Mısır tanelerini kesip sütle birlikte blenderdan geçirin. || 2. Karışımı süzüp şeker ve tereyağıyla 15 dakika pişirin. || 3. Tatlıyı kaselere alıp tarçınla servis edin.,3,SUT,vejetaryen,Mısır püresini süzmek tatlının daha pürüzsüz kaşık izi vermesini sağlar.,Üzerine tarçın serperek ılık servis edin.
currywurst-sos,Currywurst Sos,"Currywurst sos, domates, köri ve sirkeyle sosis ve patates için baharatlı tatlı bir sokak sosudur.",SOS,hu,EASY,8,15,23,6,60,Domates püresi 300 ml | Köri 2 tatlı kaşığı | Elma sirkesi 2 yemek kaşığı | Esmer şeker 1 yemek kaşığı,4,"1. Köriyi az yağda 30 saniye kavurun. || 2. Domates püresi, sirke ve şekeri ekleyin. || 3. Sosu 15 dakika kısık ateşte pişirin.",3,,"vegan,30-dakika-alti,vejetaryen",Köriyi yağda 30 saniye kavurun; baharat çiğ kalmaz.,Izgara dana sosis ve fırın patates üzerinde sıcak servis edin.
daiquiri,Daiquiri,"Beyaz rom, misket limonu ve şeker şurubuyla yapılan sade Küba kokteyli.",KOKTEYL,cu,EASY,5,0,5,1,170,Beyaz rom 60 ml | Misket limonu suyu 25 ml | Şeker şurubu 15 ml | Buz 1 su bardağı,4,"1. Rom, misket limonu suyu ve şeker şurubunu çalkalayıcıya alın. || 2. Buz ekleyip 12-15 saniye çalkalayın. || 3. Kokteyli soğuk kadehe süzün.",3,,"alkollu,pratik,vejetaryen,vegan",Limon suyunu taze sıkın; şişe limon suyu kokteylin dengesini bozar.,Soğutulmuş kup kadehte servis edin.
dakgalbi,Dakgalbi,Chuncheon tavalarının acılı tavuk sotesi; lahana ve pirinç kekiyle tek tavada paylaşılır.,YEMEK,tr,MEDIUM,20,22,42,4,420,Tavuk but eti 700 gr — Ana malzeme | Lahana 300 gr — Ana malzeme | Pirinç keki 250 gr — Ana malzeme | Gochujang 3 yemek kaşığı — Sos için | Soya sosu 2 yemek kaşığı — Sos için,5,"1. Tavuk, gochujang ve soya sosunu 15 dakika marine edin. || 2. Lahana ve tavuğu geniş tavada 12 dakika pişirin. || 3. Pirinç kekini ekleyip sos tavaya tutunana kadar 8 dakika çevirin.",3,SOYA,yuksek-protein,Tavuk parçalarını eşit kesin; sos karamelize olurken hepsi aynı anda pişer.,Tavanın dibinde kalan sosla pilav çevirebilirsiniz.
dakos,Dakos,"Girit usulü dakos, arpa peksimetinin domates, feta ve zeytinyağıyla yumuşadığı ferah bir yaz tabağıdır.",APERATIF,gr,EASY,10,0,10,2,220,Arpa peksimeti 2 adet | Domates 2 adet | Feta peyniri 80 gr | Zeytinyağı 2 yemek kaşığı | Kekik 1 çay kaşığı,5,1. Domatesleri rendeleyip zeytinyağıyla karıştırın. || 2. Peksimetlerin üstüne domatesi yayıp 3 dakika bekletin. || 3. Feta ve kekik serpip servis edin.,3,"GLUTEN,SUT","vejetaryen,30-dakika-alti,yaz-tarifi",Peksimeti tamamen ıslatmayın; domates suyunu çekse de hafif diri kalmalı.,Üzerine kekik serpip soğuk servis edin.
dal-makhani,Dal Makhani,"Pencap mutfağından siyah mercimek, tereyağı ve krema ile ağır ateşte koyulaşan kadifemsi dal.",YEMEK,in,MEDIUM,25,120,145,6,340,Siyah mercimek 2 su bardağı | Domates püresi 1 su bardağı | Tereyağı 60 gr | Krema 0.5 su bardağı | Zencefil 1 tatlı kaşığı,5,"1. Mercimeği yıkayıp 60 dakika haşlayın. || 2. Domates püresi, tereyağı ve zencefili ekleyin. || 3. Kısık ateşte 60 dakika pişirin. || 4. Kremayı ekleyip 10 dakika daha pişirin.",4,SUT,"tek-tencere,vejetaryen",Mercimeği kısık ateşte uzun pişirin; kısa pişirme aynı kremamsı kıvamı vermez.,Basmati pilav veya naanla servis edin.
damla-sakizli-sicak-cikolata,Damla Sakızlı Sıcak Çikolata,"Damla sakızlı sıcak çikolata, koyu kakao gövdesine hafif reçinemsi damla sakızı kokusu veren yoğun bir fincandır.",ICECEK,tr,EASY,5,8,13,2,242,Süt 400 ml | Bitter çikolata 80 gr | Kakao 1 yemek kaşığı | Damla sakızı 0.25 çay kaşığı | Şeker 1 tatlı kaşığı,5,1. Sütü tencereye alıp damla sakızı ve şekeri ekleyin. || 2. Çikolata ve kakaoyu ekleyip 6 dakika karıştırarak pişirin. || 3. İçeceği fincanlara alıp bekletmeden servis edin.,3,SUT,"alkolsuz,kis-tarifi,vejetaryen",Damla sakızını havanda çok ince dövmek içeceğe topaklanmadan dağılmasını sağlar.,Damla sakızı kokusu uçmadan küçük fincanlarda sıcak servis edin.
dan-dan-noodle,Dan Dan Noodle,"Sichuan sokaklarından susamlı, acılı ve kıymalı erişte; sos kasede erişteyi kaplar.",YEMEK,tr,MEDIUM,15,15,30,4,620,Buğday eriştesi 350 gr | Dana kıyma 250 gr | Soya sosu 2 yemek kaşığı | Tahin 2 yemek kaşığı | Acı yağ 1 yemek kaşığı,5,"1. Erişteyi haşlayıp 100 ml haşlama suyunu ayırın. || 2. Dana kıymayı 6 dakika kavurun. || 3. Soya sosu, tahin, acı yağ ve erişte suyunu karıştırıp erişteyle buluşturun.",3,"GLUTEN,SOYA,SUSAM",30-dakika-alti,Sosu erişte suyuyla açın; tahinli yapı parlak ve akışkan kalır.,Üzerine taze soğan ve Sichuan biberi serpin.
dana-lo-mein,Dana Lo Mein,"Çin-Amerikan lokantalarının wok eriştesi; dana, sebze ve soya sosu hızlı ateşte birbirine tutunur.",YEMEK,cn,EASY,15,12,27,4,530,Yumurtalı erişte 350 gr | Dana jülyen 400 gr | Soya sosu 3 yemek kaşığı | Brokoli 250 gr | Susam yağı 1 yemek kaşığı,5,"1. Erişteyi paket süresine göre haşlayıp süzün. || 2. Dana etini wokta 5 dakika soteleyin. || 3. Brokoli, erişte, soya sosu ve susam yağını ekleyip 4 dakika çevirin.",3,"GLUTEN,SOYA,SUSAM,YUMURTA","30-dakika-alti,yuksek-protein",Erişteyi süzdükten sonra yağla harmanlayın; wokta topaklanmaz.,Üzerine yeşil soğan ve susam serpin.
dana-solyanka,Dana Solyanka,"Turşu, zeytin ve et suyunun keskinliğiyle kurulan Solyanka, ekşi-tuzlu tadı sevenlere kışlık bir kase sunar.",CORBA,ru,MEDIUM,20,45,65,5,230,Dana eti 250 gr | Kornişon turşu 120 gr | Zeytin 80 gr | Domates püresi 200 ml,4,1. Eti ve soğanı kavurup domates püresi ekleyin. || 2. Su ilave edip 35 dakika pişirin. || 3. Turşu ve zeytini katıp 5 dakika daha kaynatın.,3,,"tek-tencere,kis-tarifi",Turşuyu en sonda eklemek keskinliğini korur; başta eklenirse çorba ağırlaşır.,Üstüne limon dilimi ve ekşi krema koyarak servis edin.
