slug,title,type,category,cuisine,stepCount,score,issues,ingredients_tr,current_steps_tr
lemonato-tavuklu-orzo-yunan-usulu,Lemonato Tavuklu Orzo,YEMEK,tavuk-yemekleri,gr,3,4,few-steps;short-step,Tavuk göğsü 500 gr | Orzo 1.5 su bardağı | Limon suyu 2 yemek kaşığı | Tavuk suyu 3 su bardağı | Dereotu 0.25 demet,1. Tavuğu 6 dakika soteleyin. || 2. Orzo ve tavuk suyunu ekleyin. || 3. Tencereyi 12 dakika pişirin.
limonlu-deniz-borulceli-tavuk-sote-bodrum-usulu,Limonlu Deniz Börülceli Tavuk Sote,YEMEK,tavuk-yemekleri,tr,3,4,few-steps;short-step,Tavuk göğsü 500 gr | Deniz börülcesi 200 gr | Limon suyu 2 yemek kaşığı | Zeytinyağı 2 yemek kaşığı,1. Tavuğu 6 dakika soteleyin. || 2. Deniz börülcesini ekleyin. || 3. Limonla birlikte 4 dakika daha pişirin.
limonlu-kinoa-salatasi-peru-usulu,Limonlu Kinoa Salatası,SALATA,salatalar,pe,3,4,few-steps;short-step,Kinoa 1 su bardağı | Salatalık 1 adet | Limon suyu 2 yemek kaşığı | Maydanoz 0.25 demet,1. Kinoayı 14 dakika pişirin. || 2. Sebzeleri doğrayın. || 3. Limonla karıştırıp servis edin.
limonlu-zeytinli-tavuk-tajin-fas-usulu,Limonlu Zeytinli Tavuk Tajin,YEMEK,tavuk-yemekleri,ma,3,4,few-steps;short-step,Tavuk but 8 adet | Limon 1 adet | Zeytin 12 adet | Soğan 1 adet,1. Tavuğu 6 dakika mühürleyin. || 2. Limon ve zeytini ekleyin. || 3. Kısık ateşte 14 dakika pişirin.
dereotlu-kofte-tava-isvec-usulu,Dereotlu Köfte Tava,YEMEK,et-yemekleri,se,3,4,few-steps;short-step,Dana kıyma 450 gr | Galeta unu 0.5 su bardağı | Krema 1 su bardağı | Dereotu 0.25 demet | Soğan 1 adet,1. Köfte harcını yoğurun. || 2. Köfteleri 8 dakika pişirin. || 3. Kremalı sosla 6 dakika daha çevirin.
limonotlu-mantar-corbasi-tayland-usulu,Limonotlu Mantar Çorbası,CORBA,corbalar,th,3,4,few-steps;short-step,Mantar 250 gr | Limon otu 2 sap | Taze zencefil 1 tatlı kaşığı | Su 5 su bardağı,1. Limon otunu ezin. || 2. Suyu ve mantarı ekleyin. || 3. Çorbayı 12 dakika pişirin.
limonotlu-tavuklu-pirinc-tava-vietnam-usulu,Limonotlu Tavuklu Pirinç Tava,YEMEK,makarna-pilav,vn,3,4,few-steps;short-step,Tavuk göğsü 450 gr | Pirinç 1.5 su bardağı | Limonotu 1 sap | Su 3 su bardağı,1. Tavuğu 5 dakika soteleyin. || 2. Pirinç ve limonotunu ekleyin. || 3. Tavayı 13 dakika pişirin.
hashasli-armut-tatlisi-afyon-usulu,Afyon Haşhaşlı Armut Tatlısı,TATLI,tatlilar,tr,3,4,few-steps;short-step,Armut 4 adet | Haşhaş 2 yemek kaşığı | Bal 2 yemek kaşığı | Tarçın 0.25 çay kaşığı,1. Armutları ortadan ikiye kesin. || 2. Bal ve haşhaşla kaplayın. || 3. Tatlıyı 180°C fırında 22 dakika pişirin.
lod-chong-tay-tatli-usulu,Lod Chong,TATLI,tatlilar,th,3,4,few-steps;short-step,Hindistan cevizi sütü 2 su bardağı | Pandan aromalı nişasta şeridi 1 su bardağı | Şeker şurubu 0.5 su bardağı | Buz 1 su bardağı,1. Şeritleri kısa haşlayın. || 2. Hindistan cevizi sütü ve şurupla birleştirin. || 3. Buzla servis edin.
lorlu-biberli-sembusek-mardin-usulu,Lorlu Biberli Sembusek,YEMEK,hamur-isleri,tr,3,4,few-steps;short-step,Un 2 su bardağı | Lor peyniri 160 gr | Kapya biber 1 adet | Zeytinyağı 2 yemek kaşığı,1. Hamuru hazırlayın. || 2. İç harcı yerleştirip kapatın. || 3. Sembusekleri 18 dakika pişirin.
lorlu-zahter-salatasi-kilis-usulu,Kilis Lorlu Zahter Salatası,SALATA,salatalar,tr,3,4,few-steps;short-step,Taze zahter 1 demet | Lor peyniri 120 gr | Zeytinyağı 1 yemek kaşığı | Limon suyu 1 tatlı kaşığı,1. Zahteri ince doğrayın. || 2. Lor ve sos malzemelerini ekleyin. || 3. Karıştırıp hemen servis edin.
cocada,Cocada,TATLI,tatlilar,br,3,4,few-steps;short-step,Hindistan cevizi rendesi 250 gr | Yoğunlaştırılmış süt 300 gr | Şeker 80 gr | Tereyağı 1 yemek kaşığı,1. Tüm malzemeleri tencereye alın. || 2. Karışımı 18 dakika karıştırarak pişirin. || 3. Kaşıkla porsiyonlayıp soğutun.
lorlu-patatesli-firin-borek-eskisehir-usulu,Lorlu Patatesli Fırın Börek,YEMEK,hamur-isleri,tr,3,4,few-steps;short-step,Yufka 3 adet | Patates 3 adet | Lor peyniri 150 gr | Zeytinyağı 2 yemek kaşığı,1. Patatesi haşlayıp ezin. || 2. Lor ile harcı hazırlayın. || 3. Böreği 20 dakika pişirin.
lucuma-yogurt-kup-peru-usulu,Lucuma Yoğurt Kup,TATLI,tatlilar,pe,3,4,few-steps;short-step,Yoğurt 2 su bardağı | Lucuma püresi 1 su bardağı | Bisküvi kırıntısı 1 su bardağı | Bal 2 yemek kaşığı,1. Yoğurdu ve balı karıştırın. || 2. Kup tabanına kırıntı serpin. || 3. Lucuma ile katmanlayın.
uzumlu-karanfilli-hosaf-nevsehir-usulu,Üzümlü Karanfilli Hoşaf,ICECEK,icecekler,tr,3,4,no-time;short-step,Kuru üzüm 1 su bardağı | Su 5 su bardağı | Karanfil 4 adet | Tarçın 1 çubuk,1. Suyu kaynatın. || 2. Üzüm ve baharatı ekleyin. || 3. Hoşafı 10 dakika pişirin.
tahinli-pancar-ezme-kirsehir-usulu,Tahinli Pancar Ezme,APERATIF,aperatifler,tr,3,4,few-steps;short-step,Pancar 2 adet | Tahin 2 yemek kaşığı | Limon suyu 1 yemek kaşığı | Sarımsak 1 diş,1. Pancarı 18 dakika haşlayın. || 2. Malzemeleri birlikte çekin. || 3. Soğutup servis edin.
tavuklu-arpa-sehriyeli-pilav-yozgat-usulu,Tavuklu Arpa Şehriyeli Pilav,YEMEK,makarna-pilav,tr,3,4,few-steps;short-step,Tavuk göğsü 450 gr | Arpa şehriye 1.5 su bardağı | Tereyağı 1 yemek kaşığı | Su 3 su bardağı,1. Tavuğu 5 dakika soteleyin. || 2. Şehriyeyi ekleyin. || 3. Pilavı 13 dakika pişirin.
elmali-findikli-irmik-kup-aksaray-usulu,Elmalı Fındıklı İrmik Kup,TATLI,tatlilar,tr,3,4,few-steps;short-step,İrmik 4 yemek kaşığı | Süt 2 su bardağı | Elma 2 adet | Fındık 0.5 su bardağı,1. İrmikli tabanı 8 dakika pişirin. || 2. Elmayı doğrayın. || 3. Kup halinde soğutun.
otlu-peynirli-yumurta-durumu-van-usulu,Otlu Peynirli Yumurta Dürümü,KAHVALTI,kahvaltiliklar,tr,3,4,few-steps;short-step,Yumurta 3 adet | Otlu peynir 80 gr | Lavaş 2 adet | Tereyağı 1 tatlı kaşığı,1. Yumurtayı pişirin. || 2. Peyniri ekleyin. || 3. Lavaşa sarıp servis edin.
bugdayli-yogurtlu-ayran-corbasi-erzincan-usulu,Buğdaylı Yoğurtlu Ayran Çorbası,CORBA,corbalar,tr,3,4,few-steps;short-step,Aşurelik buğday 1 su bardağı | Yoğurt 1.5 su bardağı | Su 5 su bardağı | Nane 0.5 çay kaşığı,1. Buğdayı 18 dakika pişirin. || 2. Yoğurdu ılıtıp ekleyin. || 3. Naneyle 2 dakika daha pişirin.
kuzu-etli-domatesli-bulgur-tava-mus-usulu,Kuzu Etli Domatesli Bulgur Tava,YEMEK,et-yemekleri,tr,3,4,few-steps;short-step,Kuzu kuşbaşı 400 gr | Pilavlık bulgur 1.5 su bardağı | Domates rendesi 1.5 su bardağı | Su 3 su bardağı,1. Kuzuyu 8 dakika mühürleyin. || 2. Bulgur ve domatesi ekleyin. || 3. Yemeği 12 dakika pişirin.
fasulyeli-melocan-corbasi-ordu-usulu,Fasulyeli Melocan Çorbası,CORBA,corbalar,tr,3,4,few-steps;short-step,Melocan otu 150 gr | Haşlanmış kuru fasulye 1.5 su bardağı | Soğan 1 adet | Su 5 su bardağı,1. Soğanı 4 dakika çevirin. || 2. Su ve fasulyeyi ekleyin. || 3. Melocanla birlikte 16 dakika pişirin.
sumakli-turplu-yogurt-salata-malatya-usulu,Sumaklı Turplu Yoğurt Salata,SALATA,salatalar,tr,3,4,few-steps;short-step,Turp 5 adet | Yoğurt 1 su bardağı | Sumak 1 tatlı kaşığı | Nane 0.25 demet,1. Turpu ince doğrayın. || 2. Yoğurt ve sumağı karıştırın. || 3. Birleştirip servis edin.
patatesli-lorlu-kete-kars-usulu,Patatesli Lorlu Kete,YEMEK,hamur-isleri,tr,3,4,few-steps;short-step,Un 3 su bardağı | Patates 3 adet | Lor peyniri 150 gr | Tereyağı 2 yemek kaşığı,1. Hamuru hazırlayın. || 2. Patatesli harcı yerleştirin. || 3. Keteyi 20 dakika pişirin.
findikli-incir-kup-trabzon-usulu,Fındıklı İncir Kup,TATLI,tatlilar,tr,3,4,few-steps;short-step,Kuru incir 8 adet | Süt 2 su bardağı | Mısır nişastası 2 yemek kaşığı | Fındık 0.5 su bardağı,1. Sütlü tabanı 8 dakika pişirin. || 2. İncirleri küçük doğrayın. || 3. Kup içinde fındıkla katmanlayın.
isotlu-yumurta-durumu-gaziantep-usulu,İsotlu Yumurta Dürümü,KAHVALTI,kahvaltiliklar,tr,3,4,few-steps;short-step,Yumurta 3 adet | Lavaş 2 adet | İsot 1 çay kaşığı | Tereyağı 1 tatlı kaşığı,1. Yumurtayı pişirin. || 2. İsotu ekleyin. || 3. Lavaşa sarıp servis edin.
tereyagli-tavuklu-pilav-ardahan-usulu,Tereyağlı Tavuklu Pilav,YEMEK,makarna-pilav,tr,3,4,few-steps;short-step,Tavuk but kuşbaşı 450 gr | Pirinç 1.5 su bardağı | Tereyağı 2 yemek kaşığı | Su 3 su bardağı,1. Tavuğu 6 dakika soteleyin. || 2. Pirinci ekleyin. || 3. Pilavı 14 dakika pişirin.
kayisili-findikli-kup-malatya-usulu,Kayısılı Fındıklı Kup,TATLI,tatlilar,tr,3,4,few-steps;short-step,Kuru kayısı 10 adet | Yoğurt 1.5 su bardağı | Fındık 0.5 su bardağı | Bal 1 yemek kaşığı,1. Kayısıyı 4 dakika yumuşatın. || 2. Yoğurtla katmanlayın. || 3. Soğuk servis edin.
keskul,Keşkül,TATLI,tatlilar,tr,3,4,few-steps;short-step,Süt 1 litre | Şeker 0.75 su bardağı | Badem 0.75 su bardağı | Pirinç unu 3 yemek kaşığı | Vanilin 1 paket,"1. Bademi rondoda ince çekin. || 2. Süt, şeker, pirinç unu ve bademi karıştırarak 15-18 dakika pişirin. || 3. Vanilini ekleyip kaselere paylaştırın."
tunnbrod-rulo-isvec-usulu,Tunnbröd Rulo,KAHVALTI,kahvaltiliklar,se,3,4,few-steps;short-step,Tunnbröd 4 adet | Krem peynir 150 gr | Füme somon 150 gr | Dereotu 0.25 demet,1. Ekmeğe krem peynir sürün. || 2. Somon ve dereotunu yerleştirin. || 3. Rulo yapıp dilimleyin.
kusbasili-bulgurlu-firik-tava-sanliurfa-usulu,Kuşbaşılı Bulgurlu Firik Tava,YEMEK,et-yemekleri,tr,3,4,few-steps;short-step,Dana kuşbaşı 400 gr | Firik bulguru 1 su bardağı | Pilavlık bulgur 0.5 su bardağı | Su 3 su bardağı,1. Eti 8 dakika mühürleyin. || 2. Firik ve bulguru ekleyin. || 3. Yemeği 12 dakika pişirin.
pekmezli-fistikli-muhallebi-kup-gaziantep-usulu,Pekmezli Fıstıklı Muhallebi Kup,TATLI,tatlilar,tr,3,4,few-steps;short-step,Süt 2 su bardağı | Mısır nişastası 2 yemek kaşığı | Üzüm pekmezi 2 yemek kaşığı | Antep fıstığı 0.25 su bardağı,1. Muhallebiyi 8 dakika pişirin. || 2. Kup halinde pay edin. || 3. Pekmez ve fıstıkla tamamlayın.
zeytinli-peynirli-katmer-kilis-usulu,Zeytinli Peynirli Katmer,YEMEK,hamur-isleri,tr,3,4,few-steps;short-step,Un 3 su bardağı | Zeytin 1 su bardağı | Beyaz peynir 120 gr | Zeytinyağı 2 yemek kaşığı,1. Hamuru açın. || 2. Harçla katlayın. || 3. Katmeri 16 dakika pişirin.
sumakli-kuru-patlican-dolgusu-sirnak-usulu,Sumaklı Kuru Patlıcan Dolgusu,YEMEK,sebze-yemekleri,tr,3,4,few-steps;short-step,Kuru patlıcan 8 adet | İnce bulgur 1 su bardağı | Sumak 1 tatlı kaşığı | Soğan 1 adet | Domates salçası 1 yemek kaşığı,1. Patlıcanları 6 dakika haşlayın. || 2. İç harcı hazırlayın. || 3. Dolmaları 18 dakika pişirin.
zeytin-ezmeli-lorlu-katmer-ayvalik-usulu,Zeytin Ezmeli Lorlu Katmer,KAHVALTI,hamur-isleri,tr,3,4,few-steps;short-step,Un 2 su bardağı | Zeytin ezmesi 3 yemek kaşığı | Lor peyniri 150 gr | Zeytinyağı 2 yemek kaşığı,1. Hamuru açın ve yağlayın. || 2. İç harcı yayıp katlayın. || 3. Katmeri 14 dakika pişirin.
enginarli-bakla-ezmesi-aydin-usulu,Enginarlı Bakla Ezmesi,APERATIF,aperatifler,tr,3,4,few-steps;short-step,İç bakla 2 su bardağı | Enginar kalbi 2 adet | Zeytinyağı 2 yemek kaşığı | Limon suyu 1 yemek kaşığı,1. Baklayı 12 dakika haşlayın. || 2. Enginarla birlikte ezin. || 3. Zeytinyağı ile açıp servis edin.
tahinli-isotlu-kabak-dip-adiyaman-usulu,Tahinli İsotlu Kabak Dip,APERATIF,aperatifler,tr,3,4,few-steps;short-step,Kabak 3 adet | Tahin 2 yemek kaşığı | İsot 0.5 çay kaşığı | Limon suyu 1 yemek kaşığı,1. Kabağı 8 dakika pişirin. || 2. Tahinle çekin. || 3. İsotla servis edin.
tavuklu-nohutlu-sehriye-pilavi-siirt-usulu,Tavuklu Nohutlu Şehriye Pilavı,YEMEK,makarna-pilav,tr,3,4,few-steps;short-step,Tavuk göğsü 450 gr | Arpa şehriye 1.5 su bardağı | Haşlanmış nohut 1 su bardağı | Su 3 su bardağı,1. Tavuğu 5 dakika soteleyin. || 2. Şehriyeyi ekleyin. || 3. Nohutla 13 dakika pişirin.
kekikli-tavuklu-kuskus-tava-izmir-usulu,Kekikli Tavuklu Kuskus Tava,YEMEK,tavuk-yemekleri,tr,3,4,few-steps;short-step,Tavuk göğsü 500 gr | Kuskus 1.5 su bardağı | Kekik 1 tatlı kaşığı | Su 3 su bardağı,1. Tavuğu 6 dakika soteleyin. || 2. Kuskus ve suyu ekleyin. || 3. Kekikle birlikte 10 dakika pişirin.
semizotlu-borulce-salatasi-manisa-usulu,Semizotlu Börülce Salatası,SALATA,salatalar,tr,3,4,few-steps;short-step,Haşlanmış börülce 2 su bardağı | Semizotu 1 demet | Zeytinyağı 2 yemek kaşığı | Limon suyu 1 yemek kaşığı,1. Börülceyi süzün. || 2. Semizotunu ayıklayın. || 3. Tüm malzemeyi karıştırıp servis edin.
tortillali-ispanak-tava-ispanya-usulu,Tortillalı Ispanak Tava,KAHVALTI,kahvaltiliklar,es,3,4,few-steps;short-step,Yumurta 4 adet | Ispanak 150 gr | Patates 2 adet | Zeytinyağı 1 yemek kaşığı,1. Patatesi 6 dakika pişirin. || 2. Ispanağı ekleyin. || 3. Yumurtayla 6 dakika pişirin.
domatesli-beyaz-fasulye-corbasi-ispanya-usulu,Domatesli Beyaz Fasulye Çorbası,CORBA,corbalar,es,3,4,few-steps;short-step,Haşlanmış beyaz fasulye 2 su bardağı | Domates rendesi 1.5 su bardağı | Sarımsak 2 diş | Su 4 su bardağı,1. Sarımsağı çevirin. || 2. Fasulye ve domatesi ekleyin. || 3. Çorbayı 15 dakika pişirin.
kabak-cicekli-peynirli-borek-mugla-usulu,Kabak Çiçekli Peynirli Börek,YEMEK,hamur-isleri,tr,3,4,few-steps;short-step,Yufka 4 adet | Kabak çiçeği 10 adet | Beyaz peynir 180 gr | Zeytinyağı 2 yemek kaşığı,1. İç harcı hazırlayın. || 2. Yufkaları çiçeklerle katlayın. || 3. Böreği 22 dakika pişirin.
karidesli-safranli-pirinc-tava-ispanya-usulu,Karidesli Safranlı Pirinç Tava,YEMEK,makarna-pilav,es,3,4,few-steps;short-step,Karides 300 gr | Pirinç 1.5 su bardağı | Safran 1 çimdik | Su 3 su bardağı,1. Karidesi 3 dakika çevirin. || 2. Pirinç ve safranı ekleyin. || 3. Tavayı 14 dakika pişirin.
vermutlu-limon-spritz-ispanya-usulu,Vermutlu Limon Spritz,KOKTEYL,kokteyller,es,3,4,few-steps;short-step,Vermut 0.5 su bardağı | Soda 1 su bardağı | Limon suyu 2 yemek kaşığı | Buz 1 su bardağı,1. Bardağı buzla doldurun. || 2. Vermut ve limonu ekleyin. || 3. Sodayla tamamlayın.
portakalli-krema-kup-ispanya-usulu,Portakallı Krema Kup,TATLI,tatlilar,es,3,4,few-steps;short-step,Krema 1.5 su bardağı | Portakal suyu 0.75 su bardağı | Şeker 2 yemek kaşığı | Vanilya 1 çay kaşığı,1. Kremayı ısıtın. || 2. Portakal ve vanilyayı ekleyin. || 3. Kup halinde soğutun.
misirli-kabak-corbasi-peru-usulu,Mısırlı Kabak Çorbası,CORBA,corbalar,pe,3,4,few-steps;short-step,Kabak 2 adet | Mısır 1.5 su bardağı | Soğan 1 adet | Su 5 su bardağı,1. Soğanı çevirin. || 2. Kabak ve mısırı ekleyin. || 3. Çorbayı 15 dakika pişirin.
mocha-protein-shake,Mocha Protein Shake,ICECEK,smoothie-shake,us,3,4,no-time;short-step,Soğuk filtre kahve 120 ml | Süt 180 ml | Kakao 1 yemek kaşığı | Vanilyalı protein tozu 30 gr,1. Tüm malzemeleri blendera alın. || 2. Pürüzsüz kıvam için 30 saniye çekin. || 3. Bekletmeden servis edin.
tavuklu-kisnisli-pirinc-tava-peru-usulu,Tavuklu Kişnişli Pirinç Tava,YEMEK,makarna-pilav,pe,3,4,few-steps;short-step,Tavuk göğsü 450 gr | Pirinç 1.5 su bardağı | Kişniş 0.5 demet | Su 3 su bardağı,1. Tavuğu 5 dakika soteleyin. || 2. Pirinç ve suyu ekleyin. || 3. Kişnişle 13 dakika pişirin.
tarcinli-ananas-kup-peru-usulu,Tarçınlı Ananas Kup,TATLI,tatlilar,pe,3,4,few-steps;short-step,Ananas 2 su bardağı | Yoğurt 1.5 su bardağı | Tarçın 0.5 çay kaşığı | Bal 1 yemek kaşığı,1. Ananası 4 dakika soteleyin. || 2. Yoğurtla kup hazırlayın. || 3. Tarçınla servis edin.
pancarli-patates-corbasi-polonya-usulu,Pancarlı Patates Çorbası,CORBA,corbalar,pl,3,4,few-steps;short-step,Pancar 2 adet | Patates 2 adet | Dereotu 0.25 demet | Su 5 su bardağı,1. Sebzeleri doğrayın. || 2. Tencereye ekleyin. || 3. Çorbayı 18 dakika pişirin.
tavuklu-eristeli-tava-polonya-usulu,Tavuklu Erişteli Tava,YEMEK,et-yemekleri,pl,3,4,few-steps;short-step,Tavuk göğsü 450 gr | Erişte 220 gr | Krema 0.75 su bardağı | Su 2 su bardağı,1. Tavuğu 5 dakika soteleyin. || 2. Erişte ve suyu ekleyin. || 3. Kremayla 10 dakika pişirin.
kerevizli-yogurt-corbasi-edirne-usulu,Kerevizli Yoğurt Çorbası,CORBA,corbalar,tr,3,4,few-steps;short-step,Kereviz 1 adet | Yoğurt 1 su bardağı | Yumurta 1 adet | Un 1 yemek kaşığı,1. Kerevizi 12 dakika haşlayın. || 2. Terbiyeyi ayrı kapta hazırlayın. || 3. Çorbayı 8 dakika daha pişirin.
elmali-hashasli-kup-polonya-usulu,Elmalı Haşhaşlı Kup,TATLI,tatlilar,pl,3,4,few-steps;short-step,Elma 2 adet | Krema 1 su bardağı | Haşhaş 1 yemek kaşığı | Bal 1 yemek kaşığı,1. Elmayı 6 dakika pişirin. || 2. Kup halinde pay edin. || 3. Krema ve haşhaşla tamamlayın.
salatalikli-yogurtlu-dereotu-salata-polonya-usulu,Salatalıklı Yoğurtlu Dereotu Salata,SALATA,salatalar,pl,3,4,few-steps;short-step,Salatalık 2 adet | Yoğurt 1 su bardağı | Dereotu 0.25 demet | Limon suyu 1 tatlı kaşığı,1. Salatalığı doğrayın. || 2. Yoğurt sosunu hazırlayın. || 3. Karıştırıp servis edin.
