slug,title,stepNumber,chars,words,instruction
zencefilli-limon-squash-avustralya-usulu,"Zencefilli Limon Squash",2,18,2,"Zencefili ekleyin."
bergamotlu-soguk-cay-adana-usulu,"Bergamotlu Soğuk Çay",2,18,2,"Aromaları ekleyin."
mandalinali-reyhan-serbeti-aydin-usulu,"Mandalinalı Reyhan Şerbeti",3,18,3,"Buzla servis edin."
batido-de-guayaba-kuba-usulu,"Batido de Guayaba",3,18,3,"Soğuk servis edin."
agua-de-tamarindo-meksika-usulu,"Agua de Tamarindo",3,18,3,"Buzla servis edin."
mango-lassi,"Mango Lassi",3,18,3,"Soğuk servis edin."
filmjolk-meyveli-smoothie,"Filmjölk Meyveli Smoothie",3,18,3,"Hemen servis edin."
kizilcikli-cay-serbeti-elazig-usulu,"Kızılcıklı Çay Şerbeti",3,18,3,"Buzla servis edin."
kakuleli-armut-kompostosu-isvec-usulu,"Kakuleli Armut Kompostosu",2,19,3,"12 dakika kaynatın."
kasha-grechnevaya-rus-usulu,"Kasha Grechnevaya",2,19,4,"Su ve tuzu ekleyin."
kestaneli-mantar-sote-bilecik-usulu,"Kestaneli Mantar Sote",2,19,3,"5 dakika soteleyin."
kekikli-dana-firinda-patlican-bodrum-usulu,"Kekikli Dana Fırında Patlıcan",2,19,4,"Et ve sosu ekleyin."
naneli-portakal-soda-fas-usulu,"Naneli Portakal Soda",3,19,2,"Sodayla tamamlayın."
sopa-de-fideo,"Sopa de Fideo",4,19,3,"Tavuk suyunu katın."
kekikli-cipura-izgara-bodrum-usulu,"Kekikli Çipura Izgara",1,19,3,"Balığı marine edin."
yuzu-soda-japon-usulu,"Yuzu Soda",3,19,2,"Sodayla tamamlayın."
kakuleli-armut-kompostosu-isvec-usulu,"Kakuleli Armut Kompostosu",3,20,3,"Soğutup servis edin."
kayisili-yarma-pilavi-malatya-usulu,"Kayısılı Yarma Pilavı",1,20,3,"Soğanı kısa çevirin."
kompot,"Kompot",3,20,3,"Soğutup servis edin."
limonata-cremosa-italyan-usulu,"Limonata Cremosa",2,20,3,"Karışımı kısa çekin."
kestaneli-mantar-sote-bilecik-usulu,"Kestaneli Mantar Sote",1,20,3,"Mantarı tavaya alın."
elma-melisa-kompotu-polonya-usulu,"Polonya Elma Melisa Kompotu",1,20,2,"Elmaları dilimleyin."
orange-mint-cooler-orta-dogu-usulu,"Orange Mint Cooler",3,20,3,"İçeceği servis edin."
sua-chua-nep-cam-kadeh-vietnam-usulu,"Sữa Chua Nếp Cẩm",6,20,3,"Tatlıyı soğuk sunun."
elmali-kefir-smoothie,"Elmalı Kefir Smoothie",1,20,3,"Elmayı iri doğrayın."
sanliurfa-arap-silligi-pekmezli,"Şanlıurfa Arap Şıllığı",2,20,3,"Cevizleri iri kırın."
seoul-bulgogi,"Seul Bulgogi",4,20,3,"Tavayı çok kızdırın."
sellou-fas-usulu,"Sellou",6,20,3,"Üstüne badem serpin."
zencefilli-ihlamur,"Zencefilli Ihlamur",1,21,2,"Zencefili dilimleyin."
nevsehir-divil-patatesli,"Nevşehir Dıvıl",5,21,3,"Yağı 175°C'ye ısıtın."
london-fog,"London Fog",2,21,3,"Sütü ısıtıp köpürtün."
paprikali-lorlu-ekmek-dilimi-macar-usulu,"Paprikalı Lorlu Ekmek Dilimi",2,21,3,"Ekmeği tavada ısıtın."
espresso-tonic,"Espresso Tonic",2,21,3,"Toniği bardağa dökün."
flat-white-freddo-avustralya-usulu,"Flat White Freddo",2,21,2,"Espressoları ekleyin."
kekikli-erik-kompostosu-mugla-usulu,"Muğla Kekikli Erik Kompostosu",1,21,3,"Erikleri ikiye bölün."
kavurmali-eriste-pilavi-kars-usulu,"Kavurmalı Erişte Pilavı",2,21,3,"Suyu ekleyip pişirin."
matcha-latte,"Matcha Latte",2,21,3,"Sütü ısıtıp köpürtün."
tunceli-gulik-corbasi,"Tunceli Gulik Çorbası",2,22,3,"Pirinci yıkayıp süzün."
sydney-meat-pie,"Sydney Meat Pie",5,22,3,"Harcı tamamen soğutun."
lima-kinoali-tavuk-aguadito,"Lima Kinoalı Tavuk Aguadito",1,22,3,"Kinoayı yıkayıp süzün."
vitamina-de-abacate,"Vitamina de Abacate",3,22,3,"Hemen bardaklara alın."
ihlamur,"Ihlamur",1,22,3,"Ihlamuru demliğe alın."
sakizli-badem-sutlac-cesme-usulu,"Çeşme Sakızlı Badem Sütlaç",6,22,3,"Serviste badem serpin."
licuado-de-papaya,"Licuado de Papaya",1,22,3,"Papayayı küp doğrayın."
portakalli-sicak-cikolata,"Portakallı Sıcak Çikolata",1,22,3,"Sütü tencerede ısıtın."
kitsune-udon,"Kitsune Udon",2,22,3,"Sebze suyunu kaynatın."
izmir-boyoz-kahvalti-tabagi,"İzmir Boyoz Kahvaltı Tabağı",1,23,3,"Fırını 200°C'ye ısıtın."
sesame-balls,"Sesame Balls",4,23,3,"Topları susama bulayın."
tarcinli-mor-misir-muhallebisi-peru-usulu,"Tarçınlı Mor Mısır Muhallebisi",6,23,3,"Serviste tarçın serpin."
yorkshire-toad-in-the-hole,"Yorkshire Toad in the Hole",2,23,3,"Fırını 220°C'ye ısıtın."
elderflower-elma-fizz-ingiltere-usulu,"Elderflower Elma Fizz",1,23,3,"Bardağı buzla doldurun."
erzsebet-sour-macar-usulu,"Erzsebet Sour",1,23,3,"Bardağı buzla doldurun."
erzsebet-sour-macar-usulu,"Erzsebet Sour",3,23,3,"Karıştırıp servis edin."
buffalo-wings-firinda,"Buffalo Wings",4,23,3,"Fırını 230°C'ye ısıtın."
espresso-tonic,"Espresso Tonic",1,23,3,"Bardağı buzla doldurun."
flat-white-freddo-avustralya-usulu,"Flat White Freddo",1,23,3,"Bardağı buzla doldurun."
seattle-teriyaki-salmon,"Seattle Teriyaki Somon",3,23,3,"Fırını 200°C'ye ısıtın."
mandalinali-reyhan-serbeti-aydin-usulu,"Mandalinalı Reyhan Şerbeti",1,23,3,"Mandalina suyunu süzün."
orange-mint-cooler-orta-dogu-usulu,"Orange Mint Cooler",1,23,2,"Malzemeleri karıştırın."
minas-pao-de-queijo,"Minas Pao de Queijo",1,23,3,"Fırını 220°C'ye ısıtın."
batido-de-guayaba-kuba-usulu,"Batido de Guayaba",2,23,3,"İçeceği pürüzsüz çekin."
shirley-temple,"Shirley Temple",1,23,3,"Bardağı buzla doldurun."
kavurmali-eriste-pilavi-kars-usulu,"Kavurmalı Erişte Pilavı",1,23,3,"Erişteyi yağda kavurun."
narenciyeli-cin-tonik-mersin-usulu,"Mersin Narenciyeli Cin Tonik",1,23,3,"Bardağı buzla doldurun."
naneli-portakal-soda-fas-usulu,"Naneli Portakal Soda",1,23,3,"Bardağı buzla doldurun."
elma-zencefilli-soda-avustralya-usulu,"Elma Zencefilli Soda",1,23,3,"Bardağı buzla doldurun."
yuzu-soda-japon-usulu,"Yuzu Soda",1,23,3,"Bardağı buzla doldurun."
lime-zencefilli-ananas-fizz-avustralya-usulu,"Lime Zencefilli Ananas Fizz",1,23,3,"Bardağı buzla doldurun."
lavantali-limonlu-soda-ingiltere-usulu,"Lavantali Limonlu Soda",1,23,3,"Bardağı buzla doldurun."
thessaloniki-spanakopita,"Selanik Spanakopita",2,23,3,"Ispanağın suyunu sıkın."
leek-and-potato-soup-british,"Leek and Potato Soup",7,24,3,"Karabiberle servis edin."
naneli-limonata,"Naneli Limonata",2,24,3,"Limonların suyunu sıkın."
lemon-myrtle-iced-tea-avustralya-usulu,"Lemon Myrtle Iced Tea",2,24,3,"Balı karıştırıp soğutun."
salep-latte,"Salep Latte",2,24,3,"Espressoyu fincana alın."
naneli-portakal-soda-fas-usulu,"Naneli Portakal Soda",2,24,3,"Portakal suyunu ekleyin."
atina-tavuk-souvlaki,"Atina Tavuk Souvlaki",4,24,3,"Parçaları şişlere dizin."
mandalinali-kefir-smoothie-didim-usulu,"Didim Mandalinalı Kefir Smoothie",1,25,2,"Mandalinaları temizleyin."
caffe-latte,"Caffe Latte",1,25,3,"Espressoyu fincana çekin."
van-murtuga-kahvaltisi,"Van Murtuğa Kahvaltısı",3,25,3,"Yumurtaları tuzla çırpın."
egg-coffee,"Egg Coffee",1,25,3,"Kahveyi sıcak hazırlayın."
kolbaszli-lecso,"Kolbászlı Lecsó",1,26,3,"Soğanları yağda yumuşatın."
zencefilli-bal-limon-cayi,"Zencefilli Bal Limon Çayı",1,26,3,"Zencefili ince dilimleyin."
limonata-cremosa-italyan-usulu,"Limonata Cremosa",1,26,3,"Malzemeleri blendera alın."
grechka-s-gribami-rus-usulu,"Greçka s Gribami",1,26,3,"Karabuğdayı yıkayıp süzün."
ananasli-hindistan-cevizi-smoothie,"Ananaslı Hindistan Cevizi Smoothie",2,26,3,"Malzemeleri blendera alın."
limonlu-zencefil-cayi,"Limonlu Zencefil Çayı",1,26,3,"Zencefili ince dilimleyin."
portakalli-sicak-cikolata,"Portakallı Sıcak Çikolata",2,26,3,"Çikolatayı ekleyip eritin."
rebujito-granita-ispanya-usulu,"İspanya Rebujito Granita",2,26,3,"Karışımı dondurucuya alın."
sogan-corbasi,"Soğan Çorbası",1,26,3,"Soğanları ince dilimleyin."
tinto-limon-slush-ispanya-usulu,"İspanya Tinto Limon Slush",2,26,3,"Karışımı dondurucuya alın."
london-mulligatawny-corbasi,"Londra Mulligatawny",5,26,3,"Tavuğu çıkarıp didikleyin."
pirasali-misir-unlu-pide-samsun-usulu,"Pırasalı Mısır Unlu Pide",1,27,3,"Hamuru yoğurup dinlendirin."
kakuleli-armut-kompostosu-isvec-usulu,"Kakuleli Armut Kompostosu",1,27,3,"Malzemeleri tencereye alın."
berlin-cavdarli-mantar-tostu,"Berlin Çavdarlı Mantar Tostu",1,27,3,"Mantarları ince dilimleyin."
menengic-kahvesi,"Menengiç Kahvesi",2,27,3,"Karışımı taşırmadan ısıtın."
barszcz-czerwony-polonya-usulu,"Barszcz Czerwony",5,27,3,"Sıcak kaselere paylaştırın."
reyhan-serbeti,"Reyhan Şerbeti",4,27,3,"Süzüp buzdolabında soğutun."
eskisehir-miyane-corbasi,"Eskişehir Miyane Çorbası",1,28,3,"Tereyağını tencerede eritin."
kazandibi,"Kazandibi",3,28,3,"Vanilini ekleyip karıştırın."
kekikli-biber-dolmasi-denizli-usulu,"Denizli Kekikli Biber Dolması",1,28,3,"Biberlerin içini temizleyin."
salmorejo-ispanya-usulu,"Salmorejo",6,29,3,"Serviste zeytinyağı gezdirin."
kakuleli-sicak-elma-suyu,"Kakuleli Sıcak Elma Suyu",3,29,3,"Süzüp fincanlara paylaştırın."
kabak-cicekli-bulgur-pilavi-mugla-usulu,"Kabak Çiçekli Bulgur Pilavı",1,29,3,"Soğanı zeytinyağında çevirin."
sua-chua-nep-cam-vietnam-usulu,"Sua Chua Nep Cam",4,29,3,"Yoğurdu kaselere paylaştırın."
espresso-protein-shake,"Espresso Protein Shake",1,30,3,"Espressoyu hazırlayıp soğutun."
lisbon-pastel-de-nata,"Lisbon Pastel de Nata",6,30,3,"Kremayı hamurlara paylaştırın."
kabak-cicekli-peynirli-borek-mugla-usulu,"Kabak Çiçekli Peynirli Börek",2,30,3,"Yufkaları çiçeklerle katlayın."
cokelekli-tirit-corbasi-konya-usulu,"Çökelekli Tirit Çorbası",4,30,3,"Çökeleği kaselere paylaştırın."
tbilisi-ajapsandali,"Tbilisi Ajapsandali",2,31,3,"Patlıcanları durulayıp kurutun."
che-ba-mau-vietnam-usulu,"Chè Ba Màu",2,31,3,"Bardaklara sırayla yerleştirin."
hong-kong-egg-tart,"Hong Kong Egg Tart",6,31,3,"Muhallebiyi kalıplara doldurun."
harissa-yogurt-sos,"Harissa Yoğurt Sos",2,32,3,"Zeytinyağını ekleyip karıştırın."
che-ba-mau-vietnam-usulu,"Chè Ba Màu",1,32,3,"Katman malzemelerini hazırlayın."
antalya-piyaz-tahinli,"Antalya Tahinli Piyaz",3,33,3,"Haşlanmış yumurtaları dilimleyin."
hardaliyeli-istavrit-tava-tekirdag-usulu,"Hardaliyeli İstavrit Tava",1,34,3,"İstavritleri temizleyip kurulayın."
hurmali-fistik-ezmeli-smoothie,"Hurmalı Fıstık Ezmeli Smoothie",1,34,3,"Hurmaların çekirdeklerini çıkarın."
