slug,title_tr,description_tr,type,cuisine,difficulty,prep_minutes,cook_minutes,total_minutes,serving_count,average_calories,ingredients_tr,ingredient_count,steps_tr,step_count,allergens,tags,tipNote_tr,servingSuggestion_tr,en_title_current,en_description_current,en_tipNote_current,en_servingSuggestion_current,en_ingredients_present,en_steps_present,de_title_current,de_description_current,de_tipNote_current,de_servingSuggestion_current,de_ingredients_present,de_steps_present
deniz-borulceli-fava-bodrum-usulu,Bodrum Deniz Börülceli Fava,"Bodrum deniz börülceli fava, bakla püresini deniz börülcesiyle buluşturarak tuzlu, kremamsı ve ferah bir Ege mezesı sunar.",APERATIF,tr,EASY,14,20,34,6,138,Kuru iç bakla 1 su bardağı | Deniz börülcesi 150 gr | Kuru soğan 1 adet | Zeytinyağı 3 yemek kaşığı | Limon suyu 1 yemek kaşığı,5,1. Baklayı soğanla birlikte 20 dakika haşlayın. || 2. Baklayı limon suyu ve zeytinyağıyla pürüzsüz çekin. || 3. Haşlanmış deniz börülcesini üstüne yerleştirip servis edin.,3,,"vegan,misafir-sofrasi,yaz-tarifi",Baklayı pürüzsüz çekmek iyi sonuç verir.,Üzerine zeytinyağı gezdirip soğuk servis edin.,Bodrum Fava with Sea Beans,"This Bodrum meze tops smooth broad bean puree with sea beans for a salty, creamy, and refreshing Aegean contrast.",,,0,0,Bodrum-Fava mit Meeresspargel,"Diese Mezze aus Bodrum setzt glatte Favabohnencreme mit Meeresspargel zusammen und schafft einen salzigen, cremigen Ägäis-Kontrast.",,,0,0
kekikli-kabak-cicegi-kizartmasi-mugla-usulu,Muğla Kekikli Kabak Çiçeği Kızartması,"Muğla kekikli kabak çiçeği kızartması, çiçekleri hafif hamurla kaplayıp tavada kızartarak gevrek, çiçeksi ve kekik kokulu bir tabak verir.",APERATIF,tr,EASY,18,10,28,4,188,Kabak çiçeği 12 adet | Un 0.75 su bardağı | Yumurta 1 adet | Yoğurt 0.5 su bardağı | Kekik 1 tatlı kaşığı | Sıvı yağ 0.5 su bardağı | Tuz 0.5 çay kaşığı,7,"1. Kabak çiçeklerini temizleyip kurulayın. || 2. Un, yumurta, yoğurt, kekik ve tuzla akışkan bir hamur çırpın. || 3. Çiçekleri hamura bulayıp toplam 6 dakika kızartın.",3,"GLUTEN,YUMURTA,SUT","vejetaryen,30-dakika-alti,yaz-tarifi",Hamuru ince tutmak çiçeğin tadını korur.,Yanına sarımsaklı yoğurt koyarak sıcak servis edin.,Mugla Thyme Zucchini Blossom Fritters,These Mugla fritters fry zucchini blossoms in a light batter into a crisp Aegean plate scented with thyme.,,,0,0,Zucchiniblüten-Krapfen aus Mugla,Diese Krapfen aus Mugla braten Zucchiniblüten in einem leichten Teig zu einem knusprigen Ägäis-Teller mit Thymianduft.,,,0,0
firikli-kuru-patlican-dolmasi-gaziantep-usulu,Gaziantep Firikli Kuru Patlıcan Dolması,"Gaziantep firikli kuru patlıcan dolması, tütsülü firik ve kıymayı kuru patlıcana doldurarak derin, baharatlı ve tok bir ana yemek verir.",YEMEK,tr,HARD,28,40,68,6,276,Kuru patlıcan 12 adet | Firik 1 su bardağı | Dana kıyma 250 gr | Kuru soğan 1 adet | Domates salçası 1 yemek kaşığı | Yoğurt 1 su bardağı | Tuz 1 çay kaşığı,7,"1. Kuru patlıcanları 6 dakika haşlayıp süzün. || 2. Firik, kıyma, soğan, salça ve tuzu karıştırın. || 3. Patlıcanları doldurup 40 dakika pişirin.",3,"GLUTEN,SUT","misafir-sofrasi,tek-tencere,kis-tarifi",Kuru patlıcanı kısa haşlamak dağılmasını önler.,Yanına sarımsaklı yoğurt koyarak sıcak servis edin.,Gaziantep Dried Eggplants Stuffed with Firik,"This Gaziantep dolma fills dried eggplants with smoky firik wheat and minced meat for a deep, spiced main dish.",,,0,0,Gaziantep-Trocken-Auberginen mit Firikfüllung,"Diese Dolma aus Gaziantep füllt getrocknete Auberginen mit rauchigem Firik und Hackfleisch zu einem tiefen, würzigen Hauptgericht.",,,0,0
sumakli-kilis-tava,Sumaklı Kilis Tava,"Sumaklı Kilis tava, kıymayı biber ve sumakla tepside bastırarak sulu, ekşi dokunuşlu ve fırın kokulu bir kebap sunar.",YEMEK,tr,EASY,18,22,40,5,324,Dana kıyma 600 gr | Kırmızı biber 2 adet | Kuru soğan 1 adet | Sumak 1 yemek kaşığı | Tuz 1 çay kaşığı | Lavaş 5 adet,6,"1. Biber ve soğanı çok ince doğrayıp kıyma, sumak ve tuzla yoğurun. || 2. Harci tepsiye bastırarak yayın. || 3. 200°C fırında 22 dakika pişirip dilimleyin.",3,GLUTEN,"misafir-sofrasi,yuksek-protein,firinda",Harci tepsiye ince yaymak kenarları karamelize eder.,Yanına lavaş koyarak sıcak servis edin.,Sumac Kilis Tray Kebab,This Kilis tray kebab presses minced meat with peppers and sumac into a pan for a juicy dish with tart edge and deep oven aroma.,,,0,0,Kilis-Blechkebab mit Sumach,Dieses Blechkebab aus Kilis drückt Hackfleisch mit Paprika und Sumach in die Form zu einem saftigen Gericht mit säuerlichem Rand und tiefer Ofennote.,,,0,0
nar-eksili-sehriye-pilavi-mardin-usulu,Mardin Nar Ekşili Şehriye Pilavı,"Mardin nar ekşili şehriye pilavı, arpa şehriyeyi nar ekşisi ve soğanla demleyerek parlak, hafif ekşi ve tane tane bir eşlikçi bırakır.",YEMEK,tr,EASY,10,16,26,4,188,Arpa şehriye 1.5 su bardağı | Kuru soğan 1 adet | Nar ekşisi 1 yemek kaşığı | Zeytinyağı 2 yemek kaşığı | Tuz 0.75 çay kaşığı,5,"1. Soğanı yağda 3 dakika çevirin. || 2. Şehriyeyi ekleyip hafif renk alana kadar kavurun. || 3. 2 su bardağı su, nar ekşisi ve tuzu katıp 12 dakika pişirin.",3,GLUTEN,"30-dakika-alti,tek-tencere,butce-dostu",Nar ekşisini sonda eklemek aromayı canlı tutar.,Yanına ızgara et koyarak sıcak servis edin.,Mardin Orzo Pilaf with Pomegranate Molasses,This Mardin pilaf steams orzo with onion and pomegranate molasses for a glossy side with tart lift and distinct grains.,,,0,0,Mardin-Orzo-Pilaw mit Granatapfelsirup,Dieser Pilaw aus Mardin dämpft Orzo mit Zwiebel und Granatapfelsirup zu einer glänzenden Beilage mit säuerlicher Frische und lockeren Körnern.,,,0,0
isotlu-nohutlu-semsek-sanliurfa-usulu,Şanlıurfa İsotlu Nohutlu Şemsek,"Şanlıurfa isotlu nohutlu şemsek, ince hamuru baharatlı nohutla kapatarak dumanlı, gevrek ve tok bir fırın işi çıkarır.",APERATIF,tr,MEDIUM,22,18,40,6,196,Un 2 su bardağı | Haşlanmış nohut 1.5 su bardağı | İsot 1 tatlı kaşığı | Zeytinyağı 3 yemek kaşığı | Tuz 1 çay kaşığı | Su 0.75 su bardağı,6,"1. Un, su, 1 yemek kaşığı zeytinyağı ve tuzla hamur yoğurun. || 2. Nohudu isot ve kalan yağla ezin, açtığınız hamura yerleştirip kapatın. || 3. Şemsekleri 200°C fırında 18 dakika pişirin.",3,GLUTEN,"firinda,butce-dostu,vegan",İç harcı kuru tutmak açılmayı önler.,Yanına ayran koyarak sıcak servis edin.,Sanliurfa Semsek with Isot and Chickpeas,"This Sanliurfa pastry seals spiced chickpeas into thin dough for a smoky, crisp, and sturdy baked snack.",,,0,0,Sanliurfa-Semsek mit Isot und Kichererbsen,"Dieses Gebäck aus Sanliurfa schließt gewürzte Kichererbsen in dünnen Teig zu einem rauchigen, knusprigen und kräftigen Ofensnack.",,,0,0
cevizli-lorlu-kuru-biber-dolmasi-diyarbakir-usulu,Diyarbakır Cevizli Lorlu Kuru Biber Dolması,"Diyarbakır cevizli lorlu kuru biber dolması, kuru biberi lor ve cevizle doldurarak yoğun, hafif ekşi ve dokulu bir meze verir.",APERATIF,tr,MEDIUM,20,10,30,6,164,Kuru dolmalık biber 12 adet | Lor peyniri 250 gr | Ceviz 0.5 su bardağı | Sumak 1 tatlı kaşığı | Zeytinyağı 1 yemek kaşığı,5,"1. Kuru biberleri 6 dakika haşlayıp süzün. || 2. Lor peynirini ceviz, sumak ve zeytinyağıyla karıştırın. || 3. Biberleri doldurup servis edin.",3,"SUT,KUSUYEMIS","misafir-sofrasi,vejetaryen,30-dakika-alti",Biberleri kısa haşlamak diri yapı bırakır.,Üzerine sumak serpip ılık servis edin.,Diyarbakir Dried Peppers Stuffed with Curd and Walnuts,This Diyarbakir meze fills dried peppers with cool curd cheese and walnuts for a layered plate with gentle tang.,,,0,0,Diyarbakir-Trockenpaprika mit Lor und Walnüssen,Diese Mezze aus Diyarbakir füllt getrocknete Paprika mit kühlem Lor-Käse und Walnüssen zu einem strukturierten Teller mit feiner Säure.,,,0,0
patlicanli-firik-corbasi-adiyaman-usulu,Adıyaman Patlıcanlı Firik Çorbası,"Adıyaman patlıcanlı firik çorbası, köz patlıcanı tütsülü firikle kaynatarak dumanlı, koyu ve besleyici bir başlangıç verir.",CORBA,tr,EASY,16,26,42,5,154,Firik 0.75 su bardağı | Patlıcan 2 adet | Kuru soğan 1 adet | Domates salçası 1 tatlı kaşığı | Limon 1 adet | Zeytinyağı 1 yemek kaşığı,6,"1. Patlıcanları közleyip doğrayın. || 2. Soğanı yağ ve salçayla 3 dakika çevirip firiği ekleyin. || 3. Su ekleyip 20 dakika pişirin, patlıcanı katıp 6 dakika daha kaynatın.",3,GLUTEN,"tek-tencere,kis-tarifi,vegan",Köz patlıcanı sonda eklemek isli tadı korur.,Üzerine limon sıkarak sıcak servis edin.,Adiyaman Firik Soup with Eggplant,"This Adiyaman soup simmers smoky firik wheat with roasted eggplant for a dark, warming, and nourishing starter.",,,0,0,Adiyaman-Firik-Suppe mit Aubergine,"Diese Suppe aus Adiyaman kocht rauchigen Firik mit gerösteter Aubergine zu einem dunklen, wärmenden und nahrhaften Auftakt.",,,0,0
madimakli-yumurta-sivas-usulu,Sivas Madımaklı Yumurta,"Sivas madımaklı yumurta, dağ otunu tereyağı ve yumurtayla buluşturarak yeşil, yoğun ve tavadan gelen bir kahvaltı tabağı çıkarır.",KAHVALTI,tr,EASY,12,10,22,3,206,Madımak otu 250 gr | Yumurta 3 adet | Tereyağı 20 gr | Tuz 0.5 çay kaşığı | Tandır ekmeği 3 dilim,5,1. Madımağı ayıklayıp iri doğrayın. || 2. Tereyağında madımağı 4 dakika çevirin. || 3. Yumurtaları kırıp 4 dakika daha pişirin.,3,"SUT,YUMURTA,GLUTEN","30-dakika-alti,vejetaryen,kis-tarifi",Madımağı fazla çevirmemek taze tadı korur.,Yanına tandır ekmeği koyarak sıcak servis edin.,Sivas Eggs with Madimak Greens,"This Sivas breakfast joins wild madimak greens with butter and eggs for a rich, green skillet.",,,0,0,Sivas-Eier mit Madimak,"Dieses Frühstück aus Sivas verbindet wilde Madimak-Kräuter mit Butter und Ei zu einer grünen, reichhaltigen Pfanne.",,,0,0
soganlama-yozgat-usulu,Yozgat Soğanlama,"Yozgat soğanlama, bol soğanı yumurta ve tereyağıyla ağır ateşte pişirerek tatlımsı, sade ve doyurucu bir tava yemeği kurar.",KAHVALTI,tr,EASY,10,18,28,3,198,Kuru soğan 4 adet | Yumurta 3 adet | Tereyağı 30 gr | Tuz 0.75 çay kaşığı | Karabiber 0.25 çay kaşığı,5,"1. Soğanları yarım ay doğrayın. || 2. Tereyağında soğanları 12 dakika kısık ateşte yumuşatın. || 3. Tuz, karabiber ve yumurtaları ekleyip 4 dakika daha pişirin.",3,"SUT,YUMURTA","butce-dostu,30-dakika-alti,vejetaryen",Soğanı yavaş pişirmek doğal tatlılık verir.,Yanına bazlama koyarak sıcak servis edin.,Yozgat Soganlama,"Yozgat Soganlama slowly cooks plenty of onion with butter and eggs into a sweet, plain, and filling pan dish.",,,0,0,Yozgat Soganlama,"Yozgat Soganlama gart reichlich Zwiebel langsam mit Butter und Ei zu einer süßlichen, schlichten und sättigenden Pfanne.",,,0,0
hashasli-patates-ezmeli-bukme-afyon-usulu,Afyon Haşhaşlı Patates Ezmeli Bükme,"Afyon haşhaşlı patates ezmeli bükme, ince hamuru patates ve haşhaşla katlayarak gevrek, yağlı ve tok bir ara öğün bırakır.",KAHVALTI,tr,MEDIUM,24,25,49,6,236,Un 2.5 su bardağı | Haşlanmış patates 3 adet | Haşhaş ezmesi 3 yemek kaşığı | Zeytinyağı 3 yemek kaşığı | Su 1 su bardağı | Tuz 1 çay kaşığı,6,"1. Un, su, 1 yemek kaşığı yağ ve tuzla hamur yoğurun. || 2. Patatesi ezin, açtığınız hamura haşhaş ezmesi sürüp patates yerleştirin. || 3. Bükmeleri 190°C fırında 25 dakika pişirin.",3,GLUTEN,"firinda,cocuk-dostu,vejetaryen",Haşhaş ezmesini ince yaymak katman verir.,Yanına sıcak çay koyarak ılık servis edin.,Afyon Poppy Seed Folded Pastry with Mashed Potatoes,"This Afyon pastry folds thin dough around mashed potatoes and poppy paste into a crisp, layered bite.",,,0,0,Afyon-Bükme mit Mohn und Kartoffelpüree,"Dieses Gebäck aus Afyon faltet dünnen Teig um Kartoffelpüree und Mohnpaste zu einem knusprigen, geschichteten Bissen.",,,0,0
eristeli-yesil-mercimek-pilavi-kirsehir-usulu,Kırşehir Erişteli Yeşil Mercimek Pilavı,"Kırşehir erişteli yeşil mercimek pilavı, kesme erişte ve mercimeği aynı tencerede buluşturarak tok, sade ve taneli bir ana eşlik bırakır.",YEMEK,tr,EASY,12,22,34,4,224,Yeşil mercimek 1 su bardağı | Erişte 1 su bardağı | Kuru soğan 1 adet | Tereyağı 20 gr | Tuz 0.75 çay kaşığı,5,"1. Mercimeği 15 dakika haşlayıp süzün. || 2. Soğanı tereyağında çevirip erişteyi kavurun. || 3. Mercimek, su ve tuzu katıp 10 dakika pişirin.",3,"GLUTEN,SUT","butce-dostu,tek-tencere,vejetaryen",Mercimeği diri tutmak pilavı korur.,Yanına turşu koyarak sıcak servis edin.,Kirsehir Green Lentil Pilaf with Noodles,"This Kirsehir pilaf brings green lentils and noodles together in one pot for a hearty, grainy staple.",,,0,0,Kirsehir-Pilaw mit grünen Linsen und Nudeln,"Dieser Pilaw aus Kirsehir vereint grüne Linsen und Nudeln in einem Topf zu einer kräftigen, körnigen Sättigungsbeilage.",,,0,0
unlu-tava-coregi-ankara-usulu,Ankara Unlu Tava Çöreği,"Ankara unlu tava çöreği, mayasız hamuru tavada kızartarak ince, tereyağlı ve hızla hazırlanan bir bozkır hamur işi çıkarır.",KAHVALTI,tr,EASY,12,12,24,4,212,Un 2 su bardağı | Yoğurt 0.5 su bardağı | Yumurta 1 adet | Tereyağı 25 gr | Tuz 0.5 çay kaşığı,5,"1. Un, yoğurt, yumurta ve tuzla hamur hazırlayın. || 2. Hamuru dört bezeye ayırıp ince açın. || 3. Tereyağlı tavada çörekleri 8 dakika pişirin.",3,"GLUTEN,SUT,YUMURTA","30-dakika-alti,cocuk-dostu,vejetaryen",Hamuru ince açmak iyi sonuç verir.,Üzerine bal sürerek sıcak servis edin.,Ankara Skillet Flat Pastry,"This Ankara skillet pastry fries a quick unleavened dough into a thin, buttery breakfast bread.",,,0,0,Ankara-Pfannenfladen,"Dieses Pfannengebäck aus Ankara brät einen schnellen ungesäuerten Teig zu einem dünnen, buttrigen Frühstücksfladen.",,,0,0
