slug,type,prep,cook,total,gap,timerSum,sample
mardin-sumakli-kuzu-kaburga,YEMEK,20,150,290,120,143,"Kaburgayı tuz, sumak ve zeytinyağıyla ovun."
sinop-nohutlu-keskek,YEMEK,25,120,258,113,113,"Yarma buğdayı geceden ıslatıp süzün."
igdir-bozbas,YEMEK,25,100,225,100,100,"Kuzu eti ve nohudu tencereye alıp sıcak su ekleyin."
mugla-dos-dolmasi,YEMEK,40,110,240,90,122,"Pirinci yıkayıp süzün; kuzu ciğeri, kuru soğan ve domatesi küçük doğrayın."
helise-malatya-usulu,YEMEK,12,95,197,90,92,"Aşurelik buğdayı yıkayıp tencereye alın, suyu ekleyin."
beypazari-etli-guvec,YEMEK,25,120,235,90,113,"Kuzu etini zeytinyağında 8 dakika renk alana kadar mühürleyin."
tehran-ghormeh-sabzi,YEMEK,30,120,240,90,110,"Maydanoz, kişniş ve pırasayı ince kıyın."
adana-sirdan-dolmasi,YEMEK,60,95,245,90,90,"Şırdanları limonlu suda ovarak birkaç kez yıkayın."
coq-au-vin,YEMEK,30,105,220,85,106,"Tavuk parçalarını kurulayın ve tuzla hafifçe ovun."
sari-bezelye-corbasi-stockholm-usulu,CORBA,10,80,170,80,85,"Sarı bezelyeyi yıkayın, soğan ve havucu küçük doğrayın."
budapest-gulas-yahnisi,YEMEK,20,120,215,75,118,"Soğanı yağda 10 dakika altın renk alana kadar pişirin."
hardalli-artsoppa,CORBA,15,75,160,70,72,"300 gr sarı bezelyeyi geceden ıslatıp süzün."
carne-de-panela,YEMEK,25,90,185,70,89,"Dana etini iri kuşbaşı doğrayıp tuz ve karabiberle ovun."
artsoppa-isvec-usulu,CORBA,15,75,160,70,80,"Sarı bezelyeyi yıkayıp soğan, havuç ve defne yaprağıyla tencereye alın."
arabasi-hamuru,YEMEK,15,22,97,60,82,"Unu soğuk suyla kapta pürüzsüz bulamaç olana kadar açın."
briam,YEMEK,20,60,140,60,60,"Patates, kabak ve patlıcanı eş kalınlıkta halka doğrayın."
riyadh-chicken-kabsa,YEMEK,25,65,150,60,105,"Basmati pirincini 30 dakika ıslatıp süzün."
burgonya-coq-au-vin,YEMEK,35,90,185,60,85,"Tavuk parçalarını tencerede 10 dakika kızartıp çıkarın."
bo-kho,YEMEK,20,90,170,60,85,"Dana etini iri küp doğrayıp soya sosu, beş baharat ve sarımsakla 10 dakika harma"
marakes-harira-corbasi,CORBA,20,95,175,60,96,"Eti, soğanı ve baharatları tencerede 8 dakika kavurun."
porkolt,YEMEK,15,75,150,60,81,"Eti kuşbaşı doğrayın, soğanı ince kıyın ve kırmızı biberi hazırlayın."
kagit-kebabi,YEMEK,25,60,145,60,73,"5 dakika dinlensin, sıcaklık malzemenin içine dengeli dağılsın."
marrakesh-chicken-tagine,YEMEK,25,75,155,55,83,"Tavukları zencefil, zerdeçal, tarçın ve tuzla ovun."
erikli-dana-yahni-edirne-usulu,YEMEK,16,67,138,55,67,"Dana etini iri kuşbaşı doğrayıp kurulayın."
vienna-sachertorte,TATLI,45,63,163,55,72,"Bitter çikolatayı benmaride 5 dakika eritin."
budapeste-paprikali-gulyas-corbasi,CORBA,20,90,165,55,97,"Soğanı yağda 8 dakika altın rengi olana kadar kavurun."
casablanca-tavuk-tagine,YEMEK,20,65,138,53,59,"Tavuk butlarını baharat ve tuzla ovun."
tokat-baklali-yaprak-sarma,YEMEK,45,55,153,53,61,"Kuru baklayı geceden ıslatıp süzün, iri parçalı çekin."
malatya-kagit-kebabi-kuzu,YEMEK,25,55,130,50,55,"Et ve sebzeleri iri lokmalar halinde doğrayın."
fes-tavuk-tagine,YEMEK,20,85,155,50,83,"Tavuk butlarını tuz, zencefil, kimyon ve karabiberle ovun."
erikli-kuzu-yahni-van-usulu,YEMEK,18,61,129,50,61,"Kuzu etini iri parçalar halinde doğrayıp kurulayın."
kirikkale-keskin-tava,YEMEK,15,60,125,50,60,"Domatesi iri küp, sivri biberi uzun doğrayın."
kalops-isvec-usulu,YEMEK,16,50,116,50,60,"Kalops başlangıcı olarak eti ve soğanı tencereye alın."
kazablanka-limonlu-tavuk-tajin,YEMEK,20,60,125,45,59,"Tavuk butlarını tuz, zencefil ve safranla ovun."
tas-kebabi,YEMEK,20,70,135,45,83,"Zeytinyağını tencerede ısıtın ve eti yüksek ateşte 6-7 dakika mühürleyin."
durban-bunny-chow,YEMEK,30,85,160,45,90,"Kuzu kuşbaşıyı sıvı yağda 8 dakika mühürleyin."
adiyaman-besni-tava,YEMEK,25,55,125,45,55,"Patlıcanları alacalı soyup iri küpler halinde doğrayın."
ajvar,SOS,25,45,115,45,55,"Biber ve patlıcanları közleyip kabuklarını soyun."
chao-ga,KAHVALTI,10,55,110,45,55,"Pirinç, tavuk, zencefil ve 6 su bardağı suyu tencereye alın."
antep-katikli-dolma,YEMEK,50,45,140,45,55,"Kabakları yıkayıp içlerini ince duvar kalacak şekilde oyun."
camarao-na-moranga,YEMEK,40,70,155,45,67,"Balkabağının üstünü kapak gibi kesip çekirdeklerini temizleyin."
gemista-yunan-usulu,YEMEK,20,45,110,45,45,"Domates ve biberlerin kapaklarını kesip içlerini çıkarın."
gaziantep-nar-eksili-kuru-patlican-dolmasi,YEMEK,50,45,138,43,51,"Kuru patlıcanları kaynar suda 8 dakika yumuşatıp süzün."
nice-firin-ratatouille,YEMEK,22,45,110,43,48,"Patlıcan, kabak, biber ve domatesleri benzer kalınlıkta doğrayın."
hunkar-begendi,YEMEK,20,50,113,43,72,"Patlıcanları 200°C fırında 20-25 dakika pişirip kabuklarını soyun."
sanliurfa-patlicanli-kazan-kebabi,YEMEK,32,45,120,43,43,"Patlıcanları kalın halka kesip ortalarını hafifçe açın."
duzce-hamsili-ekmek,YEMEK,25,42,109,42,42,"Hamsiyi kılçıklarından ayırıp küçük doğrayın."
lyon-quiche-lorraine,YEMEK,25,45,110,40,54,"Tart hamurunu kalıba yerleştirip 180°C fırında 12 dakika kör pişirin."
kabak-dolmasi,YEMEK,35,40,115,40,40,"Kabakların içini oyun ve ağız kısımlarını düz kesin."
edirne-mutancana-osmanli,YEMEK,20,65,125,40,72,"Kuzu etini tereyağında 10 dakika mühürleyin."
madrid-patatas-bravas,APERATIF,15,45,100,40,56,"Patatesleri 2 cm küpler halinde doğrayıp kurulayın."
banh-flan-vietnam,TATLI,20,40,100,40,46,"Şekeri küçük kalıpta 6 dakika eritip koyu amber karamel yapın."
creme-brulee,TATLI,20,45,105,40,45,"Krema ve vanilyayı 5 dakika ısıtıp demleyin."
kapuska,YEMEK,20,40,100,40,53,"Kapuska başlangıcı olarak soğan ve kıymayı zeytinyağında 8 dakika kavurun."
rio-hizli-feijoada,YEMEK,18,55,111,38,49,"Soğan ve sarımsağı tencerede 5 dakika kavurun."
tekirdag-pirasali-peynir-boregi,YEMEK,22,32,91,37,44,"Pırasaları ince doğrayıp tuzla tavada 7 dakika soteleyin."
beyrut-firinli-kibbeh,YEMEK,50,38,125,37,62,"Bulguru sıcak suyla 15 dakika şişirin."
hasselback-potatis,YEMEK,12,55,102,35,57,"Patatesleri bütün bırakıp altını kesmeden ince aralıklarla dilimleyin."
mardin-alluciye,YEMEK,45,62,142,35,78,"İnce bulguru pul biber, karabiber ve 0.5 su bardağı sıcak suyla 10 dakika ıslatı"
arroz-con-leche-cubano,TATLI,10,45,90,35,40,"Pirinci yıkayıp süzün ve tencereye sütle birlikte alın."
karadeniz-misir-ekmegi,APERATIF,15,35,85,35,35,"Mısır unu, yoğurt, yumurta ve yağı geniş kapta pütürsüz karıştırın."
risgrynsgrot,TATLI,10,45,90,35,45,"Pirinç ve suyu tencereye alın."
karabugdayli-tavuk-firini-rus-usulu,YEMEK,16,42,93,35,49,"Mantar ve soğanı 6 dakika soteleyip fırın kabına alın."
patates-oturtma,YEMEK,20,35,90,35,35,"Patatesleri dilimleyip kızgın yağda kızartın."
hatay-firin-oruk-dilimleri,YEMEK,55,32,118,31,54,"Bulguru sıcak suyla 15 dakika şişirin."
