title_lower,group_size,winner_slug,winner_score,loser_slugs,total_bookmark_loser,total_coll_loser,total_mealplan_loser,total_variation_loser,total_review_loser,cuisine_group
"aydın zeytinli keşkek",2,zeytinli-keskek-aydin-usulu,74.9,"zeytinli-keskek-aydin-bahce-usulu",0,0,0,0,0,same
"ayran aşı çorbası",2,ayran-asi-corbasi-erzurum-usulu,92.0,"ayran-asi-corbasi",0,0,0,0,0,same
"babagannuş",2,babagannus-gaziantep-usulu,97.1,"babagannus",0,0,0,0,0,same
"bakewell tart",2,bakewell-tart-ingiliz-usulu,1073.7,"bakewell-tart",0,0,0,0,0,same
"bartın mısır unlu hamsi köftesi",2,misir-unlu-hamsi-koftesi-bartin-usulu,73.8,"misir-unlu-hamsi-koftesi-bartin-liman-usulu",0,0,0,0,0,same
"beetroot burger",2,beetroot-burger-avustralya-usulu,74.2,"beetroot-burger-avustralya-kafe-usulu",0,0,0,0,0,same
"biberli ekmek",2,biberli-ekmek-hatay-usulu,1130.8,"hatay-biberli-ekmek",0,0,0,0,0,same
"blåbärssoppa",2,blabarssoppa-isvec-usulu,65.0,"blabarssoppa",0,0,0,0,0,same
"bolu patatesli keş salatası",2,patatesli-kes-salatasi-bolu-usulu,73.9,"patatesli-kes-salatasi-bolu-yayla-usulu",0,0,0,0,0,same
"bursa cantık",2,cantik-bursa-usulu,88.9,"bursa-cantik",0,0,0,0,0,same
"causa limeña",2,causa-limena-peru-usulu,87.8,"causa-limena",0,0,0,0,0,same
"chiles rellenos",2,chiles-rellenos-meksika-usulu,1073.9,"chiles-rellenos",0,0,0,0,0,same
"clafoutis",2,clafoutis,76.3,"clafoutis-fransiz-yaz-usulu",0,0,0,0,0,same
"clam chowder",2,clam-chowder-abd-sahil-usulu,1073.0,"clam-chowder",0,0,0,0,0,same
"coxinha",2,coxinha,84.8,"coxinha-brezilya-usulu",0,0,0,0,0,same
"cà phê sữa đá",2,ca-phe-sua-da,1054.8,"ca-phe-sua-da-vietnam-usulu",0,0,0,0,0,same
"damper",2,damper,77.8,"damper-avustralya-usulu",0,0,0,0,0,same
"dorayaki",2,dorayaki-japon-kafe-usulu,62.9,"dorayaki",0,0,0,0,0,same
"düğün çorbası",2,dugun-corbasi,126.6,"dugun-corbasi-konya-usulu",0,0,0,0,0,same
"elazığ harput köftesi",2,harput-kofte-elazig-usulu,77.4,"elazig-harput-koftesi",0,0,0,0,0,same
"espinacas con garbanzos",2,espinacas-con-garbanzos,73.0,"espinacas-con-garbanzos-ispanya-usulu",0,0,0,0,0,same
"esquites",2,esquites-meksika-usulu,74.2,"esquites",0,0,0,0,0,same
"eton mess",2,eton-mess,69.4,"eton-mess-ingiliz-usulu",0,0,0,0,0,same
"fairy bread",2,fairy-bread-avustralya-usulu,55.3,"fairy-bread-avustralya-parti-usulu",0,0,0,0,0,same
"fasolada",2,fasolada-yunan-usulu,73.0,"fasolada",0,0,0,0,0,same
"fasolka po bretońsku",2,fasolka-po-bretonsku-polonya-usulu,73.2,"fasolka-po-bretonsku-polonya-ev-usulu",0,0,0,0,0,same
"fasulye diblesi",2,fasulye-diblesi-ordu-usulu,86.9,"fasulye-diblesi",0,0,0,0,0,same
"fava",2,fava-izmir-usulu,1087.2,"fava",0,0,0,0,0,same
"feijão tropeiro",2,feijao-tropeiro-brezilya-usulu,74.1,"feijao-tropeiro",0,0,0,0,0,same
"galaktoboureko",2,galaktoboureko-yunan-usulu,73.9,"galaktoboureko",0,0,0,0,0,same
"giresun hamsili karalahana sote",2,hamsili-karalahana-sote-giresun-usulu,75.4,"hamsili-karalahana-sote-giresun-ev-usulu",0,0,0,0,0,same
"girit ezmesi",2,girit-ezmesi-izmir-usulu,95.9,"girit-ezmesi-ege-usulu",0,0,0,0,0,same
"gratin dauphinois",2,gratin-dauphinois,77.3,"gratin-dauphinois-fransiz-ev-usulu",0,0,0,0,0,same
"göbete",2,gobete-eskisehir-usulu,99.9,"gobete-sinop-usulu",0,0,0,0,0,same
"hamsili pilav",2,hamsili-pilav-artvin-usulu,112.5,"hamsili-pilav",0,0,0,0,0,same
"harira",2,harira-kuzey-afrika-usulu,1074.6,"harira",0,0,0,0,0,same
"hatay kaytaz böreği",2,hatay-kaytaz-boregi,1063.8,"kaytaz-boregi-antakya-firin-usulu",0,0,0,0,0,same
"hortobágyi palacsinta",2,hortobagyi-palacsinta-macar-usulu,73.5,"hortobagyi-palacsinta",0,0,0,0,0,same
"hotteok",2,hotteok-kore-kis-usulu,1073.2,"hotteok",0,0,0,0,0,same
"höşmerim",2,hosmerim,73.0,"hosmerim-balikesir-usulu",0,0,0,0,0,same
"izmir enginarlı börülce güveci",2,enginarli-borulce-guveci-izmir-usulu,74.7,"enginarli-borulce-guveci-izmir-bag-usulu",0,0,0,0,0,same
"izmir lorlu firik dolma",2,lorlu-firik-dolma-izmir-ova-usulu,72.1,"lorlu-firik-dolma-izmir-bostan-usulu",0,0,0,0,0,same
"kai jeow",2,kai-jeow,63.2,"kai-jeow-tay-kahvalti-usulu",0,0,0,0,0,same
"kakaolu csiga",2,kakaolu-csiga,76.0,"kakaolu-csiga-macar-usulu",0,0,0,0,0,same
"kanelbulle",2,kanelbulle,1063.3,"kanelbulle-isvec-usulu",0,0,0,0,0,same
"kars ketesi",2,kars-ketesi,78.0,"kete-kars-usulu",0,0,0,0,0,same
"kastamonu ekşili pancarlı keşkek",2,eksili-pancarli-keskek-kastamonu-usulu,73.7,"eksili-pancarli-keskek-kastamonu-ova-usulu",0,0,0,0,0,same
"kaytaz böreği",2,kaytaz-boregi-hatay-usulu,110.4,"kaytaz-boregi",0,0,0,0,0,same
"key lime pie",2,key-lime-pie-abd-florida-usulu,1071.6,"key-lime-pie",0,0,0,0,0,same
"kilis tava",2,kilis-tava-firin-usulu,107.6,"kilis-tava",0,0,0,0,0,same
"kimchi jeon",2,kimchi-jeon-kore-sokak-usulu,72.4,"kimchi-jeon",0,0,0,0,0,same
"kluski śląskie",2,kluski-slaskie-polonya-usulu,64.3,"kluski-slaskie-polonya-ev-usulu",0,0,0,0,0,same
"kopytka",2,kopytka-polonya-usulu,68.7,"kopytka-polonya-ev-usulu",0,0,0,0,0,same
"kotleti",2,kotleti-rus-ev-usulu,74.4,"kotleti",0,0,0,0,0,same
"kulak çorbası",2,kulak-corbasi,80.7,"kulak-corbasi-antalya-usulu",0,0,0,0,0,same
"kulebyaka",2,kulebyaka,82.6,"kulebyaka-rus-usulu",0,0,0,0,0,same
"kütahya haşhaşlı mercimek krep",2,hashasli-mercimek-krep-kutahya-usulu,73.4,"hashasli-mercimek-krep-kutahya-koy-usulu",0,0,0,0,0,same
"lamington",2,lamington,1088.2,"lamington-avustralya-usulu",0,0,0,0,0,same
"lancashire hotpot",2,lancashire-hotpot-ingiliz-usulu,75.4,"lancashire-hotpot-ingiliz-koy-usulu",0,0,0,0,0,same
"laz böreği",2,laz-boregi-rize-usulu,101.6,"laz-boregi-karadeniz-usulu",0,0,0,0,0,same
"lebeniye çorbası",2,lebeniye-corbasi,89.9,"lebeniye-corbasi-gaziantep-usulu",0,0,0,0,0,same
"lecsó",2,lecso-macar-usulu,73.6,"lecso",0,0,0,0,0,same
"loukoumades",2,loukoumades,73.5,"loukoumades-yunan-usulu",0,0,0,0,0,same
"lángos",2,langos-budapeste-usulu,1113.2,"langos-macar-usulu",0,0,0,0,0,same
"maakouda",2,maakouda-fas-usulu,78.9,"maakouda",0,0,0,0,0,same
"mahluta çorbası",2,mahluta-corbasi-hatay-usulu,94.5,"mahluta-corbasi-antakya-usulu",0,0,0,0,0,same
"manisa üzümlü tavuk kapama",2,uzumlu-tavuk-kapama-manisa-bag-usulu,1073.6,"uzumlu-tavuk-kapama-manisa-sultaniye-usulu",0,0,0,0,0,same
"mardin sembusek",2,kapali-sembusek-mardin-usulu,89.6,"mardin-sembusek",0,0,0,0,0,same
"medovik",2,medovik-rus-usulu,1064.5,"medovik",0,0,0,0,0,same
"moros y cristianos",2,moros-y-cristianos-kuban-usulu,78.0,"moros-y-cristianos",0,0,0,0,0,same
"msemen",2,msemen,1062.4,"msemen-kuzey-afrika-usulu",0,0,0,0,0,same
"muhammara",2,muhammara-gaziantep-usulu,1107.3,"muhammara",0,0,0,0,0,mixed
"muğla ekşili kabak sıyırması",2,eksili-kabak-siyirmasi-mugla-usulu,74.1,"eksili-kabak-siyirmasi-mugla-bag-evi-usulu",0,0,0,0,0,same
"ordu mısır yarmalı tavuk çorbası",2,misir-yarmali-tavuk-corbasi-ordu-usulu,75.7,"misir-yarmali-tavuk-corbasi-ordu-koy-usulu",0,0,0,0,0,same
"oyakodon",2,oyakodon,73.5,"oyakodon-japon-ev-usulu",0,0,0,0,0,same
"palak paneer",2,palak-paneer,78.9,"palak-paneer-hint-ev-usulu",0,0,0,0,0,same
"papa a la huancaína",2,papa-a-la-huancaina-peru-usulu,1073.2,"papa-a-la-huancaina",0,0,0,0,0,same
"paprikás krumpli",2,paprikas-krumpli,75.8,"paprikas-krumpli-macar-usulu",0,0,0,0,0,same
"patila",2,patila-kars-usulu,75.4,"patila",0,0,0,0,0,same
"pavlova",2,pavlova,82.3,"pavlova-avustralya-usulu",0,0,0,0,0,same
"pea and mint soup",2,pea-and-mint-soup-ingiliz-yaz-usulu,73.6,"pea-and-mint-soup-ingiliz-usulu",0,0,0,0,0,same
"perde pilavı",2,perde-pilavi,1106.3,"perde-pilavi-siirt-usulu",0,0,0,0,0,same
"pirozhki",2,pirozhki,73.6,"pirozhki-rus-usulu",0,0,0,0,0,same
"placki ziemniaczane",2,placki-ziemniaczane,94.2,"placki-ziemniaczane-polonya-usulu",0,0,0,0,0,same
"poha",2,poha,76.3,"poha-hint-kahvalti-usulu",0,0,0,0,0,same
"pollo al ajillo",2,pollo-al-ajillo-ispanya-usulu,73.5,"pollo-al-ajillo-ispanyol-tava-usulu",0,0,0,0,0,same
"pão de queijo",2,pao-de-queijo-kase-brezilya-kafe-usulu,1074.2,"pao-de-queijo-brezilya-usulu",0,0,0,0,0,same
"raggmunk",2,raggmunk-isvec-usulu,77.1,"raggmunk-patates-krep-isvec-usulu",0,0,0,0,0,same
"rajma masala",2,rajma-masala-hint-usulu,74.6,"rajma-masala",0,0,0,0,0,same
"rakott karfiol",2,rakott-karfiol-macar-usulu,74.4,"rakott-karfiol-macar-firin-usulu",0,0,0,0,0,same
"rakott krumpli",2,rakott-krumpli,64.6,"rakott-krumpli-macar-usulu",0,0,0,0,0,same
"rebujito",2,rebujito-ispanya-usulu,65.9,"rebujito-ispanya-ferah-usulu",0,0,0,0,0,same
"reyhan şerbeti",2,reyhan-serbeti,76.4,"reyhan-serbeti-sanliurfa-usulu",0,0,0,0,0,same
"ribollita",2,ribollita,72.9,"ribollita-italyan-toskana-usulu",0,0,0,0,0,same
"rize mincili laz böreği",2,mincili-laz-boregi-rize-usulu,1075.7,"mincili-laz-boregi-rize-ev-usulu",0,0,0,0,0,same
"rákóczi túrós",2,rakoczi-turos,91.1,"rakoczi-turos-macar-usulu",0,0,0,0,0,same
"sakızlı muhallebi",2,sakizli-muhallebi-cesme-usulu,1064.4,"sakizli-muhallebi",0,0,0,0,0,same
"samsun cevizli tirit",2,cevizli-tirit-samsun-usulu,76.0,"cevizli-tirit-samsun-ocak-usulu",0,0,0,0,0,same
"sausage sizzle",2,sausage-sizzle,78.8,"sausage-sizzle-avustralya-usulu",0,0,0,0,0,same
"scallion pancake",2,scallion-pancake-cin-sokak-usulu,1073.0,"scallion-pancake",0,0,0,0,0,same
"semla",2,semla,1074.0,"semla-iskandinav-usulu",0,0,0,0,0,same
"semsek",2,semsek-guneydogu-usulu,84.9,"semsek-adiyaman-usulu",0,0,0,0,0,same
"sernik krakowski",2,sernik-krakowski,93.1,"sernik-krakowski-polonya-usulu",0,0,0,0,0,same
"sernik na zimno",2,sernik-na-zimno-cilekli-polonya-usulu,72.9,"sernik-na-zimno-polonya-usulu",0,0,0,0,0,same
"sinop keşkekli istavrit tava",2,keskekli-istavrit-tava-sinop-usulu,74.6,"keskekli-istavrit-tava-sinop-liman-usulu",0,0,0,0,0,same
"sinop nokulu",2,sinop-nokulu-cevizli,93.9,"sinop-nokulu",0,0,0,0,0,same
"siron",2,siron-bayburt-usulu,85.7,"siron-gumushane-usulu",0,0,0,0,0,same
"sivas katmeri",2,katmer-sivas-usulu,68.1,"sivas-katmeri",0,0,0,0,0,same
"skagen toast",2,skagen-toast,1064.5,"skagen-toast-iskandinav-usulu",0,0,0,0,0,same
"skordalia",2,skordalia,64.0,"skordalia-yunan-usulu",0,0,0,0,0,same
"solyanka",2,solyanka-rus-usulu,73.5,"solyanka",0,0,0,0,0,same
"somlói galuska",2,somloi-galuska,64.8,"somloi-galuska-macar-usulu",0,0,0,0,0,same
"sopa criolla",2,sopa-criolla,88.1,"sopa-criolla-peru-usulu",0,0,0,0,0,same
"sticky toffee pudding",2,sticky-toffee-pudding-ingiliz-usulu,1073.3,"sticky-toffee-pudding",0,0,0,0,0,same
"suspiro limeño",2,suspiro-limeno-peru-lima-usulu,64.5,"suspiro-limeno-peru-usulu",0,0,0,0,0,same
"syrniki",2,syrniki,65.0,"syrniki-rus-usulu",0,0,0,0,0,same
"tacu tacu",2,tacu-tacu,80.6,"tacu-tacu-peru-usulu",0,0,0,0,0,same
"taktouka",2,taktouka,84.5,"taktouka-kuzey-afrika-usulu",0,0,0,0,0,same
"tallarines verdes",2,tallarin-verdes-peru-usulu,74.7,"tallarines-verdes-peru-usulu",0,0,0,0,0,same
"tarhana çorbası",2,tarhana-corbasi-kahramanmaras-usulu,76.9,"tarhana-corbasi",0,0,0,0,0,same
"tarta de santiago",2,tarta-de-santiago-minik-usulu,1063.7,"tarta-de-santiago",0,0,0,0,0,same
"tirit",2,tirit,78.9,"tirit-konya-usulu",0,0,0,0,0,same
"tokat bat",2,bat-tokat-usulu,78.3,"tokat-bat",0,0,0,0,0,same
"tokat mahlepli yeşil mercimek çorbası",2,mahlepli-yesil-mercimek-corbasi-tokat-usulu,73.2,"mahlepli-yesil-mercimek-corbasi-tokat-bag-usulu",0,0,0,0,0,same
"trabzon fasulyeli mısır ekmeği dürümü",2,fasulyeli-misir-ekmegi-durumu-trabzon-usulu,62.6,"fasulyeli-misir-ekmegi-durumu-trabzon-yayla-usulu",0,0,0,0,0,same
"treacle tart",2,treacle-tart,77.1,"treacle-tart-ingiliz-usulu",0,0,0,0,0,same
"tutmaç çorbası",2,tutmac-corbasi,104.8,"tutmac-corbasi-kayseri-usulu",0,0,0,0,0,same
"un helvası",2,un-helvasi-tekirdag-usulu,76.4,"un-helvasi",0,0,0,0,0,same
"welsh rarebit",2,welsh-rarebit,86.7,"welsh-rarebit-ingiliz-usulu",0,0,0,0,0,same
"zaalouk",2,zaalouk,63.8,"zaalouk-kuzey-afrika-usulu",0,0,0,0,0,same
"zaru soba",2,zaru-soba,63.5,"zaru-soba-japon-yaz-usulu",0,0,0,0,0,same
"zonguldak lahanalı mantar güveci",2,lahanali-mantar-guveci-zonguldak-usulu,73.7,"lahanali-mantar-guveci-zonguldak-maden-usulu",0,0,0,0,0,same
"ärtsoppa",2,artsoppa-isvec-usulu,87.2,"artsoppa",0,0,0,0,0,same
"çanakkale peynir helvası",2,firin-peynir-helvasi-canakkale-usulu,76.6,"peynir-helvasi-canakkale-usulu",0,0,0,0,0,same
"çökertme kebabı",2,cokertme-kebabi-mugla-usulu,1112.0,"cokertme-kebabi",0,0,0,0,0,same
"şakşuka",2,saksuka-izmir-usulu,99.5,"saksuka",0,0,0,0,0,same
"żurek",2,zurek-polonya-usulu,1085.0,"zurek",0,0,0,0,0,same
