slug,title,description,type,cuisine,ingredients_summary,allergens,tags,tipNote,servingSuggestion
afyon-bukmesi,Afyon Bükmesi,"Afyon bükmesi, haşhaşlı hamurun mercimekli içle kapanıp sac tadında pişen doyurucu halidir.",YEMEK,tr,Un; Haşhaş ezmesi; Haşlanmış yeşil mercimek; Soğan,GLUTEN,"vejetaryen,vegan",,Ayran veya çay eşliğinde sıcak servis edin.
agua-de-jamaica,Agua de Jamaica,"Agua de Jamaica, hibiskus çiçeğini şeker ve lime ile ferah bir Meksika içeceğine dönüştürür.",ICECEK,mx,Kuru hibiskus; Su; Şeker; Lime,,"alkolsuz,yaz-tarifi,vejetaryen,vegan",Hibiskusu süzdükten sonra soğuk suyla seyreltin; buzlar hızlı erimez.,Bol buz ve lime dilimleriyle servis edin.
ahududulu-kefir-smoothie,Ahududulu Kefir Smoothie,"Ahududu ve kefir bir araya geldiğinde kuzey meyvelerini andıran serin, hafif ekşi bir smoothie oluşur.",ICECEK,se,Ahududu; Kefir; Muz,SUT,"alkolsuz,30-dakika-alti,vejetaryen",Ahududunun çekirdeği rahatsız ediyorsa karışımı kısa süzebilirsiniz.,Bardağın üstüne birkaç taze ahududu koyarak servis edin.
ajvar,Ajvar,"Balkan ajvarı, közlenmiş kırmızı biber ve patlıcanla ekmeğe sürülen dumanlı bir sebze sosudur.",SOS,tr,Kırmızı kapya biber; Patlıcan; Zeytinyağı; Sirke,,"vegan,vejetaryen",Biber kabuklarını tamamen soyun; kalan kabuk sosun dokusunu bozar.,"Kızarmış ekmek, ızgara köfte veya peynir tabağı yanında servis edin."
akcaabat-koftesi,Akçaabat Köftesi,"Trabzon'un sade köftesi dana eti, ekmek içi ve sarımsakla hazırlanır; kömür tadı öne çıkar.",YEMEK,tr,Dana kıyma; Bayat ekmek içi; Sarımsak; Tuz,GLUTEN,yuksek-protein,,
akdeniz-salatasi,Akdeniz Salatası,"Yeşillik, domates, zeytin ve beyaz peynirle hazırlanan ferah salata.",SALATA,tr,Akdeniz yeşilliği; Cherry domates; Salatalık; Siyah zeytin; Beyaz peynir; Zeytinyağı; Limon suyu,SUT,"vejetaryen,pratik",Sosu servis öncesi ekleyin; yeşillikler diri kalır.,Izgara tavuk yanında servis edin.
albondigas,Albondigas,"İspanyol albondigas, küçük köftelerin domatesli sos içinde yumuşakça piştiği tapas klasiğidir.",YEMEK,es,Dana kıyma; Ekmek kırıntısı; Yumurta; Domates sosu,"GLUTEN,YUMURTA",misafir-sofrasi,"Köfteleri sosa atmadan önce tavada her yüzünü mühürleyin; mühürleme kıvamı tutar, köfte sostan dağılmaz.",Kızarmış ekmek dilimleriyle servis edin.
ali-nazik,Ali Nazik Kebabı,Közlenmiş patlıcan ve yoğurt yatağı üzerine tereyağlı kuşbaşı et. Gaziantep'in gururu.,YEMEK,tr,Kuşbaşı kuzu eti; Patlıcan; Süzme yoğurt; Sarımsak; Tereyağı; Tuz; Pul biber,SUT,"misafir-sofrasi,yuksek-protein","Patlıcanları közledikten sonra hemen soğuk suya atın, kabuğu kolay soyulur.",Bulgur pilavı ile harika gider.
aloo-gobi,Aloo Gobi,"Kuzey Hindistan aloo gobi, patates ve karnabaharı zerdeçal kokulu kuru bir tavada buluşturur.",YEMEK,in,Patates; Karnabahar; Domates; Zerdeçal,,"vegan,vejetaryen",,Naan ekmek veya pirinç ile servis edin.
altin-sut,Altın Süt,"Zerdeçal ve zencefille ısıtılan süt, yatıştırıcı bir akşam içeceğine dönüşür; baharatı yumuşak kalır.",ICECEK,in,Süt; Zerdeçal; Toz zencefil; Bal,SUT,"30-dakika-alti,vejetaryen",Zerdeçalı kısa pişirin; uzun kaynama topraksı tadı ağırlaştırır.,Üzerine bir tutam karabiber ekleyip sıcak servis edin.
amasya-baklali-dolma,Amasya Baklalı Dolma,"Amasya baklalı dolması, asma yaprağını kuru bakla ve bulgurlu içle ekşi bir tencereye dönüştürür.",YEMEK,tr,Asma yaprağı; Kuru bakla; Bulgur; Yoğurt,"GLUTEN,SUT","vejetaryen,misafir-sofrasi",Baklayı iri kırıp ıslatın; bütün bakla dolma içinde geç pişer.,Sarımsaklı yoğurtla ılık servis edin.
amasya-coregi,Amasya Çöreği,"Amasya çöreği, cevizli ve haşhaşlı içiyle uzun mayalanan kokulu bir Anadolu hamur işidir.",KAHVALTI,tr,Un; Süt; Ceviz; Haşhaş ezmesi,"GLUTEN,SUT,KUSUYEMIS",vejetaryen,,"Çay ile, ılık veya oda sıcaklığında servis edin."
americano,Americano,Espressonun sıcak suyla uzatıldığı sade kahve.,ICECEK,tr,Espresso; Sıcak su,,"vegan,alkolsuz,pratik,vejetaryen",Sıcak suyu önce fincana koyarsanız crema daha belirgin kalır.,Sade veya yanında suyla servis edin.
amlou,Amlou,"Amlou, öğütülmüş bademi bal ve argan yağıyla birleştiren koyu kıvamlı Fas kahvaltı ezmesidir.",SOS,ma,Badem; Bal; Argan yağı,KUSUYEMIS,"vejetaryen,misafir-sofrasi",Bademi fazla koyu çekmemek ezmenin macun gibi sertleşmesini önler.,Küçük kahvaltı kaselerinde oda sıcaklığında servis edin.
anali-kizli-corbasi,Analı Kızlı Çorbası,"Malatya ve Adana çevresinde sevilen analı kızlı, büyük içli köfteler ve küçük bulgur köfteleriyle doyurur.",CORBA,tr,İnce bulgur; Dana kıyma; Nohut; Domates salçası; Kuru nane,GLUTEN,misafir-sofrasi,"Köfteleri kaynayan suya değil, hafif titreşen suya bırakın; dağılma riski azalır.",Limon ve kuru nane ile servis edin.
ananasli-hindistan-cevizi-smoothie,Ananaslı Hindistan Cevizi Smoothie,"Ananaslı hindistan cevizi smoothie, tropik meyve tadını hafif sütlü doku ile bir araya getirip yazlık bir bardak üretir.",ICECEK,us,Ananas; Hindistan cevizi sütü; Lime suyu; Buz,,"alkolsuz,yaz-tarifi",Ananası küçük küp doğramak blenderın daha hızlı dönmesini sağlar.,Bardağın kenarına ananas parçası takarak servis edin.
ananasli-smoothie,Ananaslı Smoothie,"Ananas, muz ve limon suyuyla hazırlanan tropik smoothie.",ICECEK,tr,Ananas; Muz; Ananas suyu; Limon suyu; Buz,,"vegan,alkolsuz,pratik,vejetaryen",Donmuş ananas kullanırsanız ekstra buz eklemeden yoğun kıvam alır.,Soğuk bardakta servis edin.
antalya-hibes,Antalya Hibeş,"Antalya hibeşi, tahin, limon ve kimyonla hazırlanan yoğun kıvamlı, ekşi ve aromatik bir mezedir.",SOS,tr,Tahin; Limon suyu; Sarımsak; Kimyon; Tuz,SUSAM,"vegan,30-dakika-alti,vejetaryen",Tahin koyuysa suyu kaşık kaşık ekleyin; bir anda inceltmek dokuyu bozar.,"Kızarmış ekmek, haşlanmış sebze veya balık yanında servis edin."
antep-katikli-dolma,Antep Katıklı Dolma,Antep katıklı dolması kabakların bulgurlu kıymalı içle doldurulup sarımsaklı yoğurtla servis edilmesidir.,YEMEK,tr,Kabak; İnce bulgur; Dana kıyma; Yoğurt,"GLUTEN,SUT",misafir-sofrasi,,
antep-katmeri,Antep Katmeri,"Gaziantep sabahlarında ince hamur, kaymak ve fıstıkla tavada çıtır bir tatlıya dönüşür.",TATLI,tr,Un; Kaymak; Antep fıstığı; Şeker; Tereyağı,"GLUTEN,SUT,KUSUYEMIS","vejetaryen,misafir-sofrasi",Hamuru zar gibi açın; katmer tavada kısa sürede kabarır ve çıtır kalır.,
aperol-spritz,Aperol Spritz,"İtalyan aperitif klasiği. Aperol, prosecco ve soda ile ferahlatıcı kokteyl.",KOKTEYL,it,Aperol; Prosecco; Soda; Buz; Portakal dilimi,,"alkollu,30-dakika-alti,yaz-tarifi,pratik,vejetaryen,vegan",,Portakal dilimi ile süsleyin.
arabasi-corbasi-yozgat-usulu,Arabaşı Çorbası,"Arabaşı çorbası, acılı tavuk suyu ve ayrı hazırlanan hamuruyla İç Anadolu kış gecelerinin kalabalık sofra geleneğini taşır.",CORBA,tr,Tavuk but; Un; Domates salçası; Pul biber; Tuz; Un; Su,GLUTEN,"kis-tarifi,misafir-sofrasi",Hamuru tamamen soğutup küp kesin; ılık hamur kaşıkta dağılır.,Hamur küpleriyle birlikte çok sıcak servis edin.
arabasi-hamuru,Arabaşı Hamuru,"Yozgat arabaşı hamuru un ve suyla pişip soğutulur, acı tavuk çorbasının yanında kesilerek yenir.",YEMEK,tr,Un; Su; Tuz,GLUTEN,"butce-dostu,vejetaryen,vegan",,
arancini,Arancini,Pirinç harcının mozzarella ile doldurulup pane kaplamayla kızartıldığı Sicilya lokması.,APERATIF,it,Arborio pirinci; Sebze suyu; Parmesan peyniri; Mozzarella; Yumurta; Galeta unu; Sıvı yağ,"GLUTEN,SUT,YUMURTA","vejetaryen,misafir-sofrasi",Pirinç harcı soğuyunca top yapmak kolaylaşır ve kızartmada formunu korur.,Domates sosla sıcak servis edin.
arap-asi-corbasi,Arap Aşı Çorbası,"İç Anadolu'nun acılı tavuk çorbası, yanında kesilen hamuruyla kaşık kaşık yenir.",CORBA,me,Tavuk; Un; Domates salçası; Un; Su,GLUTEN,kis-tarifi,Hamuru tamamen soğuttuktan sonra kesin; sıcak hamur bıçağa yapışır.,Acı pul biberle sıcak servis edin.
arepa,Arepa,Mısır unu hamurunun tavada pişirildiği Kolombiya ve Venezuela ekmeği.,YEMEK,tr,Ön pişirilmiş mısır unu; Ilık su; Tuz; Zeytinyağı; Peynir,SUT,"vejetaryen,30-dakika-alti",Hamur ele yapışmayan yumuşak kıvamda olmalı; kuru kalırsa çatlar.,"Peynir, avokado veya fasulye ezmesiyle doldurun."
arequipe-flan,Arequipe Flan,Kolombiya arequipe flanı karamelli süt reçelini yumurtalı kremayla yumuşak bir tatlıya dönüştürür.,TATLI,tr,Süt reçeli; Süt; Yumurta; Şeker,"SUT,YUMURTA",vejetaryen,,
armutlu-zencefil-smoothie,Armutlu Zencefil Smoothie,"Armutlu zencefil smoothie, meyvenin yumuşak tadını hafif sıcaklık veren kök aromayla birleştiren serin bir içecektir.",ICECEK,tr,Armut; Taze zencefil; Limon suyu; Su,,"alkolsuz,dusuk-kalorili,vejetaryen,vegan",Zencefili az tutmak armudun ana tadını korur.,Bardağın kenarına armut dilimi takarak servis edin.
arnold-palmer,Arnold Palmer,"Arnold Palmer, şekersiz soğuk çay ve limonatayı yazlık, hafif tatlı bir içecekte birleştirir.",ICECEK,us,Demlenmiş siyah çay; Limon suyu; Şeker; Su,,"alkolsuz,yaz-tarifi,vejetaryen,vegan",Çayı 5 dakikadan uzun demlemeyin; fazla demlenen siyah çay burukluk verir.,Bol buz ve limon dilimleriyle sürahide servis edin.
arpa-sehriye-salatasi,Arpa Şehriye Salatası,"Kavrulmuş arpa şehriye, sebze ve limonlu sosla hazırlanan doyurucu salata.",SALATA,tr,Arpa şehriye; Salatalık; Kırmızı biber; Mısır; Maydanoz; Limon suyu,GLUTEN,"vegan,butce-dostu,vejetaryen",Şehriyeyi piştikten sonra soğuk sudan geçirin; taneler birbirine yapışmaz.,Piknik sofralarında soğuk servis edin.
arpa-sehriyeli-nohut-pilavi,Arpa Şehriyeli Nohut Pilavı,"Arpa şehriye ve nohutla kurulan bu pilav, sade bir ana yemeğin yanını kendi başına da doyuran hale getirir.",YEMEK,tr,Pirinç; Arpa şehriye; Haşlanmış nohut; Tereyağı,"GLUTEN,SUT","30-dakika-alti,butce-dostu,vejetaryen",Arpa şehriyeyi önce hafif renk aldırırsanız pilavın tadı daha derinleşir.,Yanında cacık veya turşuyla servis edin.
arpa-sehriyeli-pilav,Arpa Şehriyeli Pilav,Arpa şehriyenin tereyağında kavrulup pirinçle piştiği klasik pilav.,YEMEK,tr,Pirinç; Arpa şehriye; Tereyağı; Sıcak su; Tuz,"GLUTEN,SUT","vejetaryen,butce-dostu",Şehriyeyi açık kahverengi olana kadar kavurun; pilava fındıksı tat verir.,Et ve sebze yemekleri yanında servis edin.
arroz-carreteiro,Arroz Carreteiro,"Güney Brezilya'nın arroz carreteiro pilavı, kurutulmuş et ve pirinci tek tencerede buluşturur.",YEMEK,tr,Pirinç; Kurutulmuş dana eti; Soğan; Domates,,tek-tencere,,
arroz-con-leche-cubano,Arroz con Leche Cubano,"Küba arroz con leche, pirinç, süt ve tarçınla koyu kıvamlı sıcak ya da soğuk tatlı verir.",TATLI,cu,Pirinç; Süt; Şeker; Tarçın,SUT,vejetaryen,Pirinç sütü çekerken sık karıştırın; dibe tutan süt yanık koku verir.,Tarçın serperek soğuk veya ılık servis edin.
arroz-con-pollo-cubano,Arroz con Pollo Cubano,"Arroz con pollo cubano, tavuk ve pirinci safranlı domates tabanında birlikte pişiren renkli bir Küba pilavıdır.",YEMEK,cu,Tavuk but; Pirinç; Soğan; Kapya biber; Domates püresi; Bezelye; Sarımsak; Safran,,"tek-tencere,misafir-sofrasi",Tavuğu önce renk almak için mühürlemek pirince daha derin tat bırakır.,Üzerine bezelye serpiştirerek sıcak servis edin.
arroz-congri,Arroz Congri,"Küba siyah fasulyeli pilavı pirinç, fasulye suyu ve kimyonla tek tencerede pişer.",YEMEK,cu,Pirinç; Siyah fasulye; Soğan; Kimyon,,"vegan,tek-tencere,vejetaryen",,
artsoppa,Ärtsoppa,"Ärtsoppa, sarı bezelye ve tütsülü etle pişen koyu kıvamlı geleneksel İsveç çorbasıdır.",CORBA,se,Sarı bezelye; Tütsülü dana eti; Soğan; Hardal,HARDAL,kis-tarifi,Bezelyeyi bir gece ıslatın; kabuklar daha kısa sürede yumuşar.,Hardal ve çavdar ekmeğiyle sıcak servis edin.
asure,Aşure,"Buğday, baklagiller, kuru meyveler ve yemişlerle yapılan geleneksel bereket tatlısı.",TATLI,tr,Aşurelik buğday; Nohut; Kuru fasulye; Şeker; Kuru kayısı; Kuru üzüm; İncir; Ceviz içi,"GLUTEN,KUSUYEMIS","vegan,misafir-sofrasi,kis-tarifi,vejetaryen","Buğday, nohut ve fasulyeyi ayrı haşlayın; her malzeme kendi süresinde yumuşar ve tatlı bulanıklaşmaz.","Nar, tarçın ve cevizle kaselerde servis edin."
atom-sos,Atom Sos,"Yoğurt, mayonez ve sarımsaklı acı sos. Döner ve kebapların vazgeçilmezi.",SOS,tr,Yoğurt; Mayonez; Sarımsak; Pul biber; Hardal; Tuz,"SUT,YUMURTA,HARDAL","30-dakika-alti,pratik,vejetaryen",,
avgolemono-corbasi,Avgolemono Çorbası,"Yunan mutfağında tavuk suyu, pirinç, yumurta ve limonla kadifemsi kıvam alan ferah çorba.",CORBA,gr,Tavuk suyu; Pirinç; Yumurta; Limon suyu; Haşlanmış tavuk,YUMURTA,kis-tarifi,Yumurtayı sıcak çorbayla ılıştırarak ekleyin; doğrudan tencereye girerse kesilir.,Karabiber ve limon kabuğu rendesiyle servis edin.
aviation,Aviation,New York kokteyl tarihinden mor menekşe dokunuşlu cin klasiği.,KOKTEYL,tr,Cin; Maraschino likörü; Limon suyu; Menekşe likörü; Buz,,"alkollu,30-dakika-alti,vejetaryen,vegan",Menekşe likörünü ölçülü tutun; içki sabunsu aromaya kaymaz.,Soğuk coupe kadehte kirazla servis edin.
avokadolu-ispanak-smoothie,Avokadolu Ispanak Smoothie,"Avokado, ıspanak ve muz birlikte çekildiğinde kremamsı yapıda ama hafif içimli bir yeşil smoothie olur.",ICECEK,us,Avokado; Ispanak; Muz; Badem sütü,KUSUYEMIS,"alkolsuz,30-dakika-alti,vejetaryen,vegan",Avokadoyu fazla büyük bırakmayın; blendera ilk o girerse daha hızlı çözülür.,Soğuk bardakta birkaç chia tanesiyle servis edin.
avokadolu-kakao-smoothie,Avokadolu Kakao Smoothie,"Avokadonun kremamsı dokusu kakao ve muzla tatlı, tok tutan bir smoothieye dönüşür.",ICECEK,tr,Avokado; Muz; Kakao; Yulaf içeceği; Akçaağaç şurubu,GLUTEN,"vegan,30-dakika-alti,vejetaryen",Avokado olgun olmalı; sert avokado pütür bırakır.,Kakao nibs ile servis edin.
avokadolu-ton-balikli-salata-kasesi,Avokadolu Ton Balıklı Salata Kasesi,"Avokadolu ton balıklı salata kasesi, yüksek protein ve hızlı hazırlık hedefini tek tabakta birleştiren güncel bir öğündür.",SALATA,us,Ton balığı; Avokado; Marul; Limon suyu,DENIZ_URUNLERI,"yuksek-protein,dusuk-kalorili,30-dakika-alti",Avokadoyu servis anına yakın kesmek rengini canlı tutar.,Üzerine limon suyu gezdirerek serin servis edin.
avokadolu-tost,Avokadolu Tost,"Ezilmiş avokado, yumurta ve tam buğday ekmeğiyle hazırlanan doyurucu modern kahvaltı.",KAHVALTI,tr,Tam buğday ekmeği; Avokado; Yumurta; Limon suyu; Zeytinyağı; Tuz; Pul biber,"GLUTEN,YUMURTA","30-dakika-alti,vejetaryen,yuksek-protein",Avokadoyu limon suyuyla ezerseniz rengi daha uzun süre canlı kalır.,Üzerine pul biber ve çörek otu serpin.
ayran,Ayran,"Yoğurt, su ve tuzdan yapılan ferahlatıcı Türk içeceği.",ICECEK,tr,Yoğurt; Su; Tuz,SUT,"pratik,30-dakika-alti,vejetaryen",,
ayran-asi-corbasi,Ayran Aşı Çorbası,"Yoğurt, buğday ve nohutla hazırlanan ferah soğuk Anadolu çorbası.",CORBA,tr,Yoğurt; Su; Haşlanmış buğday; Haşlanmış nohut; Nane; Zeytinyağı,"GLUTEN,SUT","vejetaryen,yaz-tarifi",Buğday ve nohudu tamamen soğutmadan yoğurda eklemeyin; yoğurt sulanır.,Nane ve zeytinyağıyla soğuk servis edin.
ayva-tatlisi,Ayva Tatlısı,"Kış sofralarının ayvası, karanfil ve şekerle ağır ağır pişip cevizli kaymakla servis edilir.",TATLI,tr,Ayva; Şeker; Karanfil; Kaymak; Ceviz,"SUT,KUSUYEMIS","kis-tarifi,vejetaryen",Ayva çekirdeklerini tencereye ekleyin; tatlıya doğal pembe renk verir.,Kaymak ve cevizle servis edin.
babagannus,Babagannuş,"Köz patlıcan, tahin, sarımsak ve limonla hazırlanan yoğun kıvamlı meze.",APERATIF,tr,Patlıcan; Tahin; Limon suyu; Sarımsak; Zeytinyağı,SUSAM,"vegan,misafir-sofrasi,vejetaryen",Patlıcanları közledikten sonra süzgeçte 10 dakika bekletin; fazla suyu akar.,Zeytinyağı ve pul biberle servis edin.
babgulyas,Babgulyas,"Macar babgulyas, fasulye ve dana etini kırmızı biberli derin bir tencerede buluşturan kır havası taşıyan bir yemektir.",YEMEK,hu,Dana kuşbaşı; Haşlanmış kuru fasulye; Patates; Tatlı paprika,,"tek-tencere,kis-tarifi","Tatlı paprika yemeğe en başta değil, et suyunu eklemeden hemen önce girmeli; aksi halde yanabilir.",Ekşi krema ve maydanozla servis edin.
baghrir,Baghrir,"Baghrir, yüzeyi delikli kalan irmikli Fas krepidir ve sıcak servis edildiğinde sosu hızla içine çeker.",KAHVALTI,ma,İrmik; Un; Kuru maya; Su; Bal,GLUTEN,vejetaryen,Hamuru tek yüz pişirmek baghririn delikli dokusunu korur.,Üzerine bal gezdirerek sıcak servis edin.
baharatli-misir-bardak,Baharatlı Mısır Bardak,"Tereyağlı sıcak mısır, lime ve baharatla karışınca sokak bardağında hızlı ve canlı bir atıştırmalık olur.",ATISTIRMALIK,mx,Mısır tanesi; Tereyağı; Lime suyu; Toz kırmızı biber,SUT,"30-dakika-alti,cocuk-dostu,vejetaryen",Mısırı uzun kaynatmayın; diri taneler bardakta daha iyi doku verir.,Üzerine lime sıkıp pul biberle servis edin.
baharatli-nohut-cipsi,Baharatlı Fırında Nohut Cipsi,"Baharatlı nohudun fırında çıtırlaşmış hali, film akşamlarına daha tok ve gevrek bir tabak taşır.",ATISTIRMALIK,tr,Haşlanmış nohut; Zeytinyağı; Toz kırmızı biber; Kimyon,,"vegan,butce-dostu,vejetaryen",Haşlanmış nohudu kâğıt havluyla kurulamak çıtırlığı belirgin biçimde artırır.,Ilık ya da oda sıcaklığında kâğıt külahlarda servis edin.
baharatli-patlamis-misir,Baharatlı Patlamış Mısır,"Ev sinema gecesine füme paprika, sarımsak ve limon kabuğuyla daha canlı bir patlamış mısır.",ATISTIRMALIK,tr,Mısır tanesi; Ayçiçek yağı; Füme paprika; Sarımsak tozu; Limon kabuğu,,"vegan,30-dakika-alti,vejetaryen",Baharatı mısır sıcakken ekleyin; yağla birlikte yüzeye tutunur.,Kaseye alıp bekletmeden servis edin.
baharatli-trail-mix,Baharatlı Trail Mix,"Yol atıştırmalığına kimyon, füme paprika ve kuru meyveyle tuzlu-tatlı bir denge gelir.",ATISTIRMALIK,tr,Badem; Yer fıstığı; Kabak çekirdeği; Kuru üzüm; Füme paprika,"KUSUYEMIS,YER_FISTIGI","vegan,30-dakika-alti,vejetaryen",Kuru meyveyi fırından sonra ekleyin; sertleşmeden yumuşak kalır.,Kavanozda saklayıp ara öğün olarak servis edin.
baklava,Baklava,Türk tatlı kültürünün simgesi. İnce yufkalar arasında ceviz veya fıstık ile hazırlanır.,TATLI,tr,Baklava yufkası; Ceviz içi; Tereyağı; Şeker; Su; Limon suyu,"GLUTEN,SUT,KUSUYEMIS","misafir-sofrasi,firinda,vejetaryen",Baklava fırından yeni çıkmışsa üzerine soğuk şerbet dök. Baklava soğumuşsa sıcak şerbet kullan. İkisi birden sıcak olursa şerbet emmez.,
balik-corbasi,Balık Çorbası,"Beyaz balık, sebze ve limon terbiyesiyle hazırlanan besleyici çorba.",CORBA,tr,Beyaz balık fileto; Havuç; Patates; Soğan; Yumurta sarısı; Limon suyu,"DENIZ_URUNLERI,YUMURTA","yuksek-protein,kis-tarifi",Balığı haşladıktan sonra kılçık kontrolü yapın; çorba pürüzsüz yenir.,Limon ve kıyılmış dereotuyla servis edin.
balila,Balila,"Mısır usulü sıcak nohut kahvaltısı balila, kimyon ve limonla birkaç basit malzemenin kuvvetli birleşimidir.",YEMEK,me,Haşlanmış nohut; Sarımsak; Limon suyu; Kimyon,,"butce-dostu,vegan,vejetaryen",Nohudu ezmeden karıştırın; birkaç tane hafif çatladığında suyu kıvam alır.,Üzerine kimyon ve pul biber serpip sıcak servis edin.
balkabagi-corbasi,Balkabağı Çorbası,"Balkabağı, havuç ve zencefille hazırlanan yumuşak içimli kış çorbası.",CORBA,tr,Balkabağı; Havuç; Soğan; Zencefil; Zeytinyağı; Sebze suyu; Tuz,,"vegan,kis-tarifi,dusuk-kalorili,vejetaryen",Zencefili az ölçüyle kullanın; çorbanın tatlı aromasını bastırmaz.,Kavrulmuş kabak çekirdeğiyle servis edin.
balli-hardalli-tavuk,Ballı Hardallı Tavuk,"Bal, hardal ve limonla marine edilen tavuk filetoların tavada piştiği tatlı-ekşi yemek.",YEMEK,tr,Tavuk fileto; Bal; Hardal; Limon suyu; Zeytinyağı; Sarımsak; Tuz,HARDAL,yuksek-protein,Balı yüksek ateşte yakmayın; tavuk mühürlendikten sonra sosu eklemek parlak kaplama verir.,Fırın sebze veya kuskusla servis edin.
balli-syrniki,Ballı Syrniki,"Lor peynirli küçük pankekler, dışı kızarık içi yumuşak kalınca Rus kahvaltısının en sıcak köşesine yerleşir.",KAHVALTI,ru,Lor peyniri; Yumurta; Un; Şeker,"GLUTEN,SUT,YUMURTA","cocuk-dostu,30-dakika-alti,vejetaryen",Lor çok suluysa bir tülbentte bekletin; harç tavada yayılmaz.,Yanına reçel ve ekşi krema koyarak servis edin.
banh-cuon,Banh Cuon,Vietnam buharlı pirinç ruloları kıymalı mantar içle ince ve yumuşak bir kahvaltı tabağı olur.,KAHVALTI,tr,Pirinç unu; Tapyoka nişastası; Dana kıyma; Kültür mantarı,,misafir-sofrasi,,
banh-flan-vietnam,Banh Flan Vietnam,"Vietnam usulü karamelli flan, kahve aromasıyla sütlü tatlıya hafif acı bir denge katar.",TATLI,tr,Yumurta; Süt; Şeker; Koyu kahve,"SUT,YUMURTA",vejetaryen,,
