slug,title,category,type,cuisine,viewCount,ingredients_tr,steps_tr,tipNote_current,servingSuggestion_current
madimak-yemegi,Madımak Yemeği,sebze-yemekleri,YEMEK,tr,0,Madımak 700 gr | Bulgur 0.5 su bardağı | Soğan 1 adet | Domates salçası 1 yemek kaşığı,"1. Soğanı zeytinyağında 5 dakika kavurun. || 2. Madımak, bulgur ve salçayı ekleyin. || 3. Üzerini geçecek suyla 30 dakika pişirin.","Pirinci pişmeden önce ılık tuzlu suda 20 dakika bekletmek taneleri ayrıştırır, pilav dağılmaz.","Yanına cacık ve közlenmiş biber, üstüne tereyağında kavrulmuş fıstıkla tabakta verin."
madimakli-bulgur-pilavi-sivas-usulu,Sivas Madımaklı Bulgur Pilavı,makarna-pilav,YEMEK,tr,0,Madımak otu 300 gr | Pilavlık bulgur 1.5 su bardağı | Kuru soğan 1 adet | Zeytinyağı 2 yemek kaşığı | Tuz 1 çay kaşığı,1. Soğanı yağda 4 dakika çevirin. || 2. Madımağı ekleyip 5 dakika soteleyin. || 3. Bulgur ve 2.5 su bardağı sıcak su ekleyip pilavı 15 dakika pişirin.,Madımağı bulgura göre iri (1-2 cm) bırakmak pilavda kaybolmadan seçilmesini sağlar.,Yanına ayransız ya da tek başına sıcak servis edin.
madimakli-yumurta-sivas-usulu,Sivas Madımaklı Yumurta,kahvaltiliklar,KAHVALTI,tr,0,Madımak otu 250 gr | Yumurta 3 adet | Tereyağı 20 gr | Tuz 0.5 çay kaşığı | Tandır ekmeği 3 dilim,1. Madımağı ayıklayıp iri doğrayın. || 2. Tereyağında madımağı 4 dakika çevirin. || 3. Yumurtaları kırıp 4 dakika daha pişirin.,Madımağı fazla çevirmemek taze tadı korur.,Yanına tandır ekmeği koyarak sıcak servis edin.
maduros,Maduros,atistirmaliklar,ATISTIRMALIK,cu,0,Olgun plantain 4 adet | Sıvı yağ 300 ml | Tuz 1 çay kaşığı,1. Plantainleri çapraz dilimleyin. || 2. Dilimleri kızgın yağda 8-10 dakika kızartın. || 3. Kağıt havluya alıp tuz serpin.,Pişmeye başlamadan önce tüm malzemeleri doğrayıp tezgahta dizmek tat dengesini bozmadan akışı korur.,Servis tabağının kenarına limon dilimi ve maydanoz dalları yerleştirerek renk ekleyin.
mafis-antalya-usulu,Antalya Mafişi,tatlilar,TATLI,tr,0,Un 2.5 su bardağı | Yumurta 1 adet | Yoğurt 0.5 su bardağı | Toz şeker 1 su bardağı | Su 1 su bardağı,1. Hamuru yoğurup kısa dinlendirin. || 2. Şeker ve suyu 5 dakika kaynatıp ılık şerbet hazırlayın. || 3. Hamuru kızartıp şerbete kısaca alarak servis edin.,Şerbeti 5 dakika kaynatıp ılık tutmak kızaran hamurun dışını yumuşatmadan tatlandırır.,Üzerine tarçın serpip ılık servis edin.
mafis-tatlisi-balikesir-usulu,Balıkesir Mafiş Tatlısı,tatlilar,TATLI,tr,0,Un 3 su bardağı | Yumurta 1 adet | Yoğurt 0.5 su bardağı | Toz şeker 1.5 su bardağı | Su 1.5 su bardağı,"1. Şeker ve suyu 10 dakika kaynatıp şerbeti ılımaya bırakın. || 2. Un, yumurta ve yoğurtla hamur yoğurup küçük parçalar kesin. || 3. Hamurları kızartıp ılık şerbete alarak tatlıyı dinlendirin.",Kızaran parçaları ılık şerbete almak hamurun dışını diri tutarken içini çekmesini sağlar.,Üzerine toz Antep fıstığı serperek servis edin.
magrip-nane-cayi,Mağrip Nane Çayı,kahve-sicak-icecekler,ICECEK,ma,0,Yeşil çay 2 tatlı kaşığı | Taze nane 0.5 demet | Şeker 4 yemek kaşığı | Su 1 litre,1. Suyu kaynatıp yeşil çayı 2 dakika demleyin. || 2. Şeker ve naneyi ekleyip 3 dakika daha bekletin. || 3. Çayı süzüp bardaklara yüksekten dökerek servis edin.,Naneyi en sonda ekleyin; uzun kaynarsa çayın rengi kalsa da ferahlığı azalır.,Küçük cam bardaklarda sıcak servis edin.
magrip-saksukasi,Mağrip Şakşukası,kahvaltiliklar,KAHVALTI,ma,0,Yumurta 4 adet | Domates 5 adet | Kırmızı biber 2 adet | Kimyon 1 çay kaşığı | Ekmek 1 adet,"1. Domates, biber ve kimyonu tavada 12 dakika pişirin. || 2. Sosta yuvalar açıp yumurtaları kırın. || 3. Kapak kapatıp 6 dakika pişirin.",Yumurtaları eklemeden önce sosu 12 dakika koyulaştırın; beyazlar sulu kalmaz.,Kızarmış ekmekle tavadan servis edin.
mahlepli-yesil-mercimek-corbasi-tokat-bag-usulu,Tokat Mahlepli Yeşil Mercimek Çorbası,corbalar,CORBA,tr,0,Yeşil mercimek 1 su bardağı | Soğan 1 adet | Mahlep 0.25 çay kaşığı | Su 5 su bardağı | Tereyağı 15 gr,1. Soğanı tereyağında 4 dakika çevirin. || 2. Mercimek ve suyu ekleyip çorbayı 25 dakika pişirin. || 3. Mahlep ekleyip servis edin.,Mahlebi ölçülü kullanmak baskın tat oluşmasını önler.,Yanına çıtır bruşetta ve sarımsaklı yoğurt sosu koyup kışlık tabak kurgulayın.
mahluta-corbasi-hatay-usulu,Mahluta Çorbası,corbalar,CORBA,tr,0,Kırmızı mercimek 1 su bardağı | Pirinç 0.25 su bardağı | Soğan 2 adet | Kimyon 1 tatlı kaşığı | Zeytinyağı 2 yemek kaşığı | Limon suyu 2 yemek kaşığı | Tuz 1 çay kaşığı,1. Mercimek ve pirinci tuzla birlikte 25 dakika yumuşayana kadar pişirin. || 2. Soğanı zeytinyağında renk alana kadar çevirip kimyonu ekleyin. || 3. Çorbayı pürüzsüz hale getirip kavrulmuş soğan ve limon suyuyla servis edin.,Mercimeği blenderdan geçirmeden önce birkaç dakika dinlendirmek kıvamı daha dengeli bırakır.,Üzerine limon suyu damlatarak sıcak servis edin.
mai-tai,Mai Tai,kokteyller,KOKTEYL,us,0,Rom 60 ml | Lime suyu 25 ml | Portakal likörü 15 ml | Badem şurubu 15 ml | Buz 1 su bardağı,1. Tüm sıvı malzemeleri shaker'a alın. || 2. Buzla 12 saniye çalkalayın. || 3. Kırık buz dolu bardağa süzün.,Badem şurubunu ölçülü kullanın; lime asidinin önüne geçmemeli.,Kırık buz ve nane dalıyla servis edin.
makowiec-polonya-usulu,Makowiec,tatlilar,TATLI,pl,0,Un 3.5 su bardağı | Süt 1 su bardağı | Yumurta 2 adet | Haşhaş ezmesi 250 gr | Toz şeker 100 gr,1. Hamuru yoğurup 30 dakika mayalandırın. || 2. Haşhaşlı içi sürüp rulo yapın. || 3. Makowieci 185°C fırında 35 dakika pişirin.,Haşhaşlı içi soğuk kullanmak rulonun pişerken hamuru yırtmasını azaltır.,Dilimleyip çay ya da kahve yanında servis edin.
makroudh,Makroudh,tatlilar,TATLI,ma,0,İrmik 400 gr | Tereyağı 120 gr | Hurma ezmesi 250 gr | Bal 200 gr | Susam 2 yemek kaşığı,1. İrmik ve tereyağıyla hamur hazırlayın. || 2. Hurma ezmesini hamurun içine yerleştirip dilimleyin. || 3. Dilimleri kızartıp ballı şerbete alın.,Uzun pişimde ara ara karıştırmak tabanın tutmasını ve karamel tabakanın yanmasını engeller.,"Altına bir kaşık vişne reçeli, yanına soğuk süt bardağı koyarak çocuklu sofralara hazırlayın."
malatya-kayisi-dolmasi,Malatya Kayısı Dolması,tatlilar,TATLI,tr,0,Gün kurusu kayısı 400 gr | Ceviz 150 gr | Tereyağı 60 gr | Şeker 120 gr | Kaymak 150 gr,"1. Kayısıları sıcak suda 10 dakika bekletin. || 2. Cevizle doldurup tencereye dizin. || 3. Tereyağı, şeker ve 200 ml suyla 15 dakika pişirin.",Kayısıları sıcak suda 10 dakika bekletin; doldururken yırtılmaz.,Kaymakla servis edin.
malinowy-kompot-polonya-usulu,Polonya Malinowy Kompot,icecekler,ICECEK,pl,0,Ahududu 250 gr | Su 1.5 lt | Toz şeker 0.5 su bardağı | Limon suyu 1 yemek kaşığı,1. Su ve şekeri kaynatın. || 2. Ahududuyu ekleyip 8 dakika pişirin. || 3. Limon suyunu ekleyip soğutarak servis edin.,Ahududuyu fazla ezmemek kompotun berrak kalmasına yardım eder.,"Şeffaf sürahide sunmak içeceğin rengini öne çıkarır, bardakları yanına ayrı dizin."
mamzana-tekirdag-usulu,Tekirdağ Mamzanası,salatalar,SALATA,tr,0,Patlıcan 2 adet | Kapya biber 2 adet | Sarımsak 2 diş | Sirke 1 yemek kaşığı | Zeytinyağı 2 yemek kaşığı,"1. Patlıcan ve biberleri közleyip kabuklarını soyun. || 2. Sebzeleri iri iri doğrayıp sarımsak, sirke ve zeytinyağı ile karıştırın. || 3. Mamzanayı dinlendirip soğuk servis edin.",Patlıcanı çok ezmeden iri bırakmak mamzananın kaşıkta daha diri görünmesini sağlar.,Tabakta kümeler halinde dizip üzerine iri dilimlenmiş zeytin ve beyaz peynir ekleyerek sunun.
manakish,Manakish,hamur-isleri,YEMEK,me,0,Un 3 su bardağı | Kuru maya 1 tatlı kaşığı | Zahter 4 yemek kaşığı | Susam 1 yemek kaşığı | Zeytinyağı 0.5 su bardağı,"1. Un, maya ve suyla hamur yoğurun. || 2. Hamuru 40 dakika mayalandırın. || 3. Zahter, susam ve zeytinyağını karıştırın. || 4. Hamura sürüp 220°C fırında 12-15 dakika pişirin.",Zahteri zeytinyağıyla sürülebilir kıvama getirin; kuru serperseniz fırında dökülür.,"Domates, salatalık ve labneyle servis edin."
mancar-diblesi-zonguldak-usulu,Zonguldak Mancar Diblesi,sebze-yemekleri,YEMEK,tr,0,Pancar yaprağı 500 gr | Pirinç 0.75 su bardağı | Kuru soğan 1 adet | Zeytinyağı 3 yemek kaşığı | Tuz 1 çay kaşığı,1. Soğanı zeytinyağında 4 dakika çevirin. || 2. Doğranmış yaprakları ekleyip 4 dakika soteleyin. || 3. Pirinç ve 1.5 su bardağı sıcak su ekleyip yemeği 20 dakika pişirin.,Yaprakları çok ince değil şerit doğramak pirinçle pişerken canlı görünmesini sağlar.,Yanına sade yoğurt olmadan ya da tek başına sıcak servis edin.
mandalinali-adacayi-fizz-bodrum-usulu,Bodrum Mandalinalı Adaçayı Fizz,kokteyller,KOKTEYL,tr,0,Cin 90 ml | Mandalina suyu 120 ml | Adaçayı 4 yaprak | Toz şeker 2 yemek kaşığı | Soda 120 ml,"1. Adaçayı ve şekeri 5 dakika kaynatıp şurup hazırlayın. || 2. Buz dolu çalkalayıcıda cin, mandalina suyu ve şurubu karıştırın. || 3. Bardaklara süzüp soda ekleyerek servis edin.",Adaçayı şurubunu tamamen soğutmak kokteylin bardağı sulandırmadan canlı kalmasına yardım eder.,Bol buz ve mandalina kabuğuyla soğuk servis edin.
mandalinali-kefir-smoothie-didim-usulu,Didim Mandalinalı Kefir Smoothie,smoothie-shake,ICECEK,tr,0,Kefir 2 su bardağı | Mandalina 3 adet | Bal 1 tatlı kaşığı | Buz 1 su bardağı,1. Mandalinaları temizleyin. || 2. Tüm malzemeyi blenderda çekin. || 3. Smoothieyi hemen servis edin.,Mandalinanın beyaz zarını iyi ayıklamak içeceğin acılaşmasını önler.,Soğuk içecek için 1 saat önceden bardakları buzdolabında bekletin; sıcak camda aroma zayıflar.
mandalinali-reyhan-serbeti-aydin-usulu,Mandalinalı Reyhan Şerbeti,icecekler,ICECEK,tr,0,Mandalina suyu 2 su bardağı | Su 2 su bardağı | Reyhan 0.25 demet | Buz 1 su bardağı,1. Mandalina suyunu süzün. || 2. Su ve reyhanla karıştırın. || 3. Buzla servis edin.,Reyhanı avuç içinde hafif ezmek aromanın içeceğe daha hızlı geçmesini sağlar.,Soğuk servis edin.
mandalinali-soguk-icecek-alanya-usulu,Mandalinalı Soğuk İçecek,icecekler,ICECEK,tr,0,Mandalina suyu 1 su bardağı | Soda 1 su bardağı | Nane 0.25 demet | Buz 1 su bardağı,1. Bardağı buzla doldurun. || 2. Mandalina suyunu ekleyin. || 3. Sodayla tamamlayın.,Mandalina suyunu taze sıkmak bardakta daha parlak bir tat bırakır.,Soğuk servis edin.
mandu,Mandu,hamur-isleri,YEMEK,kr,0,Mantı hamuru yaprağı 30 adet | Dana kıyma 350 gr | Lahana 200 gr | Soya sosu 2 yemek kaşığı | Susam yağı 1 yemek kaşığı,"1. Kıyma, lahana, soya sosu ve susam yağını karıştırın. || 2. Hamur yapraklarına iç koyup kapatın. || 3. Manduları buharda 10-12 dakika pişirin.",Hamuru mutfak beziyle örtüp oda sıcaklığında bekletirseniz daha kolay açılır.,"Porselen tabakta, üzerine ince rende kaşar ve bir damla zeytinyağıyla tamamlayın."
mango-chutney,Mango Chutney,soslar-dippler,SOS,in,0,Mango 3 adet | Elma sirkesi 120 ml | Şeker 120 gr | Zencefil 20 gr,"1. Mangoları küçük küp doğrayın. || 2. Mango, sirke, şeker ve zencefili tencereye alın. || 3. Kısık ateşte 35 dakika pişirin.",Mangoyu küçük küp doğrayın; iri parçalar sos koyulaşmadan diri kalır.,"Köri, pakora veya peynir tabağı yanında kaşıkla servis edin."
mango-korisi,Mango Körisi,sebze-yemekleri,YEMEK,th,0,Mango 2 adet | Kokos içeceği 400 ml | Vegan köri ezmesi 2 yemek kaşığı | Nohut 240 gr | Ispanak 150 gr,"1. Köri ezmesini yağda 2 dakika kavurun. || 2. Kokos içeceği, mango püresi ve nohudu ekleyip 12 dakika pişirin. || 3. Mango küpleri ve ıspanağı ekleyip 3 dakika daha pişirin.","Mangonun yarısını püre yapın, yarısını küp bırakın; sos hem gövdeli hem parçalı olur.",Jasmin pirinç pilavı ile servis edin.
mango-lassi,Mango Lassi,smoothie-shake,ICECEK,in,0,Mango 2 adet | Yoğurt 300 gr | Süt 150 ml | Bal 1 yemek kaşığı | Kakule 1 tutam,"1. Mango etini çıkarıp blendera alın. || 2. Yoğurt, süt, bal ve kakuleyi ekleyip 45 saniye karıştırın. || 3. Soğuk servis edin.",Olgun mango kullanın; ek şeker ihtiyacı azalır.,Üzerine kakule serpin.
mango-lassi-chia-hint-usulu,Mango Lassi Chia,icecekler,ICECEK,in,0,Mango püresi 1.5 su bardağı | Yoğurt 1 su bardağı | Süt 0.5 su bardağı | Chia tohumu 1 yemek kaşığı | Bal 1 yemek kaşığı,1. Malzemeleri blendera alın. || 2. Karışımı pürüzsüz çekin. || 3. 5 dakika dinlendirip servis edin.,Chia'yı kısa dinlendirmek içeceğe hafif bir gövde kazandırır.,"Tahta tepsiye buzlu bardağı, yanına limon dilimleri ve taze nane sapıyla sunum kurun."
mango-lassi-shake,Mango Lassi Shake,smoothie-shake,ICECEK,in,0,Mango 2 adet | Yoğurt 250 gr | Süt 120 ml | Kakule 1 çimdik,"1. Mangoyu küp doğrayıp blendera alın. || 2. Yoğurt, süt ve kakuleyi ekleyin. || 3. Karışımı pürüzsüz olana kadar çekin.",Mango çok lifliyse karışımı süzmek içimi daha ipeksi yapar.,Üzerine az kakule serperek soğuk servis edin.
mango-lime-soda-vietnam-usulu,Vietnam Mango Lime Soda,icecekler,ICECEK,vn,0,Mango püresi 0.5 su bardağı | Lime suyu 1 yemek kaşığı | Soda 120 ml | Buz 1 su bardağı,1. Mango püresi ve lime suyunu karıştırın. || 2. Buzu ekleyin. || 3. Soda ile tamamlayıp servis edin.,Mango püresini ince süzmek içeceğin daha parlak görünmesini sağlar.,"Bardağın ağzını tuz veya şekerle kaplayıp (rim) süsleyin, içine dik bir kamış koyun."
mango-zerdecal-smoothie,Mango Zerdeçal Smoothie,smoothie-shake,ICECEK,us,0,Mango 250 gr | Portakal suyu 250 ml | Zerdeçal 0.25 çay kaşığı | Limon suyu 1 tatlı kaşığı,"1. Mango parçalarını blender kabına alın. || 2. Portakal suyu, zerdeçal ve limon suyunu ekleyin. || 3. Karışımı 35 saniye çekip soğuk servis edin.",Zerdeçalı az tutmak mango aromasını öne çıkarır.,Üzerine küçük mango küpleri serperek servis edin.
mangolu-pirinc-kremasi-kup-tayland-usulu,Mangolu Pirinç Kreması Kup,tatlilar,TATLI,th,0,Haşlanmış pirinç 1 su bardağı | Mango 2 adet | Hindistancevizi sütü 1 su bardağı | Şeker 2 yemek kaşığı,1. Pirinç kremasını 8 dakika pişirin. || 2. Mangoyu küp doğrayın. || 3. Kup içinde katmanlayın.,Mangoyu küçük küp kesmek kup içinde her kaşıkta meyve hissi bırakır.,Soğuk servis edin.
mangolu-tapyoka-kup-vietnam-usulu,Mangolu Tapyoka Kup,tatlilar,TATLI,vn,0,Tapyoka incisi 0.5 su bardağı | Mango 2 adet | Hindistancevizi sütü 1 su bardağı | Şeker 2 yemek kaşığı,1. Tapyokayı 12 dakika pişirin. || 2. Mangoyu küp doğrayın. || 3. Kup içinde hindistancevizi sütüyle birleştirin.,Tapyokayı şeffaflaşana kadar pişirmek kup içinde diri ama yumuşak bir doku verir.,Soğuk servis edin.
mansaf,Mansaf,et-yemekleri,YEMEK,me,0,Kuzu eti 900 gr | Süzme yoğurt 500 gr | Pirinç 2 su bardağı | Badem 80 gr | Kakule 4 adet | Tuz 1.5 çay kaşığı,"1. Kuzu etini kakule ve tuzla 90 dakika haşlayın. || 2. Yoğurdu et suyuyla açıp 20 dakika çırparak pişirin. || 3. Pilavın üzerine eti koyun, yoğurt sosu ve bademle servis edin.",Yoğurt sosunu kaynatırken sürekli çırpın; kesilmeden parlak kalır.,Badem ve maydanozla geniş servis tepsisinde sunun.
mantar-dolmasi,Mantar Dolması,aperatifler,APERATIF,tr,0,Büyük mantar 12 adet | Kaşar peyniri 1 su bardağı | Tereyağı 2 yemek kaşığı | Maydanoz 0.25 demet | Sarımsak 1 diş | Karabiber 0.5 çay kaşığı,"1. Mantar saplarını çıkarıp şapkaları fırın kabına dizin. || 2. Rendelenmiş peynir, tereyağı, maydanoz, sarımsak ve karabiberi karıştırın. || 3. Harcı mantarlara paylaştırın ve 190°C fırında 18-20 dakika pişirin.",Mantarları yıkadıktan sonra kurulayın; fazla su fırında harcı sulandırır.,Sıcakken limon dilimiyle servis edin.
mantar-pate,Mantar Pate,soslar-dippler,SOS,se,0,Kestane mantarı 400 gr | Tereyağı 40 gr | Krema 60 ml | Soğan 1 adet,1. Soğan ve mantarı yüksek ateşte soteleyin. || 2. Krema ekleyip 2 dakika çevirin. || 3. Karışımı ılıtıp püre haline getirin.,Mantarı yüksek ateşte soteleyin; suyunu bırakıp haşlanırsa pate gevşek kalır.,Çavdar kraker ve taze kekikle servis edin.
mantar-sote,Mantar Sote,sebze-yemekleri,YEMEK,tr,0,Mantar 600 gr | Soğan 1 adet | Yeşil biber 2 adet | Domates 2 adet | Zeytinyağı 3 yemek kaşığı | Karabiber 0.5 çay kaşığı,1. Mantarları iri doğrayıp kuru bezle temizleyin. || 2. Soğan ve biberleri 4 dakika soteleyin. || 3. Mantar ve domatesi ekleyip 10-12 dakika pişirin.,Mantarları tavaya geniş yayın; kalabalık tavada suyunu bırakır.,Pilav yanında sıcak servis edin.
mantarli-arpa-corbasi-rus-usulu,Mantarlı Arpa Çorbası,corbalar,CORBA,ru,0,Arpa 0.75 su bardağı | Mantar 250 gr | Soğan 1 adet | Su 5 su bardağı,1. Soğanı ve mantarı çevirin. || 2. Arpa ve suyu ekleyin. || 3. Çorbayı 18 dakika pişirin.,Arpayı önceden 20 dakika suda bekletmek tencerede daha eşit pişme sağlar.,Üzerine rendelenmiş eski kaşar ve ince doğranmış taze nane yerleştirerek sunum kurun.
mantarli-arpa-pilavi-isvec-usulu,İsveç Mantarlı Arpa Pilavı,makarna-pilav,YEMEK,se,0,Arpa 1 su bardağı | Mantar 250 gr | Dereotu 0.25 demet | Su 2.5 su bardağı | Zeytinyağı 1 yemek kaşığı,1. Arpayı 2 dakika yağda çevirin. || 2. Mantar ve suyu ekleyin. || 3. 20 dakika pişirip dereotu ile servis edin.,Arpayı kısa süre kuru çevirmek tanelerin daha diri kalmasına yardım eder.,Taze dilimlenmiş ekmek ve yanında mevsim yeşillikleriyle derin tabakta verin.
mantarli-dereotlu-arpa-corbasi-polonya-usulu,Polonya Mantarlı Dereotlu Arpa Çorbası,corbalar,CORBA,pl,0,Arpa 0.75 su bardağı | Mantar 250 gr | Dereotu 0.25 demet | Su 1.25 lt,1. Mantarı 5 dakika soteleyin. || 2. Arpa ve suyu ekleyip 18 dakika pişirin. || 3. Dereotu ile tamamlayıp servis edin.,Arpayı önceden yıkamak çorbanın daha berrak kalmasına yardım eder.,"Taze doğranmış dereotu ve bir damla zeytinyağıyla sunum kurun, yanına kıtır ekmek iliştirin."
mantarli-grechnevaya-kasha-rus-usulu,Mantarlı Grechnevaya Kasha,makarna-pilav,YEMEK,ru,0,Karabuğday 1.5 su bardağı | Mantar 250 gr | Kuru soğan 1 adet | Ayçiçek yağı 2 yemek kaşığı,1. Karabuğdayı kısa süre kavurun. || 2. Soğan ve mantarı yağda soteleyin. || 3. Tüm malzemeyi 2.5 su bardağı suyla 15 dakika pişirin.,Karabuğdayı kısa kavurmak tencerede daha tane kalmasına yardım eder.,"Porselen tabakta, üzerine bir tutam taze ot ve zeytinyağı gezdirerek ılık sunun."
mantarli-karabugday-kasha-polonya-usulu,Mantarlı Karabuğday Kasha,makarna-pilav,YEMEK,pl,0,Karabuğday 1.5 su bardağı | Mantar 250 gr | Soğan 1 adet | Su 3 su bardağı | Ayçiçek yağı 1 yemek kaşığı,1. Soğan ve mantarı 6 dakika soteleyin. || 2. Karabuğday ve suyu ekleyin. || 3. Tencereyi 14 dakika pişirin.,Karabuğdayı önce kuru tavada çevirmek daha belirgin bir fındıksı koku verir.,Yanına sıcak ekmek ve bir kase turşu iliştirip geleneksel tabağa dönüştürün.
