recipeSlug,recipeTitle,affectedSteps,totalSteps,sample
limonotlu-tofu-bulyon-vietnam-usulu,"Limonotlu Tofu Bulyon",1,5,"Tofuyu parçalamadan kaselere alın ve sıcak servis edin, limonotlu tofu bulyon dengesi bozulmasın, limonotlu tofu bulyon "
simit-tost,"Simit Tost",1,5,"Peynir eriyince simit tostları 2 dakika dinlendirip servis edin."
pastirmali-kuru-domatesli-yumurta-kayseri-usulu,"Pastırmalı Kuru Domatesli Yumurta",1,5,"Kuru domatesi doğrayın, Pastırmalı Kuru Domatesli Yumurta için hazır tutun."
papatyali-soguk-limonata-yalova-usulu,"Soğuk Papatyalı Limonata",1,6,"Servis bardaklarına bol buz koyup üzerine soğuk papatyalı limonatayı dökün; opsiyonel nane yaprağı ve ince limon dilimi "
kimyonlu-yesil-mercimekli-bulgur-pilavi-konya-usulu,"Kimyonlu Yeşil Mercimekli Bulgur Pilavı",1,5,"Pilavını 8 dakika demleyin, buhar tanelerin içine dengeli dağılsın, böylece Kimyonlu Yeşil Mercimekli Bulgur Pilavı serv"
etli-bezelye,"Etli Bezelye",1,7,"Etli bezelyeyi 20 dakika sebzeler yumuşayana kadar pişirin."
kavurmali-bulgur-tava-erzincan-usulu,"Kavurmalı Bulgur Tava",1,5,"Pilavını 8 dakika demleyin, buhar tanelerin içine dengeli dağılsın, böylece Kavurmalı Bulgur Tava servis dengesi korunur"
kadinbudu-kofte,"Kadınbudu Köfte",1,8,"Kadınbudu köfteleri 5 dakika dinlendirip servis edin."
sumakli-turplu-yogurt-salata-malatya-usulu,"Sumaklı Turplu Yoğurt Salata",1,7,"Sumaklı Turplu Yoğurt salatasını servis tabağına alın ve sos parlakken sofraya çıkarın."
sakizli-muhallebi-cesme-usulu,"Sakızlı Muhallebi",1,5,"Sakızlı muhallebiyi kaselere paylaştırıp yüzeyi düzeltin."
tahinli-incir-muhallebisi-adana-usulu,"Tahinli İncir Muhallebisi",1,5,"Tahinli incir muhallebisini 30 dakika soğutun."
yogurtlu-havuc-salatasi-cankiri-usulu,"Yoğurtlu Havuç Salatası",1,6,"Yoğurtlu Havuç Salatasını servis tabağına alın ve sos parlakken sofraya çıkarın."
ayas-efelek-sarmasi,"Ayaş Efelek Sarması",1,7,"Ayaş efelek sarmasını kısık ateşte 35 dakika pişirin."
keftali-bulgur-tava-fas-usulu,"Keftalı Bulgur Tava",1,7,"Son kontrolünde tuz, ekşilik veya yağ dengesini servis öncesi ayarlayın, böylece Keftalı Bulgur Tava servis dengesi koru"
japon-susamli-edamame-pirinc-kasesi,"Japon Susamlı Edamame Pirinç Kasesi",1,5,"Pilavını 8 dakika demleyin, buhar tanelerin içine dengeli dağılsın, böylece Japon Susamlı Edamame Pirinç Kasesi servis d"
tursulu-patates-salata-sinop-usulu,"Turşulu Patates Salata",1,6,"Turşulu Patates salatasını 10 dakika dinlendirip oda sıcaklığında servis edin."
misolu-yumurtali-pirinc-kase-japon-usulu,"Misolu Yumurtalı Pirinç Kase",1,5,"Misoyu suda açın, Misolu Yumurtalı Pirinç Kase için hazır tutun."
sopa-de-lima,"Sopa de Lima",1,6,"Tortilla şeritlerini ayrı tavada 3 dakika kızartın, sopa de lima için ölçü şaşmasın."
kimchi-jeon-kore-sokak-usulu,"Kimchi Jeon",1,4,"Kimchi jeonu toplam 8 dakika pişirin ve dilimleyerek servis edin."
kasha-grechnevaya-rus-usulu,"Kasha Grechnevaya",1,7,"Son kontrolünde tuz, ekşilik veya yağ dengesini servis öncesi ayarlayın, böylece Kasha Grechnevaya servis dengesi korunu"
kayisili-yarma-pilavi-malatya-usulu,"Kayısılı Yarma Pilavı",1,6,"Tanelerini ezmeden alttan üste havalandırıp servis edin, böylece Kayısılı Yarma Pilavı servis dengesi korunur."
paluze-hatay-usulu,"Hatay Paluzesi",1,6,"Hatay paluzesini kaselere paylaştırıp 30 dakika soğutun."
pancarli-arpa-salatasi-avustralya-usulu,"Pancarlı Arpa Salatası",1,7,"Pancarlı Arpa Salatasını servis tabağına alın ve sos parlakken sofraya çıkarın."
menengic-kahvesi,"Menengiç Kahvesi",1,3,"Süt, su ve menengiç kahvesini cezveye alın."
panna-cotta,"Panna Cotta",1,6,"Panna cottayı 4 saat soğutun, kalıptan akmasın."
kekikli-tavuklu-kuskus-tava-izmir-usulu,"Kekikli Tavuklu Kuskus Tava",1,6,"Tanelerini ezmeden alttan üste havalandırıp servis edin, böylece Kekikli Tavuklu Kuskus Tava servis dengesi korunur."
yesil-papayali-karides-salatasi-vietnam-usulu,"Yeşil Papayalı Karides Salatası",1,5,"Yeşil Papayalı Karides Salatasını servis tabağına alın ve sos parlakken sofraya çıkarın."
kestaneli-mantarli-pilav-bolu-usulu,"Kestaneli Mantarlı Pilav",1,5,"Pilavını 8 dakika demleyin, buhar tanelerin içine dengeli dağılsın, böylece Kestaneli Mantarlı Pilav servis dengesi koru"
kaz-etli-bulgur-tava-ardahan-usulu,"Kaz Etli Bulgur Tava",1,5,"Pilavını 8 dakika demleyin, buhar tanelerin içine dengeli dağılsın, böylece Kaz Etli Bulgur Tava servis dengesi korunur."
karalahanali-kuru-fasulye-diblesi-rize-usulu,"Rize Karalahanalı Kuru Fasulye Diblesi",1,5,"5 dakika dinlensin, sıcaklık malzemenin içine dengeli dağılsın, böylece Rize Karalahanalı Kuru Fasulye Diblesi servis de"
tavuk-gogsu,"Tavuk Göğsü",1,6,"Tavuk göğsünü suda 20 dakika haşlayıp süzün."
bat-tokat-usulu,"Tokat Bat",1,4,"Tokat batını sulu kıvamını kaybetmeden marul yapraklarıyla birlikte servis edin."
kapros-zoldbabfozelek-macar-usulu,"Kapros Zöldbabfőzelék",1,6,"Servisinde üstüne taze ot veya kızgın yağ gezdirin, böylece Kapros Zöldbabfőzelék servis dengesi korunur."
turunclu-kuskus-salatasi-mersin-usulu,"Mersin Turunçlu Kuskus Salatası",1,5,"Mersin Turunçlu Kuskus Salatasını servis tabağına alın ve sos parlakken sofraya çıkarın."
sanliurfa-pitpit-corbasi,"Pıtpıt Çorbası",1,7,"Pıtpıt çorbasını 14 dakika bulgur yumuşayana kadar pişirin."
waldorf-salatasi,"Waldorf Salatası",1,5,"Waldorf Salatasını servis tabağına alın ve sos parlakken sofraya çıkarın."
misirli-pazili-tava-ekmegi-rize-usulu,"Mısırlı Pazılı Tava Ekmeği",1,5,"Pazıyı ince doğrayın, Mısırlı Pazılı Tava Ekmeği için hazır tutun."
causa-limena-peru-usulu,"Causa Limeña",1,4,"Causa limeñayı buzdolabında 20 dakika soğutup dilimleyerek servis edin."
tahinli-kereviz-salatasi-antalya-bahce-usulu,"Antalya Tahinli Kereviz Salatası",1,6,"Antalya Tahinli Kereviz Salatasını servis tabağına alın ve sos parlakken sofraya çıkarın."
sumakli-nohut-salatasi-nevsehir-usulu,"Sumaklı Nohut Salatası",1,6,"Nevşehir Sumaklı Nohut salatasını 10 dakika dinlendirip oda sıcaklığında servis edin."
kekikli-dana-firinda-patlican-bodrum-usulu,"Kekikli Dana Fırında Patlıcan",1,6,"Servisinde üstüne taze ot veya kızgın yağ gezdirin, böylece Kekikli Dana Fırında Patlıcan servis dengesi korunur."
sumakli-tavuk-sis-salatasi-adana-usulu,"Adana Sumaklı Tavuk Şiş Salatası",1,5,"Adana Sumaklı Tavuk Şiş Salatasını servis tabağına alın ve sos parlakken sofraya çıkarın."
kuru-fasulye,"Kuru Fasulye",1,7,"Kuru fasulyeleri bir gece suda bekletin, ertesi gün süzüp yıkayın."
tartar-sos,"Tartar Sos",1,4,"Tartar sosu buzdolabında 10 dakika dinlendirip soğuk servis edin."
nohut-salatasi,"Nohut Salatası",1,6,"Nohut salatasını kısa bekletin, nar ekşisi tanelere işlerken yeşillikler hala canlı kalır."
patatesli-kes-salatasi-bolu-yayla-usulu,"Bolu Patatesli Keş Salatası",1,6,"Bolu Patatesli Keş Salatasını 10 dakika dinlendirip oda sıcaklığında servis edin."
patlican-salatasi,"Patlıcan Salatası",1,5,"Patlıcan Salatasını servis tabağına alın ve sos parlakken sofraya çıkarın."
kekikli-mantar-guveci-denizli-usulu,"Denizli Kekikli Mantar Güveci",1,7,"Son kontrolünde tuz, ekşilik veya yağ dengesini servis öncesi ayarlayın, böylece Denizli Kekikli Mantar Güveci servis de"
kabak-kalye,"Kabak Kalye",1,5,"5 dakika dinlensin, sıcaklık malzemenin içine dengeli dağılsın, böylece Kabak Kalye servis dengesi korunur."
lorlu-biber-kavurmasi,"Lorlu Biber Kavurması",1,5,"Biberleri ince doğrayın, Lorlu Biber Kavurması için hazır tutun."
bhel-puri,"Bhel Puri",1,5,"Bhel puriyi bekletmeden servis edin, çıtır dokusu ilk 5 dakikada en iyidir."
kabak-cicekli-peynirli-borek-mugla-usulu,"Kabak Çiçekli Peynirli Börek",1,6,"Kabak Çiçekli Peynirli Börek için iç harcı hazırlayın."
hollandez-sos,"Hollandez Sos",1,4,"Hollandez sosu koyulaşıp parlaklaşınca tuzlayarak hemen kullanın."
salgam-suyu,"Şalgam Suyu",1,3,"Şalgam suyunu şişede 10 saniye çalkalayın, tortu eşit dağılsın diye bardağa sonra dökün."
kayisili-kuzu-sote-malatya-usulu,"Kayısılı Kuzu Sote",1,5,"Kayısılı Kuzu Sote için soğanı ekleyin."
yayla-corbasi,"Yayla Çorbası",1,7,"Yayla çorbasını 3 dakika dinlendirip sıcak servis edin."
yesil-elma-cevizli-salata-amerikan-usulu,"Yeşil Elma Cevizli Salata",1,6,"Yeşil Elma Cevizli salatasını servis tabağına alın ve sos parlakken sofraya çıkarın."
kuru-domatesli-gozleme-aydin-usulu,"Kuru Domatesli Gözleme",1,6,"Hamuru yoğurup dinlendirin, Kuru Domatesli Gözleme için hazır tutun."
zeytinli-koruklu-salata-ayvalik-usulu,"Ayvalık Zeytinli Koruklu Salata",1,7,"Ayvalık Zeytinli Koruklu salatasını servis tabağına alın ve sos parlakken sofraya çıkarın."
karidesli-safranli-pirinc-tava-ispanya-usulu,"Karidesli Safranlı Pirinç Tava",1,6,"Tanelerini ezmeden alttan üste havalandırıp servis edin, böylece Karidesli Safranlı Pirinç Tava servis dengesi korunur."
sopa-de-ajo,"Sopa de Ajo",1,6,"Sıcak servis edin, sopa de ajo dokusu beklerken ağırlaşmasın."
yogurtlu-bulgurlu-sebze-salatasi-ankara-usulu,"Yoğurtlu Bulgurlu Sebze Salatası",1,7,"Yoğurtlu Bulgurlu Sebze Salatasını 10 dakika dinlendirip oda sıcaklığında servis edin."
tahinli-yesil-mercimek-salatasi-konya-usulu,"Konya Tahinli Yeşil Mercimek Salatası",1,5,"Konya Tahinli Yeşil Mercimek Salatasını 10 dakika dinlendirip oda sıcaklığında servis edin."
kuzu-tandir,"Kuzu Tandır",1,7,"Kuzu tandırı 160°C fırında 3 saat kapalı pişirin."
karamel-biberli-tavuk-pirinci-vietnam-usulu,"Karamel Biberli Tavuk Pirinci",1,7,"Son kontrolünde tuz, ekşilik veya yağ dengesini servis öncesi ayarlayın, böylece Karamel Biberli Tavuk Pirinci servis de"
sumakli-nohutlu-salata-mardin-usulu,"Mardin Sumaklı Nohutlu Salata",1,5,"Mardin Sumaklı Nohutlu salatasını 10 dakika dinlendirip oda sıcaklığında servis edin."
acili-ezme-guneydogu-usulu,"Acılı Ezme",1,7,"Acılı ezmeyi marul yapraklarıyla soğuk servis edin."
girit-ezmesi-izmir-usulu,"Girit Ezmesi",1,4,"Girit ezmesini soğuk tabağa alın ve ekmek dilimleriyle servis edin."
tahinli-muzlu-irmik-kasesi-alanya-usulu,"Tahinli Muzlu İrmik Kasesi",1,6,"İrmiği sütle koyulaştırın, Tahinli Muzlu İrmik Kasesi için hazır tutun."
sini-koftesi,"Sini Köftesi",1,6,"Sini köftesini 190°C fırında 35 dakika pişirin."
keci-peynirli-biber-dolmasi-antalya-usulu,"Keçi Peynirli Biber Dolması",1,6,"Keçi Peynirli Biber Dolması için iç harcı hazırlayın."
kastamonu-banduma,"Kastamonu Banduma",1,5,"5 dakika dinlensin, sıcaklık malzemenin içine dengeli dağılsın, böylece Kastamonu Banduma servis dengesi korunur."
sumakli-sogan-salatasi-sanliurfa-usulu,"Sumaklı Soğan Salatası",1,5,"Sumaklı Soğan Salatasını servis tabağına alın ve sos parlakken sofraya çıkarın."
zeytin-ezmeli-patates-salata-bodrum-usulu,"Bodrum Zeytin Ezmeli Patates Salata",1,5,"Bodrum Zeytin Ezmeli Patates salatasını 10 dakika dinlendirip oda sıcaklığında servis edin."
khanom-krok,"Khanom Krok",1,6,"Khanom kroku 15 dakika kenarları kızarana kadar pişirin."
tahin-sos,"Tahin Sos",1,4,"Tahin sosu et ya da salata yanında servis etmek üzere hazır tutun."
peynirli-biber-salatasi-edirne-usulu,"Peynirli Biber Salatası",1,6,"Peynirli Biber Salatasını servis tabağına alın ve sos parlakken sofraya çıkarın."
kete-kirigi-tava-ardahan-usulu,"Ardahan Kete Kırığı Tava",1,5,"Keteyi iri parçalayın, Ardahan Kete Kırığı Tava için hazır tutun."
portakal-salatasi-antalya-usulu,"Antalya Portakal Salatası",1,6,"Antalya Portakal Salatasını servis tabağına alın ve sos parlakken sofraya çıkarın."
otlu-peynirli-tandir-boregi-van-usulu,"Otlu Peynirli Tandır Böreği",1,5,"Hamuru yoğurup dinlendirin, Otlu Peynirli Tandır Böreği için hazır tutun."
imam-bayildi,"İmam Bayıldı",1,6,"İmam bayıldıyı 180°C fırında 35-40 dakika pişirip ılık servis edin."
patates-elma-salatasi-polonya-usulu,"Patates Elma Salatası",1,5,"Patates Elma Salatasını 10 dakika dinlendirip oda sıcaklığında servis edin."
bafra-pidesi-samsun-usulu,"Bafra Pidesi",1,7,"Bafra pidesini 220°C fırında 15 dakika pişirin."
scotch-broth-ingiliz-usulu,"Scotch Broth",1,6,"Sıcak servis edin, scotch broth dokusu beklerken ağırlaşmasın."
patates-salatasi,"Patates Salatası",1,5,"Patates Salatasını 10 dakika dinlendirip oda sıcaklığında servis edin."
kaytaz-boregi-hatay-usulu,"Kaytaz Böreği",1,6,"Servisinde üstüne taze ot veya kızgın yağ gezdirin, böylece Kaytaz Böreği servis dengesi korunur."
kabakli-bulgur-pilavi-antalya-usulu,"Antalya Kabaklı Bulgur Pilavı",1,7,"Son kontrolünde tuz, ekşilik veya yağ dengesini servis öncesi ayarlayın, böylece Antalya Kabaklı Bulgur Pilavı servis de"
lorlu-zeytinli-katmer-izmir-usulu,"Lorlu Zeytinli Katmer",1,6,"Hamuru yoğurup dinlendirin, Lorlu Zeytinli Katmer için hazır tutun."
quinoa-lime-salatasi-peru-usulu,"Peru Quinoa Lime Salatası",1,5,"Peru Quinoa Lime Salatasını servis tabağına alın ve sos parlakken sofraya çıkarın."
pastirmali-biberli-yumurta-ekmegi-kayseri-usulu,"Pastırmalı Biberli Yumurta Ekmeği",1,6,"Yumurta karışımını hazırlayın, Pastırmalı Biberli Yumurta Ekmeği için hazır tutun."
batata-harra-beyrut-usulu,"Batata Harra",1,4,"Batata harrayı limon suyu gezdirerek sıcak veya ılık meze olarak servis edin."
limon-myrtle-avokado-toast-avustralya-usulu,"Limon Myrtle Avokado Toast",1,6,"Avokadoyu baharatlarla ezin, Limon Myrtle Avokado Toast için hazır tutun."
hunkar-begendi,"Hünkar Beğendi",1,6,"Hünkar beğendiyi tabağa yayıp etli harcı üstüne koyarak servis edin."
hamsi-kususu-samsun-usulu,"Hamsi Kuşusu",1,5,"Hamsi kuşusunu toplam 8 dakika kızartın."
aji-de-gallina,"Ají de Gallina",1,6,"Ají de gallinayı pirinç, patates ve yumurtayla sıcak servis edin."
kabak-cicekli-bulgur-pilavi-mugla-usulu,"Kabak Çiçekli Bulgur Pilavı",1,7,"Son kontrolünde tuz, ekşilik veya yağ dengesini servis öncesi ayarlayın, böylece Kabak Çiçekli Bulgur Pilavı servis deng"
sumakli-tulum-salatasi-kars-usulu,"Sumaklı Tulum Salatası",1,5,"Sumaklı Tulum Salatasını servis tabağına alın ve sos parlakken sofraya çıkarın."
turunclu-yogurtlu-kabak-salatasi-antalya-usulu,"Turunçlu Yoğurtlu Kabak Salatası",1,5,"Turunçlu Yoğurtlu Kabak Salatasını servis tabağına alın ve sos parlakken sofraya çıkarın."
sopa-de-fideo,"Sopa de Fideo",1,6,"Sıcak servis edin, sopa de fideo dokusu beklerken ağırlaşmasın."
kengerli-bulgur-tavasi-bingol-usulu,"Kengerli Bulgur Tavası",1,6,"Tanelerini ezmeden alttan üste havalandırıp servis edin, böylece Kengerli Bulgur Tavası servis dengesi korunur."
sopa-de-frijoles-negros-kuba-usulu,"Sopa de Frijoles Negros",1,6,"Siyah fasulyeyi süzün, soğan ve biberi küçük doğrayın, sopa de frijoles negros için ölçü şaşmasın."
mini-kis,"Mini Kiş",1,6,"Mini kişleri 180°C fırında 18 dakika kabarıp üstü kızarana kadar pişirin."
otlu-lorlu-kete-artvin-usulu,"Otlu Lorlu Kete",1,6,"Hamuru yoğurup dinlendirin, Otlu Lorlu Kete için hazır tutun."
nigde-tava-kuzu-tepsi,"Niğde Tava",1,7,"Niğde tavayı 200°C fırında 40 dakika suyunu çekene kadar pişirin."
kabak-cicekli-lor-pilavi-izmir-usulu,"Kabak Çiçekli Lor Pilavı",1,5,"Pilavını 8 dakika demleyin, buhar tanelerin içine dengeli dağılsın, böylece Kabak Çiçekli Lor Pilavı servis dengesi koru"
kuru-biberli-lorlu-bazlama-sirnak-usulu,"Şırnak Kuru Biberli Lorlu Bazlama",1,5,"Biberi lorla karıştırın, Şırnak Kuru Biberli Lorlu Bazlama için hazır tutun."
kabak-boranisi-gaziantep-usulu,"Kabak Boranisi",1,6,"Servisinde üstüne taze ot veya kızgın yağ gezdirin, böylece Kabak Boranisi servis dengesi korunur."
nigde-sogurmeli-yumurta,"Niğde Söğürmeli Yumurta",1,5,"Niğde söğürmeli yumurtayı ekmekle sıcak servis edin."
portakalli-havuc-salatasi-fas-usulu,"Portakallı Havuç Salatası",1,5,"Portakallı Havuç Salatasını servis tabağına alın ve sos parlakken sofraya çıkarın."
reyhanli-bulgur-salatasi-batman-usulu,"Reyhanlı Bulgur Salatası",1,6,"Reyhanlı Bulgur Salatasını 10 dakika dinlendirip oda sıcaklığında servis edin."
laz-boregi-rize-usulu,"Laz Böreği",1,6,"Laz böreğini 190°C fırında 30 dakika pişirin."
peynir-ezmesi-canakkale-usulu,"Çanakkale Peynir Ezmesi",1,4,"Çanakkale peynir ezmesini 10 dakika serinletip kahvaltılık olarak servis edin."
kol-boregi,"Kol Böreği",1,6,"Servisinde üstüne taze ot veya kızgın yağ gezdirin, böylece Kol Böreği servis dengesi korunur."
kilis-tava-kuzu-kiymali,"Kilis Tava",1,7,"Kilis tavayı 200°C fırında 35 dakika pişirin."
patatesli-gozleme-yozgat-usulu,"Yozgat Patatesli Gözleme",1,5,"Patatesleri haşlayıp ezin, Yozgat Patatesli Gözleme için hazır tutun."
yarpuzlu-ayran-igdir-usulu,"Yarpuzlu Ayran",1,3,"Yarpuzlu ayranı soğuk bardaklara paylaştırıp hemen servis edin."
granola-kasesi,"Granola Kasesi",1,5,"Granola kasesini bekletmeden servis edin, yoğurt granolayı yumuşatmasın."
tavuklu-salata,"Tavuklu Salata",1,5,"Tavuklu salatasını servis tabağına alın ve sos parlakken sofraya çıkarın."
tahinli-koz-patlican-salatasi-hatay-usulu,"Tahinli Köz Patlıcan Salatası",1,5,"Tahinli Köz Patlıcan Salatasını servis tabağına alın ve sos parlakken sofraya çıkarın."
gochujang-dip,"Gochujang Dip",1,4,"Gochujang dipi servis kâsesine alın, hemen kullanın ya da soğutun."
kirmizi-erikli-taze-fasulye-manisa-usulu,"Manisa Kırmızı Erikli Taze Fasulye",1,5,"5 dakika dinlensin, sıcaklık malzemenin içine dengeli dağılsın, böylece Manisa Kırmızı Erikli Taze Fasulye servis denges"
susamli-borulce-salatasi-izmir-usulu,"Susamlı Börülce Salatası",1,5,"Susamlı Börülce Salatasını 10 dakika dinlendirip oda sıcaklığında servis edin."
melbourne-pancar-avokado-tostu,"Melbourne Pancar Avokado Tostu",1,7,"Ekmek dilimlerini kızartın, Melbourne Pancar Avokado Tostu için hazır tutun."
karalahana-diblesi-giresun-usulu,"Karalahana Diblesi",1,7,"Son kontrolünde tuz, ekşilik veya yağ dengesini servis öncesi ayarlayın, böylece Karalahana Diblesi servis dengesi korun"
sopa-de-fideo-verde-meksika-usulu,"Sopa de Fideo Verde",1,6,"Kişnişle sıcak servis edin, sopa de fideo verde aroması canlı kalsın."
sopa-de-tortilla-meksika-usulu,"Sopa de Tortilla",1,6,"Tortilla şeritlerini ayrı tavada 3 dakika kızartın, sopa de tortilla için ölçü şaşmasın."
sausage-roll-australian,"Sausage Roll",1,5,"Sausage rollleri 200°C fırında 20-22 dakika kabarıp kızarana kadar pişirin."
kekikli-dana-arpacik-tava-denizli-usulu,"Kekikli Dana Arpacık Tava",1,5,"Kekikli Dana Arpacık Tava için soğanı ekleyin."
yogurtlu-sebzeli-bulgur-salatasi-ankara-usulu,"Yoğurtlu Sebzeli Bulgur Salatası",1,5,"Yoğurtlu Sebzeli Bulgur Salatasını 10 dakika dinlendirip oda sıcaklığında servis edin."
uskumrulu-patates-salata-canakkale-usulu,"Uskumrulu Patates Salata",1,6,"Uskumrulu Patates salatasını 10 dakika dinlendirip oda sıcaklığında servis edin."
siyez-unlu-elma-keki-kastamonu-usulu,"Siyez Unlu Elma Keki",1,6,"Siyez unlu elma kekini 180°C fırında 26 dakika pişirin."
reyhanli-bostana-salatasi-diyarbakir-usulu,"Reyhanlı Bostana Salatası",1,7,"Reyhanlı Bostana Salatasını servis tabağına alın ve sos parlakken sofraya çıkarın."
kagit-kebabi,"Kağıt Kebabı",1,6,"Servisinde üstüne taze ot veya kızgın yağ gezdirin, böylece Kağıt Kebabı servis dengesi korunur."
kai-yang,"Kai Yang",1,5,"5 dakika dinlensin, sıcaklık malzemenin içine dengeli dağılsın, böylece Kai Yang servis dengesi korunur."
zeytinli-kirmizi-biber-salatasi-erdek-usulu,"Zeytinli Kırmızı Biber Salatası",1,5,"Zeytinli Kırmızı Biber Salatasını servis tabağına alın ve sos parlakken sofraya çıkarın."
turunclu-zeytin-salatasi-antalya-usulu,"Turunçlü Zeytin Salatası",1,6,"Turunçlü Zeytin Salatasını servis tabağına alın ve sos parlakken sofraya çıkarın."
khao-man-gai-tay-usulu,"Khao Man Gai",1,5,"5 dakika dinlensin, sıcaklık malzemenin içine dengeli dağılsın, böylece Khao Man Gai servis dengesi korunur."
kasha-grechka,"Kasha Grechka",1,5,"Pilavını 8 dakika demleyin, buhar tanelerin içine dengeli dağılsın, böylece Kasha Grechka servis dengesi korunur."
rosehip-soup-iskandinav-usulu,"Rosehip Soup",1,6,"Soğuk servis edin, rosehip soup ferahlığı kaybolmasın."
currywurst-sos,"Currywurst Sos",1,4,"Currywurst sosunu tadıp ekşi tatlı dengesini ayarlayın, akışkan ama kaplayıcı kıvamdayken kullanın."
firik-pilavi,"Firik Pilavı",1,6,"Sade firik pilavı için tereyağını tencerede 2 dakika eritin."
karabugdayli-tavuk-firini-rus-usulu,"Karabuğdaylı Tavuk Fırını",1,5,"5 dakika dinlensin, sıcaklık malzemenin içine dengeli dağılsın, böylece Karabuğdaylı Tavuk Fırını servis dengesi korunur"
karayemisli-muhallebi-trabzon-usulu,"Karayemişli Muhallebi",1,5,"Karayemişli muhallebiyi kaselere paylaştırıp 45 dakika soğutun."
